node_id,node_type,name,source
BIOKORF_DRUG_000,BIOKORF_DRUG,lepirudin,BioKORF
BIOKORF_DRUG_001,BIOKORF_DRUG,bivalirudin,BioKORF
BIOKORF_DRUG_002,BIOKORF_DRUG,leuprorelin,BioKORF
BIOKORF_DRUG_003,BIOKORF_DRUG,goserelin,BioKORF
BIOKORF_DRUG_004,BIOKORF_DRUG,erythropoietin,BioKORF
BIOKORF_DRUG_005,BIOKORF_DRUG,insulin,BioKORF
BIOKORF_DRUG_006,BIOKORF_DRUG,desmopressin,BioKORF
BIOKORF_DRUG_007,BIOKORF_DRUG,insulin.lispro,BioKORF
BIOKORF_DRUG_008,BIOKORF_DRUG,insulin.glargine,BioKORF
BIOKORF_DRUG_009,BIOKORF_DRUG,rasburicase,BioKORF
BIOKORF_DRUG_010,BIOKORF_DRUG,albumin,BioKORF
BIOKORF_DRUG_011,BIOKORF_DRUG,eptifibatide,BioKORF
BIOKORF_DRUG_012,BIOKORF_DRUG,muromonab-CD3,BioKORF
BIOKORF_DRUG_013,BIOKORF_DRUG,daptomycin,BioKORF
BIOKORF_DRUG_014,BIOKORF_DRUG,ciclosporin,BioKORF
BIOKORF_DRUG_015,BIOKORF_DRUG,urofollitropin,BioKORF
BIOKORF_DRUG_016,BIOKORF_DRUG,octreotide,BioKORF
BIOKORF_DRUG_017,BIOKORF_DRUG,interferon.alfa-2b,BioKORF
BIOKORF_DRUG_018,BIOKORF_DRUG,abarelix,BioKORF
BIOKORF_DRUG_019,BIOKORF_DRUG,oxytocin,BioKORF
BIOKORF_DRUG_020,BIOKORF_DRUG,enfuvirtide,BioKORF
BIOKORF_DRUG_021,BIOKORF_DRUG,glutamine,BioKORF
BIOKORF_DRUG_022,BIOKORF_DRUG,calcitriol,BioKORF
BIOKORF_DRUG_023,BIOKORF_DRUG,pravastatin,BioKORF
BIOKORF_DRUG_024,BIOKORF_DRUG,fluvoxamine,BioKORF
BIOKORF_DRUG_025,BIOKORF_DRUG,valsartan,BioKORF
BIOKORF_DRUG_026,BIOKORF_DRUG,ramipril,BioKORF
BIOKORF_DRUG_027,BIOKORF_DRUG,flunisolide,BioKORF
BIOKORF_DRUG_028,BIOKORF_DRUG,baclofen,BioKORF
BIOKORF_DRUG_029,BIOKORF_DRUG,nicotine,BioKORF
BIOKORF_DRUG_030,BIOKORF_DRUG,cevimeline,BioKORF
BIOKORF_DRUG_031,BIOKORF_DRUG,lorazepam,BioKORF
BIOKORF_DRUG_032,BIOKORF_DRUG,esmolol,BioKORF
BIOKORF_DRUG_033,BIOKORF_DRUG,bortezomib,BioKORF
BIOKORF_DRUG_034,BIOKORF_DRUG,tramadol,BioKORF
BIOKORF_DRUG_035,BIOKORF_DRUG,betaxolol,BioKORF
BIOKORF_DRUG_036,BIOKORF_DRUG,fluconazole,BioKORF
