epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr,predicted_class_1,predicted_class_2,predicted_class_3,predicted_class_4,predicted_class_5,class_collapse,corn_monotonicity
1,0.6625111345341964,0.3771535966824408,0.03180737217598097,0.01233074042062806,0.3191518467687072,3364,0,0,0,0,True,True
2,0.4536146502476862,0.3491290303104414,0.06064209274673008,0.06802742483984185,0.3680875241840387,3022,336,0,6,0,True,True
3,0.41087212688997515,0.3244665566295846,0.041319857312722946,0.034425194360247754,0.4098800682448438,3289,63,0,12,0,True,True
4,0.38507589948585147,0.3084140605648689,0.05291319857312723,0.03425672899949528,0.4458620758740636,3266,20,1,76,1,True,True
5,0.3681050331648299,0.31153119864843687,0.1762782401902497,0.17792983251952377,0.4905969714321752,2638,21,8,371,326,False,True
6,0.35268319827722067,0.34459367405078356,0.20124851367419738,0.17767370578814065,0.4818685823225226,2237,5,17,351,754,False,True
7,0.33660829821440363,0.2960233676305991,0.14625445897740785,0.16199288135957116,0.4174849275231053,2764,41,42,247,270,True,True
8,0.3278662847206656,0.2971725901156912,0.36474435196195004,0.32415863268258843,0.5240984285141856,1642,104,223,862,533,False,True
9,0.3155521053317484,0.29196822600755906,0.2737812128418549,0.27475232825571483,0.47073145357689805,1896,284,245,564,375,False,True
10,0.30764410476391074,0.28069784064355274,0.3151010701545779,0.2975943460350653,0.495049435311243,1767,176,248,642,531,False,True
11,0.298633063970036,0.30540202233794184,0.4509512485136742,0.386698348080992,0.5332835030555951,1142,297,354,1176,395,False,True
12,0.293688871762567,0.3032628242524427,0.4087395957193817,0.34695788851173204,0.533475491014191,1159,238,226,1005,736,False,True
13,0.2862296322467163,0.2846205698040521,0.35315101070154575,0.3166565650155141,0.5119964749495207,1448,322,179,762,653,False,True
14,0.27513984682191206,0.28046674946684047,0.3055885850178359,0.29095220993953297,0.49712910743108035,1697,314,184,627,542,False,True
15,0.2728230583531556,0.3006566804030846,0.48127229488703926,0.42806026773003597,0.550110577992899,952,408,447,1104,453,False,True
16,0.2657882535104124,0.2861970654565854,0.3686087990487515,0.34155583940884726,0.5171361671033227,1235,515,267,739,608,False,True
17,0.2637325234188616,0.3206133422896922,0.5523186682520809,0.4895340865956241,0.5860244171465838,618,494,544,1252,456,False,True
18,0.2545566746799969,0.3594636175777059,0.5184304399524375,0.4628008502662532,0.5603061386565502,722,583,597,1188,274,False,True
19,0.2497751637259967,0.3118797048802325,0.4949464922711058,0.4224069764248625,0.5789929594306304,790,430,271,1261,612,False,True
20,0.24564885503666953,0.30807170608522777,0.3692033293697979,0.3329990222186226,0.5550107536180734,999,572,183,692,918,False,True
21,0.2379012808012783,0.3337563938249731,0.56064209274673,0.4884466319503445,0.6009294599440607,605,531,414,1380,434,False,True
22,0.23948772405124752,0.30280503152241744,0.48573127229488705,0.44311215864721565,0.5808555898173736,781,634,404,989,556,False,True
23,0.2359158723322219,0.3072219983576027,0.4420332936979786,0.4025931391975794,0.5530379432216802,951,682,308,946,477,False,True
24,0.2341545674550834,0.300987714819619,0.45659928656361476,0.4165363029038754,0.5626826921506172,791,776,365,922,510,False,True
