epoch,train_total_loss,train_frequency_loss,train_alignment_loss,val_frequency_loss,val_macro_f1,val_accuracy,val_aupr,mean_train_drug_kg_cosine,mean_val_drug_kg_cosine,alignment_drug_count,learning_rate,cuda_peak_allocated_mib,cuda_peak_reserved_mib
1,1.3877743754514755,1.3877743754514755,0.0,1.0652222359789962,0.3651353953233337,0.6031510107015458,0.5588047488150456,0.0,0.0,0,0.0001,1194.81982421875,5108.0
2,1.0707067451330932,1.0707067451330932,0.0,0.9877451982849702,0.4823249263096046,0.6215814506539834,0.5957394084995935,0.0,0.0,0,0.0001,1194.81982421875,5108.0
3,0.9881772152610097,0.9881772152610097,0.0,0.9301341115790513,0.549465128904959,0.6536860879904876,0.6305773972804335,0.0,0.0,0,0.0001,1194.81982421875,5108.0
4,0.9419949858841438,0.9419949858841438,0.0,0.9251753440509937,0.5945747349407338,0.6501189060642093,0.6452251198646131,0.0,0.0,0,0.0001,1194.81982421875,5108.0
5,0.908114544546379,0.908114544546379,0.0,0.8928346333407335,0.5531565015740201,0.6557669441141498,0.659658940043361,0.0,0.0,0,0.0001,1194.81982421875,5108.0
6,0.8832150987110685,0.8832150987110685,0.0,0.8610051337377069,0.5918719419854388,0.6667657550535078,0.6722774660485407,0.0,0.0,0,0.0001,1194.81982421875,5108.0
7,0.8618674104979891,0.8618674104979891,0.0,0.9066312880068131,0.582000210268814,0.6664684898929846,0.6721641113479909,0.0,0.0,0,0.0001,1194.81982421875,5108.0
8,0.8430195784351499,0.8430195784351499,0.0,0.925695427958095,0.5749069225057392,0.6572532699167658,0.6688238862962184,0.0,0.0,0,0.0001,1194.81982421875,5108.0
9,0.8258720771621767,0.8258720771621767,0.0,0.8677736181991704,0.6244553521330294,0.6617122473246135,0.6814975652525842,0.0,0.0,0,0.0001,1194.81982421875,5108.0
10,0.8078665011090657,0.8078665011090657,0.0,0.9271233379486483,0.594341223546423,0.6620095124851367,0.6731353021125349,0.0,0.0,0,0.0001,1194.81982421875,5108.0
11,0.8000779596727285,0.8000779596727285,0.0,0.8520894970536658,0.6016009299730429,0.6759809750297265,0.6840742716032253,0.0,0.0,0,0.0001,1194.81982421875,5108.0
12,0.7783383611422866,0.7783383611422866,0.0,0.8574839654632187,0.6090269534372257,0.6578478002378121,0.6885532035915123,0.0,0.0,0,0.0001,1194.81982421875,5108.0
13,0.7709928519375304,0.7709928519375304,0.0,0.856092331667434,0.6252033316206648,0.6617122473246135,0.6922807660925795,0.0,0.0,0,0.0001,1194.81982421875,5108.0
14,0.7625969500668281,0.7625969500668281,0.0,0.8305088145554278,0.6365914421716462,0.6872770511296076,0.7009410078920814,0.0,0.0,0,0.0001,1194.81982421875,5108.0
15,0.7475265583121592,0.7475265583121592,0.0,0.8332125702596023,0.6222219960219094,0.6843043995243757,0.6989677575342731,0.0,0.0,0,0.0001,1194.81982421875,5108.0
16,0.7394221374985722,0.7394221374985722,0.0,0.8345288503184188,0.6392003469417842,0.6890606420927468,0.7012209964942865,0.0,0.0,0,0.0001,1194.81982421875,5108.0
17,0.7243631212639849,0.7243631212639849,0.0,0.8815297578659692,0.6121028560377422,0.6837098692033293,0.694618810007685,0.0,0.0,0,0.0001,1194.81982421875,5108.0
18,0.7167788885839863,0.7167788885839863,0.0,0.9149543975394631,0.5816505078825103,0.6765755053507729,0.694884630080636,0.0,0.0,0,0.0001,1194.81982421875,5108.0
19,0.7064317851774508,0.7064317851774508,0.0,0.8976326623087689,0.6160026961977809,0.6293103448275862,0.7014020475747238,0.0,0.0,0,0.0001,1194.81982421875,5108.0
20,0.7002074200841556,0.7002074200841556,0.0,0.8689537044087432,0.6434519605317603,0.6863852556480381,0.7018987557537667,0.0,0.0,0,0.0001,1194.81982421875,5108.0
21,0.6924269599149948,0.6924269599149948,0.0,0.9024187693556197,0.6252095824920807,0.6730083234244947,0.6902678262534425,0.0,0.0,0,0.0001,1194.81982421875,5108.0
22,0.6775047333800105,0.6775047333800105,0.0,0.843186530998856,0.6410356663237005,0.6721165279429251,0.7051802961161792,0.0,0.0,0,0.0001,1194.81982421875,5108.0
23,0.6674814486405979,0.6674814486405979,0.0,0.8842312522790662,0.6205830622155688,0.6854934601664685,0.6988991586156142,0.0,0.0,0,0.0001,1194.81982421875,5108.0
24,0.6643037278622904,0.6643037278622904,0.0,0.9099024457682043,0.6383396490942492,0.6953032104637337,0.7028653361130401,0.0,0.0,0,0.0001,1194.81982421875,5108.0
25,0.6493735069911147,0.6493735069911147,0.0,0.8684813735317816,0.6401733641344793,0.6985731272294887,0.7053434802920429,0.0,0.0,0,0.0001,1194.81982421875,5108.0
26,0.6452389152735578,0.6452389152735578,0.0,0.8329165682072588,0.6577586070703267,0.6947086801426873,0.7130700359854083,0.0,0.0,0,0.0001,1194.81982421875,5108.0
27,0.643559939526548,0.643559939526548,0.0,0.9028114277457511,0.6349432362792246,0.6944114149821641,0.7013701831403147,0.0,0.0,0,0.0001,1194.81982421875,5108.0
28,0.6288612403921274,0.6288612403921274,0.0,0.8825436172814205,0.6337091650674525,0.6694411414982164,0.7066345268178884,0.0,0.0,0,0.0001,1194.81982421875,5108.0
29,0.6206628763286776,0.6206628763286776,0.0,0.8915082623076921,0.6476189996216312,0.675089179548157,0.7057273680609694,0.0,0.0,0,0.0001,1194.81982421875,5108.0
30,0.6161113127961749,0.6161113127961749,0.0,0.8583339849635339,0.6651392969051668,0.7030321046373365,0.7194531544794913,0.0,0.0,0,0.0001,1194.81982421875,5108.0
