row_type,model,seed,accuracy,macro_f1,aupr,accuracy_std,macro_f1_std,aupr_std,drug_kg_beats_clean_macro_f1
run,clean,42,0.690291521797272,0.6378239655980125,0.7079465584659003,,,,
run,clean,123,0.7001872158331105,0.6496981864242221,0.7085706070234905,,,,
run,clean,2026,0.7009895694035838,0.6441465560299481,0.7165221383143041,,,,
run,drug_kg,42,0.6951056432201124,0.6443794562888923,0.7051928204876207,,,,
run,drug_kg,123,0.6846750468039583,0.6285773771148031,0.6939636636529799,,,,
run,drug_kg,2026,0.6734420968173308,0.6320950234553357,0.6982661827293012,,,,
model_summary,clean,,0.6971561023446554,0.6438895693507275,0.7110131012678984,0.005958421970761119,0.005941280305823821,0.0047811584406460975,
model_summary,drug_kg,,0.6844075956138004,0.6350172856196771,0.699140888956634,0.010834249318282514,0.008296453379239893,0.0056654500299923955,
paired_delta,drug_kg_minus_clean,42,0.004814121422840323,0.006555490690879795,-0.0027537379782796023,,,,1
paired_delta,drug_kg_minus_clean,123,-0.0155121690291522,-0.021120809309418953,-0.014606943370510606,,,,0
paired_delta,drug_kg_minus_clean,2026,-0.027547472586253008,-0.012051532574612334,-0.018255955585002925,,,,0
