matrix_index,biokorf_drug_id,drug_name,kg_available,embedding_row
0,BIOKORF_DRUG_000,lepirudin,True,0
1,BIOKORF_DRUG_001,bivalirudin,True,1
2,BIOKORF_DRUG_002,leuprorelin,True,2
3,BIOKORF_DRUG_003,goserelin,True,3
4,BIOKORF_DRUG_004,erythropoietin,True,4
5,BIOKORF_DRUG_005,insulin,True,5
6,BIOKORF_DRUG_006,desmopressin,True,6
7,BIOKORF_DRUG_007,insulin.lispro,True,7
8,BIOKORF_DRUG_008,insulin.glargine,True,8
9,BIOKORF_DRUG_009,rasburicase,True,9
10,BIOKORF_DRUG_010,albumin,False,10
11,BIOKORF_DRUG_011,eptifibatide,True,11
12,BIOKORF_DRUG_012,muromonab-CD3,True,12
13,BIOKORF_DRUG_013,daptomycin,False,13
14,BIOKORF_DRUG_014,ciclosporin,True,14
15,BIOKORF_DRUG_015,urofollitropin,True,15
16,BIOKORF_DRUG_016,octreotide,True,16
17,BIOKORF_DRUG_017,interferon.alfa-2b,True,17
18,BIOKORF_DRUG_018,abarelix,True,18
19,BIOKORF_DRUG_019,oxytocin,True,19
20,BIOKORF_DRUG_020,enfuvirtide,True,20
21,BIOKORF_DRUG_021,glutamine,True,21
22,BIOKORF_DRUG_022,calcitriol,True,22
23,BIOKORF_DRUG_023,pravastatin,True,23
24,BIOKORF_DRUG_024,fluvoxamine,True,24
25,BIOKORF_DRUG_025,valsartan,True,25
26,BIOKORF_DRUG_026,ramipril,True,26
27,BIOKORF_DRUG_027,flunisolide,True,27
28,BIOKORF_DRUG_028,baclofen,True,28
29,BIOKORF_DRUG_029,nicotine,True,29
30,BIOKORF_DRUG_030,cevimeline,True,30
31,BIOKORF_DRUG_031,lorazepam,True,31
32,BIOKORF_DRUG_032,esmolol,True,32
33,BIOKORF_DRUG_033,bortezomib,True,33
34,BIOKORF_DRUG_034,tramadol,True,34
35,BIOKORF_DRUG_035,betaxolol,True,35
36,BIOKORF_DRUG_036,fluconazole,True,36
37,BIOKORF_DRUG_037,oseltamivir,True,37
38,BIOKORF_DRUG_038,caffeine,True,38
39,BIOKORF_DRUG_039,sildenafil,True,39
40,BIOKORF_DRUG_040,dofetilide,True,40
41,BIOKORF_DRUG_041,azithromycin,True,41
42,BIOKORF_DRUG_042,trospium,True,42
43,BIOKORF_DRUG_043,adapalene,True,43
44,BIOKORF_DRUG_044,midodrine,True,44
45,BIOKORF_DRUG_045,pantoprazole,True,45
46,BIOKORF_DRUG_046,torasemide,True,46
47,BIOKORF_DRUG_047,citalopram,True,47
48,BIOKORF_DRUG_048,eletriptan,True,48
49,BIOKORF_DRUG_049,moxifloxacin,True,49
50,BIOKORF_DRUG_050,nelfinavir,True,50
51,BIOKORF_DRUG_051,glimepiride,True,51
52,BIOKORF_DRUG_052,indinavir,True,52
53,BIOKORF_DRUG_053,lovastatin,True,53
54,BIOKORF_DRUG_054,pregabalin,True,54
55,BIOKORF_DRUG_055,temazepam,True,55
56,BIOKORF_DRUG_056,reboxetine,True,56
57,BIOKORF_DRUG_057,nevirapine,True,57
58,BIOKORF_DRUG_058,cladribine,True,58
59,BIOKORF_DRUG_059,ranolazine,True,59
60,BIOKORF_DRUG_060,mesalazine,True,60
61,BIOKORF_DRUG_061,ziprasidone,True,61
62,BIOKORF_DRUG_062,cabergoline,True,62
63,BIOKORF_DRUG_063,dapsone,True,63
64,BIOKORF_DRUG_064,terconazole,True,64
65,BIOKORF_DRUG_065,phenytoin,True,65
66,BIOKORF_DRUG_066,doxycycline,True,66
67,BIOKORF_DRUG_067,anagrelide,True,67
68,BIOKORF_DRUG_068,carmustine,True,68
69,BIOKORF_DRUG_069,metoprolol,True,69
70,BIOKORF_DRUG_070,ropinirole,True,70
71,BIOKORF_DRUG_071,isradipine,True,71
72,BIOKORF_DRUG_072,topiramate,True,72
73,BIOKORF_DRUG_073,olmesartan.medoxomil,False,73
74,BIOKORF_DRUG_074,amsacrine,True,74
75,BIOKORF_DRUG_075,theophylline,True,75
76,BIOKORF_DRUG_076,argatroban,True,76
77,BIOKORF_DRUG_077,lidocaine,True,77
78,BIOKORF_DRUG_078,pamidronic.acid,True,78
79,BIOKORF_DRUG_079,venlafaxine,True,79
80,BIOKORF_DRUG_080,conjugated.estrogens,True,80
81,BIOKORF_DRUG_081,travoprost,True,81
82,BIOKORF_DRUG_082,atomoxetine,True,82
83,BIOKORF_DRUG_083,bleomycin,False,83
84,BIOKORF_DRUG_084,chlorambucil,True,84
85,BIOKORF_DRUG_085,raltitrexed,True,85
86,BIOKORF_DRUG_086,etonogestrel,True,86
87,BIOKORF_DRUG_087,morphine,True,87
88,BIOKORF_DRUG_088,ropivacaine,True,88
89,BIOKORF_DRUG_089,bupivacaine,True,89
90,BIOKORF_DRUG_090,penciclovir,True,90
91,BIOKORF_DRUG_091,tenofovir.disoproxil,True,91
92,BIOKORF_DRUG_092,flucloxacillin,True,92
93,BIOKORF_DRUG_093,tranexamic.acid,True,93
94,BIOKORF_DRUG_094,ertapenem,True,94
95,BIOKORF_DRUG_095,bexarotene,True,95
96,BIOKORF_DRUG_096,ibutilide,True,96
97,BIOKORF_DRUG_097,chlortalidone,True,97
98,BIOKORF_DRUG_098,valproic.acid,True,98
99,BIOKORF_DRUG_099,zolmitriptan,True,99
100,BIOKORF_DRUG_100,paracetamol,True,100
101,BIOKORF_DRUG_101,gefitinib,True,101
102,BIOKORF_DRUG_102,piperacillin,True,102
103,BIOKORF_DRUG_103,dihydroergotamine,True,103
104,BIOKORF_DRUG_104,tolcapone,True,104
105,BIOKORF_DRUG_105,hydromorphone,True,105
106,BIOKORF_DRUG_106,indometacin,True,106
107,BIOKORF_DRUG_107,metformin,True,107
108,BIOKORF_DRUG_108,ipratropium.bromide,True,108
109,BIOKORF_DRUG_109,olanzapine,True,109
110,BIOKORF_DRUG_110,atenolol,True,110
111,BIOKORF_DRUG_111,pimecrolimus,True,111
112,BIOKORF_DRUG_112,omeprazole,True,112
113,BIOKORF_DRUG_113,cetirizine,True,113
114,BIOKORF_DRUG_114,diltiazem,True,114
115,BIOKORF_DRUG_115,alfuzosin,True,115
116,BIOKORF_DRUG_116,nitisinone,True,116
117,BIOKORF_DRUG_117,clobazam,True,117
118,BIOKORF_DRUG_118,megestrol,True,118
119,BIOKORF_DRUG_119,aztreonam,True,119
120,BIOKORF_DRUG_120,sapropterin,True,120
121,BIOKORF_DRUG_121,vinorelbine,True,121
122,BIOKORF_DRUG_122,anidulafungin,True,122
123,BIOKORF_DRUG_123,clozapine,True,123
124,BIOKORF_DRUG_124,levonorgestrel,True,124
125,BIOKORF_DRUG_125,cidofovir,True,125
126,BIOKORF_DRUG_126,mirtazapine,True,126
127,BIOKORF_DRUG_127,timolol,True,127
128,BIOKORF_DRUG_128,treprostinil,True,128
129,BIOKORF_DRUG_129,palonosetron,True,129
130,BIOKORF_DRUG_130,mexiletine,True,130
131,BIOKORF_DRUG_131,dexrazoxane,True,131
132,BIOKORF_DRUG_132,amlodipine,True,132
133,BIOKORF_DRUG_133,digoxin,True,133
134,BIOKORF_DRUG_134,nimodipine,True,134
135,BIOKORF_DRUG_135,beclometasone,True,135
136,BIOKORF_DRUG_136,progesterone,True,136
137,BIOKORF_DRUG_137,sorafenib,True,137
138,BIOKORF_DRUG_138,zoledronic.acid,True,138
139,BIOKORF_DRUG_139,nisoldipine,True,139
140,BIOKORF_DRUG_140,eszopiclone,True,140
141,BIOKORF_DRUG_141,alprazolam,True,141
142,BIOKORF_DRUG_142,loxapine,True,142
143,BIOKORF_DRUG_143,mupirocin,True,143
144,BIOKORF_DRUG_144,rosiglitazone,True,144
145,BIOKORF_DRUG_145,pramipexole,True,145
146,BIOKORF_DRUG_146,miglustat,True,146
147,BIOKORF_DRUG_147,methylphenidate,True,147
148,BIOKORF_DRUG_148,hyoscyamine,True,148
149,BIOKORF_DRUG_149,zolpidem,True,149
150,BIOKORF_DRUG_150,famciclovir,True,150
151,BIOKORF_DRUG_151,streptozocin,True,151
152,BIOKORF_DRUG_152,allopurinol,True,152
153,BIOKORF_DRUG_153,ceftazidime,True,153
154,BIOKORF_DRUG_154,cerivastatin,True,154
155,BIOKORF_DRUG_155,trimethoprim,True,155
156,BIOKORF_DRUG_156,gemcitabine,True,156
157,BIOKORF_DRUG_157,entecavir,True,157
158,BIOKORF_DRUG_158,teniposide,True,158
159,BIOKORF_DRUG_159,epirubicin,True,159
160,BIOKORF_DRUG_160,lansoprazole,True,160
161,BIOKORF_DRUG_161,loratadine,True,161
162,BIOKORF_DRUG_162,prazosin,True,162
163,BIOKORF_DRUG_163,imipramine,True,163
164,BIOKORF_DRUG_164,acitretin,True,164
165,BIOKORF_DRUG_165,verteporfin,True,165
166,BIOKORF_DRUG_166,nabumetone,True,166
167,BIOKORF_DRUG_167,ketorolac,True,167
168,BIOKORF_DRUG_168,montelukast,True,168
169,BIOKORF_DRUG_169,fluoxetine,True,169
170,BIOKORF_DRUG_170,duloxetine,True,170
171,BIOKORF_DRUG_171,rimantadine,True,171
172,BIOKORF_DRUG_172,lenalidomide,True,172
173,BIOKORF_DRUG_173,raloxifene,True,173
174,BIOKORF_DRUG_174,celecoxib,True,174
175,BIOKORF_DRUG_175,brimonidine,True,175
176,BIOKORF_DRUG_176,dicloxacillin,True,176
177,BIOKORF_DRUG_177,nabilone,True,177
178,BIOKORF_DRUG_178,sotalol,True,178
179,BIOKORF_DRUG_179,buspirone,True,179
180,BIOKORF_DRUG_180,fosinopril,True,180
181,BIOKORF_DRUG_181,entacapone,True,181
182,BIOKORF_DRUG_182,zidovudine,True,182
183,BIOKORF_DRUG_183,darifenacin,True,183
184,BIOKORF_DRUG_184,oxycodone,True,184
185,BIOKORF_DRUG_185,flutamide,True,185
186,BIOKORF_DRUG_186,cimetidine,True,186
187,BIOKORF_DRUG_187,haloperidol,True,187
188,BIOKORF_DRUG_188,ritonavir,True,188
189,BIOKORF_DRUG_189,nitazoxanide,True,189
