matrix_index,biokorf_side_id,side_effect_name,kg_available,embedding_row
0,BIOKORF_SIDE_000,abdominal discomfort,False,0
1,BIOKORF_SIDE_001,abdominal distension,True,1
2,BIOKORF_SIDE_002,abdominal pain,True,2
3,BIOKORF_SIDE_003,abdominal pain lower,False,3
4,BIOKORF_SIDE_004,abdominal pain upper,False,4
5,BIOKORF_SIDE_005,abnormal behaviour,True,5
6,BIOKORF_SIDE_006,abnormal dreams,True,6
7,BIOKORF_SIDE_007,abnormal faeces,False,7
8,BIOKORF_SIDE_008,abscess,False,8
9,BIOKORF_SIDE_009,accommodation disorder,False,9
10,BIOKORF_SIDE_010,acidosis,True,10
11,BIOKORF_SIDE_011,acne,True,11
12,BIOKORF_SIDE_012,actinic keratosis,False,12
13,BIOKORF_SIDE_013,acute coronary syndrome,False,13
14,BIOKORF_SIDE_014,acute myocardial infarction,False,14
15,BIOKORF_SIDE_015,acute respiratory distress syndrome,True,15
16,BIOKORF_SIDE_016,adrenal insufficiency,False,16
17,BIOKORF_SIDE_017,affect lability,False,17
18,BIOKORF_SIDE_018,affective disorder,False,18
19,BIOKORF_SIDE_019,loss of taste,False,19
20,BIOKORF_SIDE_020,aggression,True,20
21,BIOKORF_SIDE_021,agitation,True,21
22,BIOKORF_SIDE_022,agranulocytosis,True,22
23,BIOKORF_SIDE_023,akathisia,True,23
24,BIOKORF_SIDE_024,can not exercise,False,24
25,BIOKORF_SIDE_025,alanine aminotransferase increased,False,25
26,BIOKORF_SIDE_026,proteinuria,True,26
27,BIOKORF_SIDE_027,alcohol intolerance,False,27
28,BIOKORF_SIDE_028,alopecia,True,28
29,BIOKORF_SIDE_029,altered state of consciousness,False,29
30,BIOKORF_SIDE_030,other allergic pneumonitis,False,30
31,BIOKORF_SIDE_031,amblyopia,True,31
32,BIOKORF_SIDE_032,amenorrhoea,False,32
33,BIOKORF_SIDE_033,amnesia,True,33
34,BIOKORF_SIDE_034,amylase increased,False,34
35,BIOKORF_SIDE_035,anaemia,True,35
36,BIOKORF_SIDE_036,anaemia large cell,False,36
37,BIOKORF_SIDE_037,anaemia megaloblastic,True,37
38,BIOKORF_SIDE_038,anal pruritus,False,38
39,BIOKORF_SIDE_039,anaphylactic shock,False,39
40,BIOKORF_SIDE_040,anaphylaxis reaction,False,40
41,BIOKORF_SIDE_041,aneurysm,True,41
42,BIOKORF_SIDE_042,anger,False,42
43,BIOKORF_SIDE_043,angina pectoris,False,43
44,BIOKORF_SIDE_044,angioedema,True,44
45,BIOKORF_SIDE_045,angiopathy,False,45
46,BIOKORF_SIDE_046,angle closure glaucoma,False,46
47,BIOKORF_SIDE_047,anorectal discomfort,False,47
48,BIOKORF_SIDE_048,anorectal disorder,False,48
49,BIOKORF_SIDE_049,inability to orgasm,False,49
50,BIOKORF_SIDE_050,antisocial behaviour,False,50
51,BIOKORF_SIDE_051,antisocial personality disorder,False,51
52,BIOKORF_SIDE_052,arrest of urinary output,False,52
53,BIOKORF_SIDE_053,anxiety,True,53
54,BIOKORF_SIDE_054,apathy,True,54
55,BIOKORF_SIDE_055,aphasia,True,55
56,BIOKORF_SIDE_056,aplasia pure red cell,True,56
57,BIOKORF_SIDE_057,aplastic anaemia,True,57
58,BIOKORF_SIDE_058,apnoea,True,58
59,BIOKORF_SIDE_059,appendicitis,False,59
60,BIOKORF_SIDE_060,application site burn,False,60
61,BIOKORF_SIDE_061,application site dryness,False,61
62,BIOKORF_SIDE_062,application site erythema,False,62
63,BIOKORF_SIDE_063,application site irritation,False,63
64,BIOKORF_SIDE_064,application site pain,False,64
65,BIOKORF_SIDE_065,application site paresthesia,False,65
66,BIOKORF_SIDE_066,application site pruritus,False,66
67,BIOKORF_SIDE_067,application site rash,False,67
68,BIOKORF_SIDE_068,application site reaction,False,68
69,BIOKORF_SIDE_069,application site vesicles,False,69
70,BIOKORF_SIDE_070,apraxia,False,70
71,BIOKORF_SIDE_071,arrhythmia,True,71
72,BIOKORF_SIDE_072,arrhythmia supraventricular,False,72
73,BIOKORF_SIDE_073,arteriosclerosis,False,73
74,BIOKORF_SIDE_074,arthralgia,True,74
75,BIOKORF_SIDE_075,arthritis,True,75
76,BIOKORF_SIDE_076,other symptoms referable to lower leg joint,False,76
77,BIOKORF_SIDE_077,ascites,True,77
78,BIOKORF_SIDE_078,asocial behaviour,False,78
79,BIOKORF_SIDE_079,aspartate aminotransferase increased,False,79
80,BIOKORF_SIDE_080,asthenia,True,80
81,BIOKORF_SIDE_081,eye strain,False,81
82,BIOKORF_SIDE_082,asthma,True,82
83,BIOKORF_SIDE_083,ataxia,True,83
84,BIOKORF_SIDE_084,atelectasis,False,84
85,BIOKORF_SIDE_085,atrial fibrillation,True,85
86,BIOKORF_SIDE_086,atrial flutter,False,86
87,BIOKORF_SIDE_087,atrioventricular block,False,87
88,BIOKORF_SIDE_088,atrioventricular block complete,False,88
89,BIOKORF_SIDE_089,atrioventricular block first degree,True,89
90,BIOKORF_SIDE_090,autonomic nervous system imbalance,False,90
91,BIOKORF_SIDE_091,syndrome uremic,False,91
92,BIOKORF_SIDE_092,back pain,True,92
93,BIOKORF_SIDE_093,bloodstream infections,False,93
94,BIOKORF_SIDE_094,bacterial infection,False,94
95,BIOKORF_SIDE_095,balance disorder,False,95
96,BIOKORF_SIDE_096,basal cell carcinoma,False,96
97,BIOKORF_SIDE_097,benign neoplasm of skin,False,97
98,BIOKORF_SIDE_098,biliary colic,False,98
99,BIOKORF_SIDE_099,bipolar disorder,False,99
100,BIOKORF_SIDE_100,bipolar i disorder,False,100
101,BIOKORF_SIDE_101,bladder cancer,False,101
102,BIOKORF_SIDE_102,bladder pain,False,102
103,BIOKORF_SIDE_103,bleeding time prolonged,True,103
104,BIOKORF_SIDE_104,dermatitis eyelid,False,104
105,BIOKORF_SIDE_105,spasm eyelid,False,105
106,BIOKORF_SIDE_106,blindness,True,106
107,BIOKORF_SIDE_107,blister,False,107
108,BIOKORF_SIDE_108,blood albumin decreased,False,108
109,BIOKORF_SIDE_109,blood alkaline phosphatase increased,False,109
110,BIOKORF_SIDE_110,blood bilirubin increased,True,110
111,BIOKORF_SIDE_111,blood calcium decreased,False,111
112,BIOKORF_SIDE_112,blood cholesterol increased,False,112
113,BIOKORF_SIDE_113,creatine kinase high,False,113
114,BIOKORF_SIDE_114,blood creatinine increased,False,114
115,BIOKORF_SIDE_115,blood disorder,True,115
116,BIOKORF_SIDE_116,blood glucose decreased,False,116
