matrix_index,source_row,drug_name,stitch_id,optimuskg_id,mapping_method,mapping_status
0,1,lepirudin,CIDm16132441,,,unmapped
1,2,bivalirudin,CIDm16129704,,,unmapped
2,3,leuprorelin,CIDm00657180,,,unmapped
3,4,goserelin,CIDm00047725,,,unmapped
4,5,erythropoietin,CIDm05288169,,,unmapped
5,6,insulin,CIDm16129672,,,unmapped
6,7,desmopressin,CIDm05311065,,,unmapped
7,8,insulin.lispro,CIDm16132438,,,unmapped
8,9,insulin.glargine,CIDm44146714,,,unmapped
9,10,rasburicase,CIDm00474409,,,unmapped
10,11,albumin,CIDm00006432,,,unmapped
11,12,eptifibatide,CIDm00448812,,,unmapped
12,13,muromonab-CD3,CIDm00083030,,,unmapped
13,14,daptomycin,CIDm16129688,,,unmapped
14,15,ciclosporin,CIDm05280754,,,unmapped
15,16,urofollitropin,CIDm00062819,,,unmapped
16,17,octreotide,CIDm00054373,,,unmapped
17,18,interferon.alfa-2b,CIDm71306834,,,unmapped
18,19,abarelix,CIDm16131215,,,unmapped
19,20,oxytocin,CIDm00005771,,,unmapped
20,21,enfuvirtide,CIDm16130199,,,unmapped
21,22,glutamine,CIDm00005961,,,unmapped
22,23,calcitriol,CIDm05280453,,,unmapped
23,24,pravastatin,CIDm00054687,,,unmapped
24,25,fluvoxamine,CIDm05324345,,,unmapped
25,26,valsartan,CIDm00060846,,,unmapped
26,27,ramipril,CIDm05362129,,,unmapped
27,28,flunisolide,CIDm00082153,,,unmapped
28,29,baclofen,CIDm00002284,,,unmapped
29,30,nicotine,CIDm00089594,,,unmapped
30,31,cevimeline,CIDm00083898,,,unmapped
31,32,lorazepam,CIDm00003958,,,unmapped
32,33,esmolol,CIDm00059768,,,unmapped
33,34,bortezomib,CIDm00387447,,,unmapped
34,35,tramadol,CIDm00033741,,,unmapped
35,36,betaxolol,CIDm00002369,,,unmapped
36,37,fluconazole,CIDm00003365,,,unmapped
37,38,oseltamivir,CIDm00065028,,,unmapped
38,39,caffeine,CIDm00002519,,,unmapped
39,40,sildenafil,CIDm00005212,,,unmapped
40,41,dofetilide,CIDm00071329,,,unmapped
41,42,azithromycin,CIDm00447043,,,unmapped
42,43,trospium,CIDm00005596,,,unmapped
43,44,adapalene,CIDm00060164,,,unmapped
44,45,midodrine,CIDm00004195,,,unmapped
