matrix_index,source_row,side_effect_name,optimuskg_id,mapping_method,mapping_status
0,1,abdominal discomfort,,,unmapped
1,2,abdominal distension,,,unmapped
2,3,abdominal pain,,,unmapped
3,4,abdominal pain lower,,,unmapped
4,5,abdominal pain upper,,,unmapped
5,6,abnormal behaviour,,,unmapped
6,7,abnormal dreams,,,unmapped
7,8,abnormal faeces,,,unmapped
8,9,abscess,,,unmapped
9,10,accommodation disorder,,,unmapped
10,11,acidosis,,,unmapped
11,12,acne,,,unmapped
12,13,actinic keratosis,,,unmapped
13,14,acute coronary syndrome,,,unmapped
14,15,acute myocardial infarction,,,unmapped
15,16,acute respiratory distress syndrome,,,unmapped
16,17,adrenal insufficiency,,,unmapped
17,18,affect lability,,,unmapped
18,19,affective disorder,,,unmapped
19,20,loss of taste,,,unmapped
20,21,aggression,,,unmapped
21,22,agitation,,,unmapped
22,23,agranulocytosis,,,unmapped
23,24,akathisia,,,unmapped
24,25,can not exercise,,,unmapped
25,26,alanine aminotransferase increased,,,unmapped
26,27,proteinuria,,,unmapped
27,28,alcohol intolerance,,,unmapped
28,29,alopecia,,,unmapped
29,30,altered state of consciousness,,,unmapped
30,31,other allergic pneumonitis,,,unmapped
31,32,amblyopia,,,unmapped
32,33,amenorrhoea,,,unmapped
33,34,amnesia,,,unmapped
34,35,amylase increased,,,unmapped
35,36,anaemia,,,unmapped
36,37,anaemia large cell,,,unmapped
37,38,anaemia megaloblastic,,,unmapped
38,39,anal pruritus,,,unmapped
39,40,anaphylactic shock,,,unmapped
40,41,anaphylaxis reaction,,,unmapped
41,42,aneurysm,,,unmapped
42,43,anger,,,unmapped
43,44,angina pectoris,,,unmapped
44,45,angioedema,,,unmapped
45,46,angiopathy,,,unmapped
46,47,angle closure glaucoma,,,unmapped
47,48,anorectal discomfort,,,unmapped
48,49,anorectal disorder,,,unmapped
49,50,inability to orgasm,,,unmapped
50,51,antisocial behaviour,,,unmapped
51,52,antisocial personality disorder,,,unmapped
52,53,arrest of urinary output,,,unmapped
53,54,anxiety,,,unmapped
