matrix_index,drug_name,optimuskg_id,optimuskg_name,matched_field,inchi_key,canonical_smiles,source_ids,accession_numbers,identity_class
0,lepirudin,CHEMBL1201666,LEPIRUDIN,properties.name;properties.synonyms,"","","[""human/EPAR/refludan""]",[],insufficient_structure
0,lepirudin,DRUGBANK:DB00001,Lepirudin,properties.name;properties.synonyms,"","",[],"[""BTD00024"",""BIOD00024""]",insufficient_structure
1,bivalirudin,CHEMBL5314348,BIVALIRUDIN,properties.name;properties.synonyms;properties.trade_names,"","","[""human/EPAR/angiox"",""bivalirudin""]",[],insufficient_structure
1,bivalirudin,DRUGBANK:DB00006,Bivalirudin,properties.name;properties.synonyms,OIRCOABEOLEUMC-GEJPAHFPSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,[],"[""BTD00076"",""EXPT03302"",""BIOD00076"",""DB02351""]",insufficient_structure
7,insulin.lispro,CHEMBL1201538,INSULIN LISPRO,properties.name;properties.synonyms,"","","[""human/EPAR/insulin-lispro-sanofi"",""insulin%20lispro"",""insulin%20lispro%20recombinant"",""insulin%20lispro-aabc""]",[],insufficient_structure
7,insulin.lispro,DRUGBANK:DB00046,Insulin lispro,properties.name;properties.synonyms,"","",[],"[""BTD00065"",""BIOD00065"",""DB01310""]",insufficient_structure
8,insulin.glargine,CHEMBL1201497,INSULIN GLARGINE,properties.name;properties.synonyms,"","","[""human/EPAR/toujeo-previously-optisulin"",""insulin%20glargine"",""insulin%20glargine%20recombinant""]",[],insufficient_structure
8,insulin.glargine,DRUGBANK:DB00047,Insulin glargine,properties.name;properties.synonyms,"","",[],"[""BTD00045"",""BIOD00045"",""DB01308""]",insufficient_structure
9,rasburicase,CHEMBL1201594,RASBURICASE,properties.name;properties.synonyms,"","","[""rasburicase"",""human/EPAR/fasturtec""]",[],insufficient_structure
9,rasburicase,DRUGBANK:DB00049,Rasburicase,properties.name;properties.synonyms,"","",[],"[""BTD00090"",""BIOD00090""]",insufficient_structure
