matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,matched_field,inchi_key,canonical_smiles,source_ids,accession_numbers
0,lepirudin,CIDm16132441,CHEMBL1201666,LEPIRUDIN,properties.name;properties.synonyms,"","","[""human/EPAR/refludan""]",[]
0,lepirudin,CIDm16132441,DRUGBANK:DB00001,Lepirudin,properties.name;properties.synonyms,"","",[],"[""BTD00024"",""BIOD00024""]"
1,bivalirudin,CIDm16129704,CHEMBL5314348,BIVALIRUDIN,properties.name;properties.synonyms;properties.trade_names,"","","[""human/EPAR/angiox"",""bivalirudin""]",[]
1,bivalirudin,CIDm16129704,DRUGBANK:DB00006,Bivalirudin,properties.name;properties.synonyms,OIRCOABEOLEUMC-GEJPAHFPSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,[],"[""BTD00076"",""EXPT03302"",""BIOD00076"",""DB02351""]"
2,leuprorelin,CIDm00657180,CHEMBL1200775,LEUPROLIDE ACETATE,properties.trade_names,RGLRXNKKBLIBQS-XNHQSDQCSA-N,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,"[""63597"",""leuprolide%20acetate""]",[]
2,leuprorelin,CIDm00657180,CHEMBL1201199,LEUPROLIDE,properties.synonyms,GFIJNRVAKGFPGQ-LIJARHBVSA-N,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,"[""DB00007"",""6427""]",[]
3,goserelin,CIDm00047725,CHEMBL1201247,GOSERELIN,properties.name;properties.synonyms,BLCLNMBMMGCOAS-URPVMXJPSA-N,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,"[""DB00014""]",[]
4,erythropoietin,CIDm05288169,CHEMBL1201565,EPOETIN ALFA,properties.synonyms,"","","[""human/EPAR/abseamed"",""epoetin%20alfa-epbx""]",[]
4,erythropoietin,CIDm05288169,CHEMBL2108593,EPOETIN ZETA,properties.synonyms,"","","[""human/EPAR/retacrit""]",[]
4,erythropoietin,CIDm05288169,CHEMBL2109092,EPOETIN BETA,properties.synonyms,"","","[""human/EPAR/neorecormon""]",[]
