matrix_index,drug_name,stitch_id,name_resolution_status,name_selected_id,name_candidate_ids,structure_status,structure_match_ids,intersection_ids,proposed_optimuskg_id,evidence_class,confidence,final_status
0,lepirudin,CIDm16132441,ambiguous,"","[""CHEMBL1201666"",""DRUGBANK:DB00001""]",stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
1,bivalirudin,CIDm16129704,ambiguous,"","[""CHEMBL5314348"",""DRUGBANK:DB00006""]",unique_structure_match,"[""DRUGBANK:DB00006""]","[""DRUGBANK:DB00006""]",DRUGBANK:DB00006,resolved_by_unique_structure_candidate,very_high,resolved
2,leuprorelin,CIDm00657180,resolved,CHEMBL1201199,"[""CHEMBL1200775"",""CHEMBL1201199""]",stitch_not_found,[],[],CHEMBL1201199,name_only_resolved,high,resolved
3,goserelin,CIDm00047725,resolved,CHEMBL1201247,"[""CHEMBL1201247""]",multiple_structure_matches,"[""CHEMBL1200501"",""CHEMBL1201247""]","[""CHEMBL1201247""]",CHEMBL1201247,confirmed_name_structure,very_high,resolved
4,erythropoietin,CIDm05288169,resolved,DRUGBANK:DB00016,"[""CHEMBL1201565"",""CHEMBL2108593"",""CHEMBL2109092"",""DRUGBANK:DB00016""]",stitch_not_found,[],[],DRUGBANK:DB00016,supported_canonical_name,high,resolved
5,insulin,CIDm16129672,resolved,CHEMBL1201631,"[""CHEMBL1201631""]",stitch_found_no_optimuskg_match,[],[],CHEMBL1201631,name_only_resolved,high,resolved
6,desmopressin,CIDm05311065,resolved,CHEMBL1429,"[""CHEMBL1429""]",stitch_not_found,[],[],CHEMBL1429,name_only_resolved,high,resolved
7,insulin.lispro,CIDm16132438,ambiguous,"",[],stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
8,insulin.glargine,CIDm44146714,ambiguous,"",[],stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
9,rasburicase,CIDm00474409,ambiguous,"","[""CHEMBL1201594"",""DRUGBANK:DB00049""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
10,albumin,CIDm00006432,resolved,CHEMBL1201451,"[""CHEMBL1201451""]",unique_structure_match,"[""CHEMBL1663""]",[],"",conflicting_evidence,review_required,review_required
11,eptifibatide,CIDm00448812,ambiguous,"","[""CHEMBL1174"",""DRUGBANK:DB00063""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
12,muromonab-CD3,CIDm00083030,resolved,CHEMBL1201608,"[""CHEMBL1201608"",""DRUGBANK:DB00075""]",stitch_found_no_optimuskg_match,[],[],CHEMBL1201608,supported_canonical_name,high,resolved
13,daptomycin,CIDm16129688,ambiguous,"","[""CHEMBL387675"",""DRUGBANK:DB00080"",""RXNORM:22299""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
14,ciclosporin,CIDm05280754,resolved,CHEMBL160,"[""CHEMBL160""]",stitch_not_found,[],[],CHEMBL160,name_only_resolved,high,resolved
15,urofollitropin,CIDm00062819,resolved,CHEMBL1201520,"[""CHEMBL1201520""]",stitch_found_no_optimuskg_match,[],[],CHEMBL1201520,name_only_resolved,high,resolved
16,octreotide,CIDm00054373,resolved,CHEMBL1680,"[""CHEMBL1680""]",multiple_structure_matches,"[""CHEMBL1200480"",""CHEMBL1680"",""CHEMBL3545066""]","[""CHEMBL1680""]",CHEMBL1680,confirmed_name_structure,very_high,resolved
17,interferon.alfa-2b,CIDm71306834,ambiguous,"",[],stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
18,abarelix,CIDm16131215,resolved,CHEMBL1252,"[""CHEMBL1252""]",unique_structure_match,"[""CHEMBL1252""]","[""CHEMBL1252""]",CHEMBL1252,confirmed_name_structure,very_high,resolved
19,oxytocin,CIDm00005771,ambiguous,"","[""CHEMBL395429"",""DRUGBANK:DB00107""]",equivalent_structure_group,"[""CHEMBL395429"",""DRUGBANK:DB00107""]","[""CHEMBL395429"",""DRUGBANK:DB00107""]","",unresolved_ambiguous,review_required,unresolved
