matrix_index,drug_name,stitch_id,triage_class,supported_optimuskg_ids,supported_names,candidate_count,evidence_summary,recommended_action,requires_manual_review
10,albumin,CIDm00006432,TRUE_CONFLICT,"[""CHEMBL1201451"",""CHEMBL1663""]","[""ALBUMIN HUMAN"",""PERFLUTREN""]",2,"{""fused_evidence_class"":""conflicting_evidence"",""name_resolution_status"":""resolved"",""name_selected_id"":""CHEMBL1201451"",""name_candidate_ids"":[""CHEMBL1201451""],""structure_status"":""unique_structure_match"",""structure_match_ids"":[""CHEMBL1663""],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1201451"",""name"":""ALBUMIN HUMAN"",""type"":""Protein"",""matched_fields"":[""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[],""accession_numbers"":[],""evidence_sources"":[""name_candidate"",""selected_name_mapping""]},{""optimuskg_id"":""CHEMBL1663"",""name"":""PERFLUTREN"",""type"":""Small molecule"",""matched_fields"":[],""inchi_key"":""QYSGYZVSCZSLHT-UHFFFAOYSA-N"",""canonical_smiles"":""FC(F)(F)C(F)(F)C(F)(F)F"",""source_ids"":[""DB00556"",""31980"",""human/EPAR/luminity"",""perflutren""],""accession_numbers"":[],""evidence_sources"":[""stitch_structure""]}]}",Manually adjudicate discordant name and structure identities.,true
13,daptomycin,CIDm16129688,FORM_OR_SALT_AMBIGUITY,"[""CHEMBL387675"",""DRUGBANK:DB00080"",""RXNORM:22299""]","[""DAPTOMYCIN"",""Daptomycin"",""daptomycin""]",3,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[""CHEMBL387675"",""DRUGBANK:DB00080"",""RXNORM:22299""],""structure_status"":""stitch_not_found"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL387675"",""name"":""DAPTOMYCIN"",""type"":""Protein"",""matched_fields"":[""properties.name"",""properties.synonyms"",""properties.trade_names""],""inchi_key"":""DOAKLVKFURWEDJ-RWDRXURGSA-N"",""canonical_smiles"":""CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C"",""source_ids"":[""human/EPAR/cubicin"",""600103"",""daptomycin""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate""]},{""optimuskg_id"":""DRUGBANK:DB00080"",""name"":""Daptomycin"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""DOAKLVKFURWEDJ-QCMAZARJSA-N"",""canonical_smiles"":""CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O"",""source_ids"":[],""accession_numbers"":[""BTD00111"",""BIOD00111""],""evidence_sources"":[""identity_analysis"",""name_candidate""]},{""optimuskg_id"":""RXNORM:22299"",""name"":""daptomycin"",""type"":""Ingredient"",""matched_fields"":[""properties.name""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate""]}]}","Review salt, form, stereochemistry, isotope, or formulation differences.",true
73,olmesartan.medoxomil,CIDm00158781,FORM_OR_SALT_AMBIGUITY,"[""CHEMBL1200692"",""CHEMBL1516""]","[""OLMESARTAN"",""OLMESARTAN MEDOXOMIL""]",2,"{""fused_evidence_class"":""conflicting_evidence"",""name_resolution_status"":""resolved"",""name_selected_id"":""CHEMBL1200692"",""name_candidate_ids"":[],""structure_status"":""unique_structure_match"",""structure_match_ids"":[""CHEMBL1516""],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1200692"",""name"":""OLMESARTAN MEDOXOMIL"",""type"":""Small molecule"",""matched_fields"":[],""inchi_key"":""UQGKUQLKSCSZGY-UHFFFAOYSA-N"",""canonical_smiles"":""CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1"",""source_ids"":[""olmesartan%20medoxomil""],""accession_numbers"":[],""evidence_sources"":[""selected_name_mapping""]},{""optimuskg_id"":""CHEMBL1516"",""name"":""OLMESARTAN"",""type"":""Small molecule"",""matched_fields"":[],""inchi_key"":""VTRAEEWXHOVJFV-UHFFFAOYSA-N"",""canonical_smiles"":""CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1"",""source_ids"":[""48416"",""DB00275""],""accession_numbers"":[],""evidence_sources"":[""stitch_structure""]}]}",Review parent/form relationship; do not collapse chemical forms.,true
83,bleomycin,CIDm05360373,FORM_OR_SALT_AMBIGUITY,"[""CHEMBL403664"",""DRUGBANK:DB00290""]","[""BLEOMYCIN"",""Bleomycin""]",2,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[""CHEMBL403664"",""DRUGBANK:DB00290""],""structure_status"":""stitch_not_found"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL403664"",""name"":""BLEOMYCIN"",""type"":""Small molecule"",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""OYVAGSVQBOHSSS-UAPAGMARSA-O"",""canonical_smiles"":""Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1"",""source_ids"":[""3139""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate""]},{""optimuskg_id"":""DRUGBANK:DB00290"",""name"":""Bleomycin"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""OYVAGSVQBOHSSS-WXFSZRTFSA-O"",""canonical_smiles"":"""",""source_ids"":[],""accession_numbers"":[""APRD00453"",""EXPT00718""],""evidence_sources"":[""identity_analysis"",""name_candidate""]}]}","Review salt, form, stereochemistry, isotope, or formulation differences.",true
204,gadoversetamide,CIDm00444013,NO_OPTIMUSKG_NODE,[],[],0,"{""fused_evidence_class"":""unresolved_unmatched"",""name_resolution_status"":""unmatched"",""name_selected_id"":"""",""name_candidate_ids"":[],""structure_status"":""stitch_found_no_optimuskg_match"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[]}",Keep unmapped and perform later curated/manual ontology review.,true
261,nafarelin,CIDm25077649,FORM_OR_SALT_AMBIGUITY,"[""CHEMBL1201309"",""DRUGBANK:DB00666""]","[""NAFARELIN"",""Nafarelin""]",2,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[""CHEMBL1201309"",""DRUGBANK:DB00666""],""structure_status"":""stitch_not_found"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1201309"",""name"":""NAFARELIN"",""type"":""Protein"",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""PPXLVGBVOZLEIW-ITQXDASVSA-N"",""canonical_smiles"":""CC(C)C[C@H](NC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O"",""source_ids"":[],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate""]},{""optimuskg_id"":""DRUGBANK:DB00666"",""name"":""Nafarelin"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""RWHUEXWOYVBUCI-ITQXDASVSA-N"",""canonical_smiles"":""CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O"",""source_ids"":[],""accession_numbers"":[""APRD01129""],""evidence_sources"":[""identity_analysis"",""name_candidate""]}]}","Review salt, form, stereochemistry, isotope, or formulation differences.",true
272,pentosan.polysulfate.sodium,CIDm00037720,TRUE_CONFLICT,"[""CHEMBL1201516"",""CHEMBL4073796""]","[""CHEMBL4073796"",""PENTOSAN POLYSULFATE SODIUM""]",2,"{""fused_evidence_class"":""conflicting_evidence"",""name_resolution_status"":""resolved"",""name_selected_id"":""CHEMBL1201516"",""name_candidate_ids"":[],""structure_status"":""unique_structure_match"",""structure_match_ids"":[""CHEMBL4073796""],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1201516"",""name"":""PENTOSAN POLYSULFATE SODIUM"",""type"":""Small molecule"",""matched_fields"":[],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[""pentosan%20polysulfate%20sodium"",""human/EPAR/elmiron""],""accession_numbers"":[],""evidence_sources"":[""selected_name_mapping""]},{""optimuskg_id"":""CHEMBL4073796"",""name"":""CHEMBL4073796"",""type"":""Small molecule"",""matched_fields"":[],""inchi_key"":""FCCNSUIJIOOXEZ-SJYYZXOBSA-N"",""canonical_smiles"":""O=S(=O)(O)O[C@@H]1[C@@H](OS(=O)(=O)O)[C@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)OC[C@H]1O"",""source_ids"":[""DB00686""],""accession_numbers"":[],""evidence_sources"":[""stitch_structure""]}]}",Manually adjudicate discordant name and structure identities.,true
273,moexipril,CIDm00055331,FORM_OR_SALT_AMBIGUITY,"[""CHEMBL1165"",""CHEMBL1201405""]","[""MOEXIPRIL"",""MOEXIPRILAT""]",2,"{""fused_evidence_class"":""conflicting_evidence"",""name_resolution_status"":""resolved"",""name_selected_id"":""CHEMBL1165"",""name_candidate_ids"":[""CHEMBL1165""],""structure_status"":""unique_structure_match"",""structure_match_ids"":[""CHEMBL1201405""],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1165"",""name"":""MOEXIPRIL"",""type"":""Small molecule"",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""UWWDHYUMIORJTA-HSQYWUDLSA-N"",""canonical_smiles"":""CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O"",""source_ids"":[""6960"",""DB00691""],""accession_numbers"":[],""evidence_sources"":[""name_candidate"",""selected_name_mapping""]},{""optimuskg_id"":""CHEMBL1201405"",""name"":""MOEXIPRILAT"",""type"":""Small molecule"",""matched_fields"":[],""inchi_key"":""CMPAGYDKASJORH-YSSFQJQWSA-N"",""canonical_smiles"":""COc1cc2c(cc1OC)CN(C(=O)[C@H](C)N[C@@H](CCc1ccccc1)C(=O)O)[C@H](C(=O)O)C2"",""source_ids"":[""DB14210""],""accession_numbers"":[],""evidence_sources"":[""stitch_structure""]}]}",Review parent/form relationship; do not collapse chemical forms.,true
275,fluorescein,CIDm00016850,TRUE_CONFLICT,"[""CHEMBL1057"",""CHEMBL4297067""]","[""CHEMBL1057"",""FLUORESCEIN""]",2,"{""fused_evidence_class"":""conflicting_evidence"",""name_resolution_status"":""resolved"",""name_selected_id"":""CHEMBL4297067"",""name_candidate_ids"":[""CHEMBL4297067""],""structure_status"":""unique_structure_match"",""structure_match_ids"":[""CHEMBL1057""],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1057"",""name"":""CHEMBL1057"",""type"":""Small molecule"",""matched_fields"":[],""inchi_key"":""GNBHRKFJIUUOQI-UHFFFAOYSA-N"",""canonical_smiles"":""O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21"",""source_ids"":[""DB00693"",""31624""],""accession_numbers"":[],""evidence_sources"":[""stitch_structure""]},{""optimuskg_id"":""CHEMBL4297067"",""name"":""FLUORESCEIN"",""type"":""Small molecule"",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""VDBJCDWTNCKRTF-UHFFFAOYSA-N"",""canonical_smiles"":""O=C1C=CC2C(=C1)Oc1cc(O)ccc1C21OC(=O)c2ccccc21"",""source_ids"":[],""accession_numbers"":[],""evidence_sources"":[""name_candidate"",""selected_name_mapping""]}]}",Manually adjudicate discordant name and structure identities.,true
298,pentamidine.isethionate,CIDm00004735,FORM_OR_SALT_AMBIGUITY,"[""CHEMBL361506"",""CHEMBL55""]","[""PENTAMIDINE"",""PENTAMIDINE ISETHIONATE""]",2,"{""fused_evidence_class"":""conflicting_evidence"",""name_resolution_status"":""resolved"",""name_selected_id"":""CHEMBL361506"",""name_candidate_ids"":[],""structure_status"":""unique_structure_match"",""structure_match_ids"":[""CHEMBL55""],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL361506"",""name"":""PENTAMIDINE ISETHIONATE"",""type"":""Small molecule"",""matched_fields"":[],""inchi_key"":""YBVNFKZSMZGRAD-UHFFFAOYSA-N"",""canonical_smiles"":""N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO"",""source_ids"":[""pentamidine%20isethionate"",""7977""],""accession_numbers"":[],""evidence_sources"":[""selected_name_mapping""]},{""optimuskg_id"":""CHEMBL55"",""name"":""PENTAMIDINE"",""type"":""Small molecule"",""matched_fields"":[],""inchi_key"":""XDRYMKDFEDOLFX-UHFFFAOYSA-N"",""canonical_smiles"":""N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1"",""source_ids"":[""DB00738"",""45081""],""accession_numbers"":[],""evidence_sources"":[""stitch_structure""]}]}",Review parent/form relationship; do not collapse chemical forms.,true
