matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,mapping_method,mapping_confidence,candidate_count,resolution_status
0,lepirudin,CIDm16132441,"","","","",2,ambiguous
1,bivalirudin,CIDm16129704,"","","","",2,ambiguous
2,leuprorelin,CIDm00657180,CHEMBL1201199,LEUPROLIDE,synonym_disambiguation,high,2,resolved
3,goserelin,CIDm00047725,CHEMBL1201247,GOSERELIN,unique_exact,high,1,resolved
4,erythropoietin,CIDm05288169,DRUGBANK:DB00016,Erythropoietin,canonical_name_disambiguation,high,4,resolved
5,insulin,CIDm16129672,CHEMBL1201631,INSULIN HUMAN,unique_exact,high,1,resolved
6,desmopressin,CIDm05311065,CHEMBL1429,DESMOPRESSIN,unique_exact,high,1,resolved
7,insulin.lispro,CIDm16132438,"","","","",2,ambiguous
8,insulin.glargine,CIDm44146714,"","","","",2,ambiguous
9,rasburicase,CIDm00474409,"","","","",2,ambiguous
10,albumin,CIDm00006432,CHEMBL1201451,ALBUMIN HUMAN,unique_exact,high,1,resolved
11,eptifibatide,CIDm00448812,"","","","",2,ambiguous
12,muromonab-CD3,CIDm00083030,CHEMBL1201608,MUROMONAB-CD3,canonical_name_disambiguation,high,2,resolved
13,daptomycin,CIDm16129688,"","","","",3,ambiguous
14,ciclosporin,CIDm05280754,CHEMBL160,CYCLOSPORINE,unique_exact,high,1,resolved
15,urofollitropin,CIDm00062819,CHEMBL1201520,UROFOLLITROPIN,unique_exact,high,1,resolved
16,octreotide,CIDm00054373,CHEMBL1680,OCTREOTIDE,unique_exact,high,1,resolved
17,interferon.alfa-2b,CIDm71306834,"","","","",2,ambiguous
18,abarelix,CIDm16131215,CHEMBL1252,ABARELIX,unique_exact,high,1,resolved
19,oxytocin,CIDm00005771,"","","","",2,ambiguous
20,enfuvirtide,CIDm16130199,"","","","",2,ambiguous
21,glutamine,CIDm00005961,CHEMBL930,GLUTAMINE,unique_exact,high,1,resolved
22,calcitriol,CIDm05280453,CHEMBL846,CALCITRIOL,unique_exact,high,1,resolved
23,pravastatin,CIDm00054687,CHEMBL1144,PRAVASTATIN,unique_exact,high,1,resolved
24,fluvoxamine,CIDm05324345,CHEMBL814,FLUVOXAMINE,unique_exact,high,1,resolved
25,valsartan,CIDm00060846,CHEMBL1069,VALSARTAN,unique_exact,high,1,resolved
26,ramipril,CIDm05362129,CHEMBL1168,RAMIPRIL,unique_exact,high,1,resolved
27,flunisolide,CIDm00082153,CHEMBL1512,FLUNISOLIDE,unique_exact,high,1,resolved
28,baclofen,CIDm00002284,CHEMBL701,BACLOFEN,unique_exact,high,1,resolved
29,nicotine,CIDm00089594,CHEMBL3,NICOTINE,unique_exact,high,1,resolved
30,cevimeline,CIDm00083898,"","","","",3,ambiguous
31,lorazepam,CIDm00003958,CHEMBL580,LORAZEPAM,unique_exact,high,1,resolved
32,esmolol,CIDm00059768,CHEMBL768,ESMOLOL,unique_exact,high,1,resolved
33,bortezomib,CIDm00387447,"","","","",2,ambiguous
