matrix_index,drug_name,stitch_id,name_resolution_status,name_selected_id,name_candidate_ids,structure_status,structure_match_ids,intersection_ids,proposed_optimuskg_id,evidence_class,confidence,final_status
0,lepirudin,CIDm16132441,ambiguous,"","[""CHEMBL1201666"",""DRUGBANK:DB00001""]",stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
7,insulin.lispro,CIDm16132438,ambiguous,"",[],stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
8,insulin.glargine,CIDm44146714,ambiguous,"",[],stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
9,rasburicase,CIDm00474409,ambiguous,"","[""CHEMBL1201594"",""DRUGBANK:DB00049""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
10,albumin,CIDm00006432,resolved,CHEMBL1201451,"[""CHEMBL1201451""]",unique_structure_match,"[""CHEMBL1663""]",[],"",conflicting_evidence,review_required,review_required
11,eptifibatide,CIDm00448812,ambiguous,"","[""CHEMBL1174"",""DRUGBANK:DB00063""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
13,daptomycin,CIDm16129688,ambiguous,"","[""CHEMBL387675"",""DRUGBANK:DB00080"",""RXNORM:22299""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
17,interferon.alfa-2b,CIDm71306834,ambiguous,"",[],stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
19,oxytocin,CIDm00005771,ambiguous,"","[""CHEMBL395429"",""DRUGBANK:DB00107""]",equivalent_structure_group,"[""CHEMBL395429"",""DRUGBANK:DB00107""]","[""CHEMBL395429"",""DRUGBANK:DB00107""]","",unresolved_ambiguous,review_required,unresolved
20,enfuvirtide,CIDm16130199,ambiguous,"","[""CHEMBL525076"",""DRUGBANK:DB00109""]",equivalent_structure_group,"[""CHEMBL525076"",""DRUGBANK:DB00109""]","[""CHEMBL525076"",""DRUGBANK:DB00109""]","",unresolved_ambiguous,review_required,unresolved
30,cevimeline,CIDm00083898,ambiguous,"","[""CHEMBL168815"",""CHEMBL2218917"",""DRUGBANK:DB00185""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
33,bortezomib,CIDm00387447,ambiguous,"","[""CHEMBL325041"",""RXNORM:358258""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
73,olmesartan.medoxomil,CIDm00158781,resolved,CHEMBL1200692,[],unique_structure_match,"[""CHEMBL1516""]",[],"",conflicting_evidence,review_required,review_required
83,bleomycin,CIDm05360373,ambiguous,"","[""CHEMBL403664"",""DRUGBANK:DB00290""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
91,tenofovir.disoproxil,CIDm05481350,ambiguous,"",[],stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
128,treprostinil,CIDm06918140,ambiguous,"","[""CHEMBL1237119"",""RXNORM:343048""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
181,entacapone,CIDm05281081,ambiguous,"","[""CHEMBL953"",""RXNORM:60307""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
188,ritonavir,CIDm00392622,ambiguous,"","[""CHEMBL163"",""RXNORM:85762""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
194,caspofungin,CIDm02826718,ambiguous,"","[""CHEMBL1630575"",""DRUGBANK:DB00520""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
204,gadoversetamide,CIDm00444013,unmatched,"",[],stitch_found_no_optimuskg_match,[],[],"",unresolved_unmatched,unresolved,unresolved
218,methotrexate,CIDm00126941,ambiguous,"","[""CHEMBL34259"",""RXNORM:6851""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
233,gadoteridol,CIDm00060714,ambiguous,"","[""CHEMBL1200593"",""DRUGBANK:DB00597""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
236,ivermectin,CIDm06435110,ambiguous,"","[""CHEMBL1200633"",""DRUGBANK:DB00602""]",equivalent_structure_group,"[""CHEMBL1200633"",""DRUGBANK:DB00602""]","[""CHEMBL1200633"",""DRUGBANK:DB00602""]","",unresolved_ambiguous,review_required,unresolved
238,butorphanol,CIDm05361092,ambiguous,"","[""CHEMBL33986"",""DRUGBANK:DB00611""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
243,testosterone,CIDm00006013,ambiguous,"","[""CHEMBL386630"",""RXNORM:10379""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
261,nafarelin,CIDm25077649,ambiguous,"","[""CHEMBL1201309"",""DRUGBANK:DB00666""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
272,pentosan.polysulfate.sodium,CIDm00037720,resolved,CHEMBL1201516,[],unique_structure_match,"[""CHEMBL4073796""]",[],"",conflicting_evidence,review_required,review_required
273,moexipril,CIDm00055331,resolved,CHEMBL1165,"[""CHEMBL1165""]",unique_structure_match,"[""CHEMBL1201405""]",[],"",conflicting_evidence,review_required,review_required
275,fluorescein,CIDm00016850,resolved,CHEMBL4297067,"[""CHEMBL4297067""]",unique_structure_match,"[""CHEMBL1057""]",[],"",conflicting_evidence,review_required,review_required
284,porfimer.sodium,CIDm03086257,ambiguous,"",[],stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
286,lamivudine,CIDm00060825,ambiguous,"","[""CHEMBL141"",""RXNORM:68244""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
296,naftifine,CIDm00047641,ambiguous,"","[""CHEMBL626"",""DRUGBANK:DB00735""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
298,pentamidine.isethionate,CIDm00004735,resolved,CHEMBL361506,[],unique_structure_match,"[""CHEMBL55""]",[],"",conflicting_evidence,review_required,review_required
315,estradiol,CIDm00005757,ambiguous,"","[""CHEMBL135"",""RXNORM:4083""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
368,buprenorphine,CIDm06321408,ambiguous,"","[""CHEMBL511142"",""CHEMBL560511""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
372,azacitidine,CIDm00009444,ambiguous,"","[""CHEMBL1489"",""RXNORM:1251""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
384,carboplatin,CIDm00038904,ambiguous,"","[""CHEMBL1351"",""DRUGBANK:DB00958""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
398,formoterol,CIDm03083544,ambiguous,"","[""CHEMBL1256786"",""RXNORM:25255""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
405,auranofin,CIDm06918453,ambiguous,"","[""CHEMBL1366"",""DRUGBANK:DB00995""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
420,sulfamethoxazole.and.trimethoprim,CIDm00358641,unmatched,"",[],unique_structure_match,"[""CHEMBL58061""]",[],CHEMBL58061,structure_only_candidate,review_required,review_required
437,abacavir,CIDm00065139,ambiguous,"","[""CHEMBL1380"",""RXNORM:190521""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
459,heparin,CIDm00000772,ambiguous,"","[""CHEMBL4650299"",""DRUGBANK:DB01109""]",stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
480,itraconazole,CIDm00055283,ambiguous,"","[""CHEMBL64391"",""DRUGBANK:DB01167""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
481,arsenic.trioxide,CIDm00014888,ambiguous,"",[],stitch_found_no_optimuskg_match,[],[],"",unresolved_ambiguous,review_required,unresolved
497,levetiracetam,CIDm05284583,ambiguous,"","[""CHEMBL1286"",""RXNORM:114477""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
498,nadolol,CIDm00039147,ambiguous,"","[""CHEMBL521606"",""CHEMBL649""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
509,budesonide,CIDm05281004,ambiguous,"","[""CHEMBL1370"",""RXNORM:19831""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
512,paclitaxel,CIDm05352019,ambiguous,"","[""CHEMBL428647"",""RXNORM:56946""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
515,levodopa,CIDm00441193,ambiguous,"","[""CHEMBL1009"",""RXNORM:6375""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
530,posaconazole,CIDm00468595,ambiguous,"","[""CHEMBL1397"",""RXNORM:282446""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
535,varenicline,CIDm00170361,ambiguous,"","[""CHEMBL1076903"",""DRUGBANK:DB01273""]",multiple_structure_matches,"[""CHEMBL1076903"",""CHEMBL5303393"",""DRUGBANK:DB01273""]","[""CHEMBL1076903"",""DRUGBANK:DB01273""]","",unresolved_ambiguous,review_required,unresolved
