matrix_index,drug_name,stitch_id,candidate_count,candidate_ids,mapping_status
0,lepirudin,CIDm16132441,2,CHEMBL1201666;DRUGBANK:DB00001,ambiguous_exact
1,bivalirudin,CIDm16129704,2,CHEMBL5314348;DRUGBANK:DB00006,ambiguous_exact
2,leuprorelin,CIDm00657180,2,CHEMBL1200775;CHEMBL1201199,ambiguous_exact
3,goserelin,CIDm00047725,1,CHEMBL1201247,unique_exact
4,erythropoietin,CIDm05288169,4,CHEMBL1201565;CHEMBL2108593;CHEMBL2109092;DRUGBANK:DB00016,ambiguous_exact
5,insulin,CIDm16129672,1,CHEMBL1201631,unique_exact
6,desmopressin,CIDm05311065,1,CHEMBL1429,unique_exact
7,insulin.lispro,CIDm16132438,0,"",unmatched
8,insulin.glargine,CIDm44146714,0,"",unmatched
9,rasburicase,CIDm00474409,2,CHEMBL1201594;DRUGBANK:DB00049,ambiguous_exact
10,albumin,CIDm00006432,1,CHEMBL1201451,unique_exact
11,eptifibatide,CIDm00448812,2,CHEMBL1174;DRUGBANK:DB00063,ambiguous_exact
12,muromonab-CD3,CIDm00083030,2,CHEMBL1201608;DRUGBANK:DB00075,ambiguous_exact
13,daptomycin,CIDm16129688,3,CHEMBL387675;DRUGBANK:DB00080;RXNORM:22299,ambiguous_exact
14,ciclosporin,CIDm05280754,1,CHEMBL160,unique_exact
15,urofollitropin,CIDm00062819,1,CHEMBL1201520,unique_exact
16,octreotide,CIDm00054373,1,CHEMBL1680,unique_exact
17,interferon.alfa-2b,CIDm71306834,0,"",unmatched
18,abarelix,CIDm16131215,1,CHEMBL1252,unique_exact
19,oxytocin,CIDm00005771,2,CHEMBL395429;DRUGBANK:DB00107,ambiguous_exact
20,enfuvirtide,CIDm16130199,2,CHEMBL525076;DRUGBANK:DB00109,ambiguous_exact
21,glutamine,CIDm00005961,1,CHEMBL930,unique_exact
22,calcitriol,CIDm05280453,1,CHEMBL846,unique_exact
23,pravastatin,CIDm00054687,1,CHEMBL1144,unique_exact
24,fluvoxamine,CIDm05324345,1,CHEMBL814,unique_exact
25,valsartan,CIDm00060846,1,CHEMBL1069,unique_exact
26,ramipril,CIDm05362129,1,CHEMBL1168,unique_exact
27,flunisolide,CIDm00082153,1,CHEMBL1512,unique_exact
28,baclofen,CIDm00002284,1,CHEMBL701,unique_exact
29,nicotine,CIDm00089594,1,CHEMBL3,unique_exact
30,cevimeline,CIDm00083898,3,CHEMBL168815;CHEMBL2218917;DRUGBANK:DB00185,ambiguous_exact
31,lorazepam,CIDm00003958,1,CHEMBL580,unique_exact
32,esmolol,CIDm00059768,1,CHEMBL768,unique_exact
33,bortezomib,CIDm00387447,2,CHEMBL325041;RXNORM:358258,ambiguous_exact
34,tramadol,CIDm00033741,2,CHEMBL1066;CHEMBL1237044,ambiguous_exact
35,betaxolol,CIDm00002369,2,CHEMBL1691;CHEMBL423,ambiguous_exact
36,fluconazole,CIDm00003365,1,CHEMBL106,unique_exact
37,oseltamivir,CIDm00065028,1,CHEMBL1229,unique_exact
38,caffeine,CIDm00002519,1,CHEMBL113,unique_exact
39,sildenafil,CIDm00005212,1,CHEMBL192,unique_exact
40,dofetilide,CIDm00071329,1,CHEMBL473,unique_exact
41,azithromycin,CIDm00447043,1,CHEMBL529,unique_exact
42,trospium,CIDm00005596,1,CHEMBL1888176,unique_exact
43,adapalene,CIDm00060164,1,CHEMBL1265,unique_exact
44,midodrine,CIDm00004195,1,CHEMBL1201212,unique_exact
45,pantoprazole,CIDm00004679,1,CHEMBL1502,unique_exact
46,torasemide,CIDm00041781,1,CHEMBL1148,unique_exact
47,citalopram,CIDm00002771,1,CHEMBL549,unique_exact
48,eletriptan,CIDm00077993,1,CHEMBL1510,unique_exact
49,moxifloxacin,CIDm00101526,1,CHEMBL32,unique_exact
50,nelfinavir,CIDm00064142,1,CHEMBL584,unique_exact
51,glimepiride,CIDm00003476,1,CHEMBL1481,unique_exact
52,indinavir,CIDm05362440,1,CHEMBL115,unique_exact
53,lovastatin,CIDm00053232,1,CHEMBL503,unique_exact
54,pregabalin,CIDm05486971,1,CHEMBL1059,unique_exact
55,temazepam,CIDm00005391,1,CHEMBL967,unique_exact
56,reboxetine,CIDm00065856,3,CHEMBL14370;CHEMBL180101;CHEMBL383921,ambiguous_exact
57,nevirapine,CIDm00004463,1,CHEMBL57,unique_exact
58,cladribine,CIDm00020279,1,CHEMBL1619,unique_exact
59,ranolazine,CIDm00056959,1,CHEMBL1404,unique_exact
60,mesalazine,CIDm00004075,1,CHEMBL704,unique_exact
61,ziprasidone,CIDm00060853,1,CHEMBL708,unique_exact
62,cabergoline,CIDm00054746,1,CHEMBL1201087,unique_exact
63,dapsone,CIDm00002955,1,CHEMBL1043,unique_exact
64,terconazole,CIDm00441383,1,CHEMBL1306,unique_exact
65,phenytoin,CIDm00001775,1,CHEMBL16,unique_exact
66,doxycycline,CIDm54671203,2,CHEMBL1200699;CHEMBL1433,ambiguous_exact
67,anagrelide,CIDm00002182,2,CHEMBL760;RXNORM:596724,ambiguous_exact
68,carmustine,CIDm00002578,1,CHEMBL513,unique_exact
69,metoprolol,CIDm00004171,1,CHEMBL13,unique_exact
70,ropinirole,CIDm00005095,1,CHEMBL589,unique_exact
71,isradipine,CIDm00003784,1,CHEMBL1648,unique_exact
72,topiramate,CIDm05284627,1,CHEMBL220492,unique_exact
73,olmesartan.medoxomil,CIDm00158781,0,"",unmatched
74,amsacrine,CIDm00002179,1,CHEMBL43,unique_exact
75,theophylline,CIDm00002153,1,CHEMBL190,unique_exact
76,argatroban,CIDm00092721,1,CHEMBL1166,unique_exact
77,lidocaine,CIDm00003676,1,CHEMBL79,unique_exact
78,pamidronic.acid,CIDm00004673,0,"",unmatched
79,venlafaxine,CIDm00005656,1,CHEMBL637,unique_exact
