matrix_index,drug_name,stitch_id,triage_class,supported_optimuskg_ids,supported_names,candidate_count,evidence_summary,recommended_action,requires_manual_review
0,lepirudin,CIDm16132441,BIOLOGIC_OR_PEPTIDE,"[""CHEMBL1201666"",""DRUGBANK:DB00001""]","[""LEPIRUDIN"",""Lepirudin""]",2,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[""CHEMBL1201666"",""DRUGBANK:DB00001""],""structure_status"":""stitch_found_no_optimuskg_match"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1201666"",""name"":""LEPIRUDIN"",""type"":""Protein"",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[""human/EPAR/refludan""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate""]},{""optimuskg_id"":""DRUGBANK:DB00001"",""name"":""Lepirudin"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[],""accession_numbers"":[""BTD00024"",""BIOD00024""],""evidence_sources"":[""identity_analysis"",""name_candidate""]}]}",Retain supported biologic nodes; structure absence is not disqualifying.,false
7,insulin.lispro,CIDm16132438,BIOLOGIC_OR_PEPTIDE,"[""CHEMBL1201538"",""DRUGBANK:DB00046""]","[""INSULIN LISPRO"",""Insulin lispro""]",2,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[],""structure_status"":""stitch_found_no_optimuskg_match"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1201538"",""name"":""INSULIN LISPRO"",""type"":""Protein"",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[""human/EPAR/insulin-lispro-sanofi"",""insulin%20lispro"",""insulin%20lispro%20recombinant"",""insulin%20lispro-aabc""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis""]},{""optimuskg_id"":""DRUGBANK:DB00046"",""name"":""Insulin lispro"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[],""accession_numbers"":[""BTD00065"",""BIOD00065"",""DB01310""],""evidence_sources"":[""identity_analysis""]}]}",Retain supported biologic nodes; structure absence is not disqualifying.,false
8,insulin.glargine,CIDm44146714,BIOLOGIC_OR_PEPTIDE,"[""CHEMBL1201497"",""DRUGBANK:DB00047""]","[""INSULIN GLARGINE"",""Insulin glargine""]",2,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[],""structure_status"":""stitch_found_no_optimuskg_match"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1201497"",""name"":""INSULIN GLARGINE"",""type"":""Protein"",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[""human/EPAR/toujeo-previously-optisulin"",""insulin%20glargine"",""insulin%20glargine%20recombinant""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis""]},{""optimuskg_id"":""DRUGBANK:DB00047"",""name"":""Insulin glargine"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[],""accession_numbers"":[""BTD00045"",""BIOD00045"",""DB01308""],""evidence_sources"":[""identity_analysis""]}]}",Retain supported biologic nodes; structure absence is not disqualifying.,false
9,rasburicase,CIDm00474409,BIOLOGIC_OR_PEPTIDE,"[""CHEMBL1201594"",""DRUGBANK:DB00049""]","[""RASBURICASE"",""Rasburicase""]",2,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[""CHEMBL1201594"",""DRUGBANK:DB00049""],""structure_status"":""stitch_not_found"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1201594"",""name"":""RASBURICASE"",""type"":""Enzyme"",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[""rasburicase"",""human/EPAR/fasturtec""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate""]},{""optimuskg_id"":""DRUGBANK:DB00049"",""name"":""Rasburicase"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[],""accession_numbers"":[""BTD00090"",""BIOD00090""],""evidence_sources"":[""identity_analysis"",""name_candidate""]}]}",Retain supported biologic nodes; structure absence is not disqualifying.,false
10,albumin,CIDm00006432,TRUE_CONFLICT,"[""CHEMBL1201451"",""CHEMBL1663""]","[""ALBUMIN HUMAN"",""PERFLUTREN""]",2,"{""fused_evidence_class"":""conflicting_evidence"",""name_resolution_status"":""resolved"",""name_selected_id"":""CHEMBL1201451"",""name_candidate_ids"":[""CHEMBL1201451""],""structure_status"":""unique_structure_match"",""structure_match_ids"":[""CHEMBL1663""],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1201451"",""name"":""ALBUMIN HUMAN"",""type"":""Protein"",""matched_fields"":[""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[],""accession_numbers"":[],""evidence_sources"":[""name_candidate"",""selected_name_mapping""]},{""optimuskg_id"":""CHEMBL1663"",""name"":""PERFLUTREN"",""type"":""Small molecule"",""matched_fields"":[],""inchi_key"":""QYSGYZVSCZSLHT-UHFFFAOYSA-N"",""canonical_smiles"":""FC(F)(F)C(F)(F)C(F)(F)F"",""source_ids"":[""DB00556"",""31980"",""human/EPAR/luminity"",""perflutren""],""accession_numbers"":[],""evidence_sources"":[""stitch_structure""]}]}",Manually adjudicate discordant name and structure identities.,true
11,eptifibatide,CIDm00448812,SAFE_MULTI_NODE,"[""CHEMBL1174"",""DRUGBANK:DB00063""]","[""EPTIFIBATIDE"",""Eptifibatide""]",2,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[""CHEMBL1174"",""DRUGBANK:DB00063""],""structure_status"":""stitch_not_found"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1174"",""name"":""EPTIFIBATIDE"",""type"":""Protein"",""matched_fields"":[""properties.name"",""properties.synonyms"",""properties.trade_names""],""inchi_key"":""CZKPOZZJODAYPZ-LROMGURASA-N"",""canonical_smiles"":""N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O"",""source_ids"":[""291902"",""human/EPAR/eptifibatide-accord"",""eptifibatide""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate""]},{""optimuskg_id"":""DRUGBANK:DB00063"",""name"":""Eptifibatide"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""CZKPOZZJODAYPZ-LROMGURASA-N"",""canonical_smiles"":""NC(=N)NCCCC[C@@H]1NC(=O)CCSSC[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC(O)=O)NC(=O)CNC1=O)C(N)=O"",""source_ids"":[],""accession_numbers"":[""BTD00063"",""BIOD00063""],""evidence_sources"":[""identity_analysis"",""name_candidate""]}]}",Retain all equivalent cross-namespace nodes without selecting a namespace.,false
13,daptomycin,CIDm16129688,FORM_OR_SALT_AMBIGUITY,"[""CHEMBL387675"",""DRUGBANK:DB00080"",""RXNORM:22299""]","[""DAPTOMYCIN"",""Daptomycin"",""daptomycin""]",3,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[""CHEMBL387675"",""DRUGBANK:DB00080"",""RXNORM:22299""],""structure_status"":""stitch_not_found"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL387675"",""name"":""DAPTOMYCIN"",""type"":""Protein"",""matched_fields"":[""properties.name"",""properties.synonyms"",""properties.trade_names""],""inchi_key"":""DOAKLVKFURWEDJ-RWDRXURGSA-N"",""canonical_smiles"":""CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C"",""source_ids"":[""human/EPAR/cubicin"",""600103"",""daptomycin""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate""]},{""optimuskg_id"":""DRUGBANK:DB00080"",""name"":""Daptomycin"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""DOAKLVKFURWEDJ-QCMAZARJSA-N"",""canonical_smiles"":""CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O"",""source_ids"":[],""accession_numbers"":[""BTD00111"",""BIOD00111""],""evidence_sources"":[""identity_analysis"",""name_candidate""]},{""optimuskg_id"":""RXNORM:22299"",""name"":""daptomycin"",""type"":""Ingredient"",""matched_fields"":[""properties.name""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate""]}]}","Review salt, form, stereochemistry, isotope, or formulation differences.",true
17,interferon.alfa-2b,CIDm71306834,BIOLOGIC_OR_PEPTIDE,"[""CHEMBL1201558"",""DRUGBANK:DB00105""]","[""INTERFERON ALFA-2B"",""Interferon alfa-2b""]",2,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[],""structure_status"":""stitch_found_no_optimuskg_match"",""structure_match_ids"":[],""intersection_ids"":[],""candidates"":[{""optimuskg_id"":""CHEMBL1201558"",""name"":""INTERFERON ALFA-2B"",""type"":""Protein"",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[""interferon%20alfa-2b"",""human/EPAR/introna""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis""]},{""optimuskg_id"":""DRUGBANK:DB00105"",""name"":""Interferon alfa-2b"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":"""",""canonical_smiles"":"""",""source_ids"":[],""accession_numbers"":[""BTD00066"",""BIOD00066"",""DB05600""],""evidence_sources"":[""identity_analysis""]}]}",Retain supported biologic nodes; structure absence is not disqualifying.,false
19,oxytocin,CIDm00005771,SAFE_MULTI_NODE,"[""CHEMBL395429"",""DRUGBANK:DB00107""]","[""OXYTOCIN"",""Oxytocin""]",2,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[""CHEMBL395429"",""DRUGBANK:DB00107""],""structure_status"":""equivalent_structure_group"",""structure_match_ids"":[""CHEMBL395429"",""DRUGBANK:DB00107""],""intersection_ids"":[""CHEMBL395429"",""DRUGBANK:DB00107""],""candidates"":[{""optimuskg_id"":""CHEMBL395429"",""name"":""OXYTOCIN"",""type"":""Protein"",""matched_fields"":[""properties.name"",""properties.synonyms"",""properties.trade_names""],""inchi_key"":""XNOPRXBHLZRZKH-DSZYJQQASA-N"",""canonical_smiles"":""CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O"",""source_ids"":[""oxytocin"",""7872""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate"",""stitch_structure""]},{""optimuskg_id"":""DRUGBANK:DB00107"",""name"":""Oxytocin"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""XNOPRXBHLZRZKH-DSZYJQQASA-N"",""canonical_smiles"":""CC[C@H](C)[C@@H]1NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O"",""source_ids"":[],""accession_numbers"":[""BTD00016"",""BIOD00016""],""evidence_sources"":[""identity_analysis"",""name_candidate"",""stitch_structure""]}]}",Retain all equivalent cross-namespace nodes without selecting a namespace.,false
20,enfuvirtide,CIDm16130199,SAFE_MULTI_NODE,"[""CHEMBL525076"",""DRUGBANK:DB00109""]","[""ENFUVIRTIDE"",""Enfuvirtide""]",2,"{""fused_evidence_class"":""unresolved_ambiguous"",""name_resolution_status"":""ambiguous"",""name_selected_id"":"""",""name_candidate_ids"":[""CHEMBL525076"",""DRUGBANK:DB00109""],""structure_status"":""equivalent_structure_group"",""structure_match_ids"":[""CHEMBL525076"",""DRUGBANK:DB00109""],""intersection_ids"":[""CHEMBL525076"",""DRUGBANK:DB00109""],""candidates"":[{""optimuskg_id"":""CHEMBL525076"",""name"":""ENFUVIRTIDE"",""type"":""Protein"",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""PEASPLKKXBYDKL-FXEVSJAOSA-N"",""canonical_smiles"":""CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O"",""source_ids"":[""608828"",""human/EPAR/fuzeon"",""enfuvirtide""],""accession_numbers"":[],""evidence_sources"":[""identity_analysis"",""name_candidate"",""stitch_structure""]},{""optimuskg_id"":""DRUGBANK:DB00109"",""name"":""Enfuvirtide"",""type"":"""",""matched_fields"":[""properties.name"",""properties.synonyms""],""inchi_key"":""PEASPLKKXBYDKL-FXEVSJAOSA-N"",""canonical_smiles"":""CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(C)=O)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O"",""source_ids"":[],""accession_numbers"":[""BTD00106"",""BIOD00106""],""evidence_sources"":[""identity_analysis"",""name_candidate"",""stitch_structure""]}]}",Retain all equivalent cross-namespace nodes without selecting a namespace.,false
