matrix_index,drug_name,stitch_id,stitch_inchikey,optimuskg_id,optimuskg_name,optimuskg_inchikey,was_previous_name_candidate
1,bivalirudin,CIDm16129704,OIRCOABEOLEUMC-GEJPAHFPSA-N,DRUGBANK:DB00006,Bivalirudin,OIRCOABEOLEUMC-GEJPAHFPSA-N,true
3,goserelin,CIDm00047725,IKDXDQDKCZPQSZ-JHYYTBFNSA-N,CHEMBL1200501,GOSERELIN ACETATE,IKDXDQDKCZPQSZ-JHYYTBFNSA-N,false
3,goserelin,CIDm00047725,BLCLNMBMMGCOAS-URPVMXJPSA-N,CHEMBL1201247,GOSERELIN,BLCLNMBMMGCOAS-URPVMXJPSA-N,true
10,albumin,CIDm00006432,QYSGYZVSCZSLHT-UHFFFAOYSA-N,CHEMBL1663,PERFLUTREN,QYSGYZVSCZSLHT-UHFFFAOYSA-N,false
16,octreotide,CIDm00054373,XQEJFZYLWPSJOV-XJQYZYIXSA-N,CHEMBL1200480,OCTREOTIDE ACETATE,XQEJFZYLWPSJOV-XJQYZYIXSA-N,false
16,octreotide,CIDm00054373,DEQANNDTNATYII-OULOTJBUSA-N,CHEMBL1680,OCTREOTIDE,DEQANNDTNATYII-OULOTJBUSA-N,true
16,octreotide,CIDm00054373,PPJMKGDKFBCNIY-LODIGNQBSA-N,CHEMBL3545066,OCTREOTIDE HYDROCHLORIDE,PPJMKGDKFBCNIY-LODIGNQBSA-N,false
18,abarelix,CIDm16131215,AIWRTTMUVOZGPW-HSPKUQOVSA-N,CHEMBL1252,ABARELIX,AIWRTTMUVOZGPW-HSPKUQOVSA-N,true
19,oxytocin,CIDm00005771,XNOPRXBHLZRZKH-DSZYJQQASA-N,CHEMBL395429,OXYTOCIN,XNOPRXBHLZRZKH-DSZYJQQASA-N,true
19,oxytocin,CIDm00005771,XNOPRXBHLZRZKH-DSZYJQQASA-N,DRUGBANK:DB00107,Oxytocin,XNOPRXBHLZRZKH-DSZYJQQASA-N,true
20,enfuvirtide,CIDm16130199,PEASPLKKXBYDKL-FXEVSJAOSA-N,CHEMBL525076,ENFUVIRTIDE,PEASPLKKXBYDKL-FXEVSJAOSA-N,true
20,enfuvirtide,CIDm16130199,PEASPLKKXBYDKL-FXEVSJAOSA-N,DRUGBANK:DB00109,Enfuvirtide,PEASPLKKXBYDKL-FXEVSJAOSA-N,true
28,baclofen,CIDm00002284,KPYSYYIEGFHWSV-QMMMGPOBSA-N,CHEMBL301742,ARBACLOFEN,KPYSYYIEGFHWSV-QMMMGPOBSA-N,false
28,baclofen,CIDm00002284,KPYSYYIEGFHWSV-UHFFFAOYSA-N,CHEMBL701,BACLOFEN,KPYSYYIEGFHWSV-UHFFFAOYSA-N,true
31,lorazepam,CIDm00003958,DIWRORZWFLOCLC-UHFFFAOYSA-N,CHEMBL580,LORAZEPAM,DIWRORZWFLOCLC-UHFFFAOYSA-N,true
32,esmolol,CIDm00059768,GEKNCWBANDDJJL-UHFFFAOYSA-N,CHEMBL1201115,ESMOLOL HYDROCHLORIDE,GEKNCWBANDDJJL-UHFFFAOYSA-N,false
