matrix_index,drug_name,stitch_id,stitch_found,distinct_stitch_inchikey_count,optimuskg_structure_match_count,optimuskg_structure_match_ids,structure_status
0,lepirudin,CIDm16132441,true,3,0,[],stitch_found_no_optimuskg_match
1,bivalirudin,CIDm16129704,true,9,1,"[""DRUGBANK:DB00006""]",unique_structure_match
2,leuprorelin,CIDm00657180,false,0,0,[],stitch_not_found
3,goserelin,CIDm00047725,true,20,2,"[""CHEMBL1200501"",""CHEMBL1201247""]",multiple_structure_matches
4,erythropoietin,CIDm05288169,false,0,0,[],stitch_not_found
5,insulin,CIDm16129672,true,3,0,[],stitch_found_no_optimuskg_match
6,desmopressin,CIDm05311065,false,0,0,[],stitch_not_found
7,insulin.lispro,CIDm16132438,true,2,0,[],stitch_found_no_optimuskg_match
8,insulin.glargine,CIDm44146714,true,1,0,[],stitch_found_no_optimuskg_match
9,rasburicase,CIDm00474409,false,0,0,[],stitch_not_found
10,albumin,CIDm00006432,true,9,1,"[""CHEMBL1663""]",unique_structure_match
11,eptifibatide,CIDm00448812,false,0,0,[],stitch_not_found
12,muromonab-CD3,CIDm00083030,true,2,0,[],stitch_found_no_optimuskg_match
13,daptomycin,CIDm16129688,false,0,0,[],stitch_not_found
14,ciclosporin,CIDm05280754,false,0,0,[],stitch_not_found
15,urofollitropin,CIDm00062819,true,5,0,[],stitch_found_no_optimuskg_match
16,octreotide,CIDm00054373,true,46,3,"[""CHEMBL1200480"",""CHEMBL1680"",""CHEMBL3545066""]",multiple_structure_matches
17,interferon.alfa-2b,CIDm71306834,true,1,0,[],stitch_found_no_optimuskg_match
18,abarelix,CIDm16131215,true,5,1,"[""CHEMBL1252""]",unique_structure_match
19,oxytocin,CIDm00005771,true,21,2,"[""CHEMBL395429"",""DRUGBANK:DB00107""]",equivalent_structure_group
20,enfuvirtide,CIDm16130199,true,3,2,"[""CHEMBL525076"",""DRUGBANK:DB00109""]",equivalent_structure_group
21,glutamine,CIDm00005961,false,0,0,[],stitch_not_found
22,calcitriol,CIDm05280453,false,0,0,[],stitch_not_found
23,pravastatin,CIDm00054687,false,0,0,[],stitch_not_found
24,fluvoxamine,CIDm05324345,false,0,0,[],stitch_not_found
25,valsartan,CIDm00060846,false,0,0,[],stitch_not_found
26,ramipril,CIDm05362129,false,0,0,[],stitch_not_found
27,flunisolide,CIDm00082153,false,0,0,[],stitch_not_found
28,baclofen,CIDm00002284,true,15,2,"[""CHEMBL301742"",""CHEMBL701""]",multiple_structure_matches
29,nicotine,CIDm00089594,false,0,0,[],stitch_not_found
30,cevimeline,CIDm00083898,false,0,0,[],stitch_not_found
31,lorazepam,CIDm00003958,true,13,1,"[""CHEMBL580""]",unique_structure_match
32,esmolol,CIDm00059768,true,15,2,"[""CHEMBL1201115"",""CHEMBL768""]",multiple_structure_matches
33,bortezomib,CIDm00387447,false,0,0,[],stitch_not_found
34,tramadol,CIDm00033741,false,0,0,[],stitch_not_found
35,betaxolol,CIDm00002369,true,113,4,"[""CHEMBL1200837"",""CHEMBL1201274"",""CHEMBL1691"",""CHEMBL423""]",multiple_structure_matches
36,fluconazole,CIDm00003365,true,24,1,"[""CHEMBL106""]",unique_structure_match
37,oseltamivir,CIDm00065028,false,0,0,[],stitch_not_found
38,caffeine,CIDm00002519,true,75,2,"[""CHEMBL113"",""CHEMBL1200569""]",multiple_structure_matches
39,sildenafil,CIDm00005212,true,56,2,"[""CHEMBL1737"",""CHEMBL192""]",multiple_structure_matches
40,dofetilide,CIDm00071329,true,6,1,"[""CHEMBL473""]",unique_structure_match
41,azithromycin,CIDm00447043,false,0,0,[],stitch_not_found
