matrix_index,biokorf_drug_id,drug_name,stitch_id,entity_type,optimuskg_ids,optimuskg_node_count,mapping_source,mapping_confidence,kg_mapping_status,requires_manual_review
0,BIOKORF_DRUG_000,lepirudin,CIDm16132441,biologic_or_peptide,"[""CHEMBL1201666"", ""DRUGBANK:DB00001""]",2,triage:BIOLOGIC_OR_PEPTIDE,high,mapped_multi,false
1,BIOKORF_DRUG_001,bivalirudin,CIDm16129704,drug,"[""DRUGBANK:DB00006""]",1,evidence_fusion:resolved_by_unique_structure_candidate,very_high,mapped_single,false
2,BIOKORF_DRUG_002,leuprorelin,CIDm00657180,drug,"[""CHEMBL1201199""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
3,BIOKORF_DRUG_003,goserelin,CIDm00047725,drug,"[""CHEMBL1201247""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
4,BIOKORF_DRUG_004,erythropoietin,CIDm05288169,drug,"[""DRUGBANK:DB00016""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
5,BIOKORF_DRUG_005,insulin,CIDm16129672,drug,"[""CHEMBL1201631""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
6,BIOKORF_DRUG_006,desmopressin,CIDm05311065,drug,"[""CHEMBL1429""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
7,BIOKORF_DRUG_007,insulin.lispro,CIDm16132438,biologic_or_peptide,"[""CHEMBL1201538"", ""DRUGBANK:DB00046""]",2,triage:BIOLOGIC_OR_PEPTIDE,high,mapped_multi,false
8,BIOKORF_DRUG_008,insulin.glargine,CIDm44146714,biologic_or_peptide,"[""CHEMBL1201497"", ""DRUGBANK:DB00047""]",2,triage:BIOLOGIC_OR_PEPTIDE,high,mapped_multi,false
9,BIOKORF_DRUG_009,rasburicase,CIDm00474409,biologic_or_peptide,"[""CHEMBL1201594"", ""DRUGBANK:DB00049""]",2,triage:BIOLOGIC_OR_PEPTIDE,high,mapped_multi,false
10,BIOKORF_DRUG_010,albumin,CIDm00006432,drug,[],0,triage:TRUE_CONFLICT,review_required,review_required,true
11,BIOKORF_DRUG_011,eptifibatide,CIDm00448812,drug,"[""CHEMBL1174"", ""DRUGBANK:DB00063""]",2,triage:SAFE_MULTI_NODE,high,mapped_multi,false
12,BIOKORF_DRUG_012,muromonab-CD3,CIDm00083030,drug,"[""CHEMBL1201608""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
13,BIOKORF_DRUG_013,daptomycin,CIDm16129688,drug,[],0,triage:FORM_OR_SALT_AMBIGUITY,review_required,review_required,true
14,BIOKORF_DRUG_014,ciclosporin,CIDm05280754,drug,"[""CHEMBL160""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
15,BIOKORF_DRUG_015,urofollitropin,CIDm00062819,drug,"[""CHEMBL1201520""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
16,BIOKORF_DRUG_016,octreotide,CIDm00054373,drug,"[""CHEMBL1680""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
17,BIOKORF_DRUG_017,interferon.alfa-2b,CIDm71306834,biologic_or_peptide,"[""CHEMBL1201558"", ""DRUGBANK:DB00105""]",2,triage:BIOLOGIC_OR_PEPTIDE,high,mapped_multi,false
18,BIOKORF_DRUG_018,abarelix,CIDm16131215,drug,"[""CHEMBL1252""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
19,BIOKORF_DRUG_019,oxytocin,CIDm00005771,drug,"[""CHEMBL395429"", ""DRUGBANK:DB00107""]",2,triage:SAFE_MULTI_NODE,high,mapped_multi,false
20,BIOKORF_DRUG_020,enfuvirtide,CIDm16130199,drug,"[""CHEMBL525076"", ""DRUGBANK:DB00109""]",2,triage:SAFE_MULTI_NODE,high,mapped_multi,false
21,BIOKORF_DRUG_021,glutamine,CIDm00005961,drug,"[""CHEMBL930""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
22,BIOKORF_DRUG_022,calcitriol,CIDm05280453,drug,"[""CHEMBL846""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
23,BIOKORF_DRUG_023,pravastatin,CIDm00054687,drug,"[""CHEMBL1144""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
24,BIOKORF_DRUG_024,fluvoxamine,CIDm05324345,drug,"[""CHEMBL814""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
25,BIOKORF_DRUG_025,valsartan,CIDm00060846,drug,"[""CHEMBL1069""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
26,BIOKORF_DRUG_026,ramipril,CIDm05362129,drug,"[""CHEMBL1168""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
27,BIOKORF_DRUG_027,flunisolide,CIDm00082153,drug,"[""CHEMBL1512""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
28,BIOKORF_DRUG_028,baclofen,CIDm00002284,drug,"[""CHEMBL701""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
29,BIOKORF_DRUG_029,nicotine,CIDm00089594,drug,"[""CHEMBL3""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
30,BIOKORF_DRUG_030,cevimeline,CIDm00083898,drug,"[""CHEMBL168815"", ""CHEMBL2218917"", ""DRUGBANK:DB00185""]",3,triage:SAFE_MULTI_NODE,high,mapped_multi,false
31,BIOKORF_DRUG_031,lorazepam,CIDm00003958,drug,"[""CHEMBL580""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
32,BIOKORF_DRUG_032,esmolol,CIDm00059768,drug,"[""CHEMBL768""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
33,BIOKORF_DRUG_033,bortezomib,CIDm00387447,drug,"[""CHEMBL325041"", ""RXNORM:358258""]",2,triage:SAFE_MULTI_NODE,high,mapped_multi,false
34,BIOKORF_DRUG_034,tramadol,CIDm00033741,drug,"[""CHEMBL1237044""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
35,BIOKORF_DRUG_035,betaxolol,CIDm00002369,drug,"[""CHEMBL423""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
36,BIOKORF_DRUG_036,fluconazole,CIDm00003365,drug,"[""CHEMBL106""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
37,BIOKORF_DRUG_037,oseltamivir,CIDm00065028,drug,"[""CHEMBL1229""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
38,BIOKORF_DRUG_038,caffeine,CIDm00002519,drug,"[""CHEMBL113""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
39,BIOKORF_DRUG_039,sildenafil,CIDm00005212,drug,"[""CHEMBL192""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
40,BIOKORF_DRUG_040,dofetilide,CIDm00071329,drug,"[""CHEMBL473""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
41,BIOKORF_DRUG_041,azithromycin,CIDm00447043,drug,"[""CHEMBL529""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
42,BIOKORF_DRUG_042,trospium,CIDm00005596,drug,"[""CHEMBL1888176""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
43,BIOKORF_DRUG_043,adapalene,CIDm00060164,drug,"[""CHEMBL1265""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
44,BIOKORF_DRUG_044,midodrine,CIDm00004195,drug,"[""CHEMBL1201212""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
