matrix_index,side_effect_name,optimuskg_id,optimuskg_name,ontology_namespace,matched_field,properties.code,properties.umls_cui,properties.concept_ids,properties.xrefs,properties.snomed_concept_ids
0,abdominal discomfort,HP_0002027,Abdominal pain,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0002027,"",[],"[""MEDDRA:10000081"",""NCIt:C26682"",""UMLS:C0000737"",""ICD9:789.0"",""SNOMEDCT_US:21522001"",""SNOMEDCT:21522001""]",[]
1,abdominal distension,HP_0003270,Abdominal distention,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0003270,"",[],"[""SNOMEDCT_US:41931001"",""SNOMEDCT:41931001"",""SNOMEDCT_US:60728008"",""NCIt:C78161"",""UMLS:C0000731""]",[]
1,abdominal distension,meddra:10000060,Abdominal distension,MEDDRA,properties.name,"","",[],[],[]
2,abdominal pain,HP_0002027,Abdominal pain,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0002027,"",[],"[""MEDDRA:10000081"",""NCIt:C26682"",""UMLS:C0000737"",""ICD9:789.0"",""SNOMEDCT_US:21522001"",""SNOMEDCT:21522001""]",[]
2,abdominal pain,meddra:10000081,Abdominal pain,MEDDRA,properties.name,"","",[],[],[]
6,abnormal dreams,meddra:10000125,Abnormal dreams,MEDDRA,properties.name,"","",[],[],[]
8,abscess,HP_0025615,Abscess,HPO,properties.name,"","",[],[],[]
10,acidosis,HP_0001941,Acidosis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001941,C0001122,"[""21000737""]","[""SNOMEDCT_US:51387008"",""UMLS:C0001122""]","[""51387008.0""]"
11,acne,HP_0001061,Acne,HPO,properties.name,"","",[],[],[]
11,acne,meddra:10000496,Acne,MEDDRA,properties.name,"","",[],[],[]
12,actinic keratosis,HP_0025127,Actinic keratosis,HPO,properties.name,"","",[],[],[]
13,acute coronary syndrome,HP_0033678,Acute coronary syndrome,HPO,properties.name,"","",[],[],[]
15,acute respiratory distress syndrome,HP_0033677,Acute respiratory distress syndrome,HPO,properties.name,"","",[],[],[]
15,acute respiratory distress syndrome,meddra:10001052,Acute respiratory distress syndrome,MEDDRA,properties.name,"","",[],[],[]
16,adrenal insufficiency,HP_0000846,Adrenal insufficiency,HPO,properties.name,"","",[],[],[]
20,aggression,HP_0000718,Aggressive behavior,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0000718,C0001807,"[""21001024""]","[""UMLS:C0001807"",""UMLS:C1457883"",""SNOMEDCT_US:248004009"",""UMLS:C0424323"",""SNOMEDCT_US:61372001""]","[""61372001.0""]"
20,aggression,meddra:10001488,Aggression,MEDDRA,properties.name,"","",[],[],[]
21,agitation,HP_0000713,Agitation,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000713,C0085631,"[""21001018""]","[""SNOMEDCT_US:24199005"",""UMLS:C0085631""]","[""24199005.0""]"
21,agitation,meddra:10001497,Agitation,MEDDRA,properties.name,"","",[],[],[]
22,agranulocytosis,HP_0001913,Granulocytopenia,HPO,properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001913,C0001824,"[""21000887"",""21000882""]","[""UMLS:C0001824"",""SNOMEDCT_US:17182001"",""SNOMEDCT_US:417672002""]","[""417672002.0"",""17182001.0""]"
22,agranulocytosis,HP_0012234,Agranulocytosis,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0012234,"",[],"[""SNOMEDCT:17182001"",""NCIt:C107102"",""UMLS:C0702094"",""MeSH:D000380"",""DOID:12987"",""ICD10:D70""]",[]
22,agranulocytosis,meddra:10001507,Agranulocytosis,MEDDRA,properties.name,"","",[],[],[]
23,akathisia,HP_0031943,Akathisia,HPO,properties.name,"","",[],[],[]
23,akathisia,meddra:10001540,Akathisia,MEDDRA,properties.name,"","",[],[],[]
25,alanine aminotransferase increased,HP_0031964,Elevated circulating alanine aminotransferase concentration,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0031964,"",[],[],[]
