matrix_index,side_effect_name,candidate_count,meddra_candidate_count,hpo_candidate_count,preferred_meddra_id,candidate_ids,mapping_status
0,abdominal discomfort,1,0,1,"","[""HP_0002027""]",exact_synonym_only
1,abdominal distension,2,1,1,meddra:10000060,"[""HP_0003270"",""meddra:10000060""]",meddra_exact_with_other_ontology_candidates
2,abdominal pain,2,1,1,meddra:10000081,"[""HP_0002027"",""meddra:10000081""]",meddra_exact_with_other_ontology_candidates
3,abdominal pain lower,0,0,0,"",[],unmatched
4,abdominal pain upper,0,0,0,"",[],unmatched
5,abnormal behaviour,0,0,0,"",[],unmatched
6,abnormal dreams,1,1,0,meddra:10000125,"[""meddra:10000125""]",unique_meddra_exact_name
7,abnormal faeces,0,0,0,"",[],unmatched
8,abscess,1,0,1,"","[""HP_0025615""]",unique_other_exact_name
9,accommodation disorder,0,0,0,"",[],unmatched
10,acidosis,1,0,1,"","[""HP_0001941""]",unique_other_exact_name
11,acne,2,1,1,meddra:10000496,"[""HP_0001061"",""meddra:10000496""]",meddra_exact_with_other_ontology_candidates
12,actinic keratosis,1,0,1,"","[""HP_0025127""]",unique_other_exact_name
13,acute coronary syndrome,1,0,1,"","[""HP_0033678""]",unique_other_exact_name
14,acute myocardial infarction,0,0,0,"",[],unmatched
15,acute respiratory distress syndrome,2,1,1,meddra:10001052,"[""HP_0033677"",""meddra:10001052""]",meddra_exact_with_other_ontology_candidates
16,adrenal insufficiency,1,0,1,"","[""HP_0000846""]",unique_other_exact_name
17,affect lability,0,0,0,"",[],unmatched
18,affective disorder,0,0,0,"",[],unmatched
19,loss of taste,0,0,0,"",[],unmatched
20,aggression,2,1,1,meddra:10001488,"[""HP_0000718"",""meddra:10001488""]",meddra_exact_with_other_ontology_candidates
21,agitation,2,1,1,meddra:10001497,"[""HP_0000713"",""meddra:10001497""]",meddra_exact_with_other_ontology_candidates
22,agranulocytosis,3,1,2,meddra:10001507,"[""HP_0001913"",""HP_0012234"",""meddra:10001507""]",meddra_exact_with_other_ontology_candidates
23,akathisia,2,1,1,meddra:10001540,"[""HP_0031943"",""meddra:10001540""]",meddra_exact_with_other_ontology_candidates
24,can not exercise,0,0,0,"",[],unmatched
25,alanine aminotransferase increased,1,0,1,"","[""HP_0031964""]",exact_synonym_only
26,proteinuria,2,1,1,meddra:10037032,"[""HP_0000093"",""meddra:10037032""]",meddra_exact_with_other_ontology_candidates
27,alcohol intolerance,0,0,0,"",[],unmatched
28,alopecia,3,1,2,meddra:10001760,"[""HP_0001596"",""HP_0002293"",""meddra:10001760""]",meddra_exact_with_other_ontology_candidates
29,altered state of consciousness,0,0,0,"",[],unmatched
30,other allergic pneumonitis,0,0,0,"",[],unmatched
31,amblyopia,1,0,1,"","[""HP_0000646""]",unique_other_exact_name
32,amenorrhoea,0,0,0,"",[],unmatched
33,amnesia,1,1,0,meddra:10001949,"[""meddra:10001949""]",unique_meddra_exact_name
34,amylase increased,0,0,0,"",[],unmatched
35,anaemia,1,0,1,"","[""HP_0001903""]",exact_synonym_only
36,anaemia large cell,0,0,0,"",[],unmatched
37,anaemia megaloblastic,0,0,0,"",[],unmatched
38,anal pruritus,0,0,0,"",[],unmatched
39,anaphylactic shock,1,0,1,"","[""HP_0100845""]",unique_other_exact_name
40,anaphylaxis reaction,0,0,0,"",[],unmatched
41,aneurysm,1,0,1,"","[""HP_0002617""]",exact_synonym_only
42,anger,1,0,1,"","[""HP_0031473""]",unique_other_exact_name
43,angina pectoris,1,0,1,"","[""HP_0001681""]",unique_other_exact_name
44,angioedema,2,1,1,meddra:10002424,"[""HP_0100665"",""meddra:10002424""]",meddra_exact_with_other_ontology_candidates
45,angiopathy,0,0,0,"",[],unmatched
46,angle closure glaucoma,1,0,1,"","[""HP_0012109""]",unique_other_exact_name
47,anorectal discomfort,0,0,0,"",[],unmatched
48,anorectal disorder,0,0,0,"",[],unmatched
49,inability to orgasm,0,0,0,"",[],unmatched
50,antisocial behaviour,0,0,0,"",[],unmatched
51,antisocial personality disorder,0,0,0,"",[],unmatched
52,arrest of urinary output,0,0,0,"",[],unmatched
53,anxiety,2,1,1,meddra:10002855,"[""HP_0000739"",""meddra:10002855""]",meddra_exact_with_other_ontology_candidates
54,apathy,1,0,1,"","[""HP_0000741""]",unique_other_exact_name
55,aphasia,1,0,1,"","[""HP_0002381""]",unique_other_exact_name
56,aplasia pure red cell,0,0,0,"",[],unmatched
57,aplastic anaemia,1,0,1,"","[""HP_0001915""]",exact_synonym_only
58,apnoea,1,0,1,"","[""HP_0002104""]",exact_synonym_only
59,appendicitis,1,0,1,"","[""HP_6000143""]",unique_other_exact_name
60,application site burn,0,0,0,"",[],unmatched
61,application site dryness,0,0,0,"",[],unmatched
62,application site erythema,0,0,0,"",[],unmatched
63,application site irritation,0,0,0,"",[],unmatched
64,application site pain,0,0,0,"",[],unmatched
65,application site paresthesia,0,0,0,"",[],unmatched
66,application site pruritus,0,0,0,"",[],unmatched
67,application site rash,0,0,0,"",[],unmatched
68,application site reaction,0,0,0,"",[],unmatched
69,application site vesicles,0,0,0,"",[],unmatched
70,apraxia,1,0,1,"","[""HP_0002186""]",unique_other_exact_name
71,arrhythmia,2,1,1,meddra:10003119,"[""HP_0011675"",""meddra:10003119""]",meddra_exact_with_other_ontology_candidates
72,arrhythmia supraventricular,0,0,0,"",[],unmatched
73,arteriosclerosis,1,0,1,"","[""HP_0002634""]",unique_other_exact_name
74,arthralgia,2,1,1,meddra:10003239,"[""HP_0002829"",""meddra:10003239""]",meddra_exact_with_other_ontology_candidates
75,arthritis,2,1,1,meddra:10003246,"[""HP_0001369"",""meddra:10003246""]",meddra_exact_with_other_ontology_candidates
76,other symptoms referable to lower leg joint,0,0,0,"",[],unmatched
77,ascites,1,0,1,"","[""HP_0001541""]",unique_other_exact_name
78,asocial behaviour,0,0,0,"",[],unmatched
79,aspartate aminotransferase increased,1,0,1,"","[""HP_0031956""]",exact_synonym_only
80,asthenia,2,1,1,meddra:10003549,"[""HP_0025406"",""meddra:10003549""]",meddra_exact_with_other_ontology_candidates
81,eye strain,0,0,0,"",[],unmatched
82,asthma,1,0,1,"","[""HP_0002099""]",unique_other_exact_name
