matrix_index,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,mapping_method,mapping_status,requires_review
0,abdominal discomfort,C0232487,10000059,Abdominal discomfort,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
1,abdominal distension,C0000731,10000060,Abdominal distension,meddra:10000060,"[""HP_0003270""]",sider_umls_pt,meddra_with_hpo_alias,False
2,abdominal pain,C0000737,10000081,Abdominal pain,meddra:10000081,"[""HP_0002027""]",sider_umls_pt,meddra_with_hpo_alias,False
3,abdominal pain lower,C0232495,10000084,Abdominal pain lower,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
4,abdominal pain upper,C0232492,10000087,Abdominal pain upper,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
5,abnormal behaviour,C0233514,10061422,Abnormal behaviour,,"[""HP_0000708""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
6,abnormal dreams,C0234458,10000125,Abnormal dreams,meddra:10000125,[],sider_umls_pt,meddra_by_umls,False
7,abnormal faeces,C0162287,10000133,Abnormal faeces,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
8,abscess,C0000833,10000269,Abscess,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
9,accommodation disorder,C0152198,10000389,Accommodation disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
10,acidosis,C0001122,10000486,Acidosis,,"[""HP_0001941""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
11,acne,C0702166,10000496,Acne,meddra:10000496,[],sider_umls_pt,meddra_by_umls,False
12,actinic keratosis,C0022602,10000614,Actinic keratosis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
13,acute coronary syndrome,C0948089,10051592,Acute coronary syndrome,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
14,acute myocardial infarction,C0155626,10000891,Acute myocardial infarction,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
15,acute respiratory distress syndrome,C0035222,10001052,Acute respiratory distress syndrome,meddra:10001052,[],sider_umls_pt,meddra_by_umls,False
16,adrenal insufficiency,C0001623,10001367,Adrenal insufficiency,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
17,affect lability,C0233472,10054196,Affect lability,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
18,affective disorder,C0525045,10001443,Affective disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
19,loss of taste,,,,,[],,unresolved,True
20,aggression,C0001807,10001488,Aggression,meddra:10001488,"[""HP_0000718""]",sider_umls_pt,meddra_with_hpo_alias,False
21,agitation,C0085631,10001497,Agitation,meddra:10001497,"[""HP_0000713""]",exact_meddra_pt_name,meddra_with_hpo_alias,False
22,agranulocytosis,C0001824,10001507,Agranulocytosis,meddra:10001507,"[""HP_0001913""]",exact_meddra_pt_name,meddra_with_hpo_alias,False
23,akathisia,C0392156,10001540,Akathisia,meddra:10001540,[],sider_umls_pt,meddra_by_umls,False
24,can not exercise,,,,,[],,unresolved,True
25,alanine aminotransferase increased,C0151905,10001551,Alanine aminotransferase increased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
26,proteinuria,C0033687,10037032,Proteinuria,meddra:10037032,"[""HP_0000093""]",sider_umls_pt,meddra_with_hpo_alias,False
27,alcohol intolerance,C0151474,10001598,Alcohol intolerance,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
28,alopecia,C0002170,10001760,Alopecia,meddra:10001760,"[""HP_0001596"",""HP_0002293""]",sider_umls_pt,meddra_with_hpo_alias,False
29,altered state of consciousness,C0150450,10001854,Altered state of consciousness,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
30,other allergic pneumonitis,,,,,[],,unresolved,True
31,amblyopia,C0002418,10001906,Amblyopia,,"[""HP_0000646""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
32,amenorrhoea,C0002453,10001928,Amenorrhoea,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
33,amnesia,C0002622,10001949,Amnesia,meddra:10001949,[],sider_umls_pt,meddra_by_umls,False
34,amylase increased,C0151479,10002016,Amylase increased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
35,anaemia,C0002871,10002034,Anaemia,,"[""HP_0001903""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
36,anaemia large cell,,,,,[],,unresolved,True
37,anaemia megaloblastic,C0002888,10002065,Anaemia megaloblastic,,"[""HP_0001889""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
38,anal pruritus,C0033775,10068172,Anal pruritus,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
39,anaphylactic shock,C0002792,10002199,Anaphylactic shock,,[],exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
40,anaphylaxis reaction,,,,,[],,unresolved,True
41,aneurysm,C0002940,10002329,Aneurysm,,"[""HP_0002617""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
42,anger,C0002957,10002368,Anger,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
43,angina pectoris,C0002962,10002383,Angina pectoris,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
44,angioedema,C0002994,10002424,Angioedema,meddra:10002424,[],sider_umls_pt,meddra_by_umls,False
45,angiopathy,C0042373,10059245,Angiopathy,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
46,angle closure glaucoma,C0017605,10002500,Angle closure glaucoma,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
47,anorectal discomfort,C2242737,10068286,Anorectal discomfort,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
48,anorectal disorder,C0687707,10002644,Anorectal disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
49,inability to orgasm,,,,,[],,unresolved,True
50,antisocial behaviour,C0233523,10002820,Antisocial behaviour,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
