matrix_index,side_effect_name,sider_umls_cui,optimuskg_match_count,meddra_match_count,hpo_match_count,canonical_optimuskg_id,alias_optimuskg_ids,mapping_status
0,abdominal discomfort,C0232487,0,0,0,"",[],umls_no_optimuskg_match
1,abdominal distension,C0000731,1,0,1,HP_0003270,[],umls_unique_other
2,abdominal pain,C0000737,1,0,1,HP_0002027,[],umls_unique_other
3,abdominal pain lower,C0232495,0,0,0,"",[],umls_no_optimuskg_match
4,abdominal pain upper,C0232492,0,0,0,"",[],umls_no_optimuskg_match
5,abnormal behaviour,C0233514,1,0,1,HP_0000708,[],umls_unique_other
6,abnormal dreams,C0234458,0,0,0,"",[],umls_no_optimuskg_match
7,abnormal faeces,C0162287,0,0,0,"",[],umls_no_optimuskg_match
8,abscess,C0000833,0,0,0,"",[],umls_no_optimuskg_match
9,accommodation disorder,C0152198,0,0,0,"",[],umls_no_optimuskg_match
10,acidosis,C0001122,1,0,1,HP_0001941,[],umls_unique_other
11,acne,C0702166,0,0,0,"",[],umls_no_optimuskg_match
12,actinic keratosis,C0022602,0,0,0,"",[],umls_no_optimuskg_match
13,acute coronary syndrome,C0948089,0,0,0,"",[],umls_no_optimuskg_match
14,acute myocardial infarction,C0155626,0,0,0,"",[],umls_no_optimuskg_match
15,acute respiratory distress syndrome,C0035222,0,0,0,"",[],umls_no_optimuskg_match
16,adrenal insufficiency,C0001623,0,0,0,"",[],umls_no_optimuskg_match
17,affect lability,C0233472,0,0,0,"",[],umls_no_optimuskg_match
18,affective disorder,C0525045,0,0,0,"",[],umls_no_optimuskg_match
19,loss of taste,"",0,0,0,"",[],no_sider_umls
20,aggression,C0001807,1,0,1,HP_0000718,[],umls_unique_other
21,agitation,C0085631,1,0,1,HP_0000713,[],umls_unique_other
22,agranulocytosis,C0001824,1,0,1,HP_0001913,[],umls_unique_other
23,akathisia,C0392156,0,0,0,"",[],umls_no_optimuskg_match
24,can not exercise,"",0,0,0,"",[],no_sider_umls
25,alanine aminotransferase increased,C0151905,0,0,0,"",[],umls_no_optimuskg_match
26,proteinuria,C0033687,1,0,1,HP_0000093,[],umls_unique_other
27,alcohol intolerance,C0151474,0,0,0,"",[],umls_no_optimuskg_match
28,alopecia,C0002170,2,0,2,"","[""HP_0001596"",""HP_0002293""]",umls_multiple_no_unique_meddra
29,altered state of consciousness,C0150450,0,0,0,"",[],umls_no_optimuskg_match
30,other allergic pneumonitis,"",0,0,0,"",[],no_sider_umls
31,amblyopia,C0002418,1,0,1,HP_0000646,[],umls_unique_other
32,amenorrhoea,C0002453,0,0,0,"",[],umls_no_optimuskg_match
33,amnesia,C0002622,0,0,0,"",[],umls_no_optimuskg_match
34,amylase increased,C0151479,0,0,0,"",[],umls_no_optimuskg_match
35,anaemia,C0002871,1,0,1,HP_0001903,[],umls_unique_other
36,anaemia large cell,"",0,0,0,"",[],no_sider_umls
37,anaemia megaloblastic,C0002888,1,0,1,HP_0001889,[],umls_unique_other
38,anal pruritus,C0033775,0,0,0,"",[],umls_no_optimuskg_match
39,anaphylactic shock,C0002792,0,0,0,"",[],umls_no_optimuskg_match
40,anaphylaxis reaction,"",0,0,0,"",[],no_sider_umls
41,aneurysm,C0002940,1,0,1,HP_0002617,[],umls_unique_other
42,anger,C0002957,0,0,0,"",[],umls_no_optimuskg_match
43,angina pectoris,C0002962,0,0,0,"",[],umls_no_optimuskg_match
44,angioedema,C0002994,0,0,0,"",[],umls_no_optimuskg_match
45,angiopathy,C0042373,0,0,0,"",[],umls_no_optimuskg_match
46,angle closure glaucoma,C0017605,0,0,0,"",[],umls_no_optimuskg_match
47,anorectal discomfort,C2242737,0,0,0,"",[],umls_no_optimuskg_match
48,anorectal disorder,C0687707,0,0,0,"",[],umls_no_optimuskg_match
49,inability to orgasm,"",0,0,0,"",[],no_sider_umls
50,antisocial behaviour,C0233523,0,0,0,"",[],umls_no_optimuskg_match
51,antisocial personality disorder,C0003431,0,0,0,"",[],umls_no_optimuskg_match
52,arrest of urinary output,"",0,0,0,"",[],no_sider_umls
53,anxiety,C0003467,1,0,1,HP_0000739,[],umls_unique_other
54,apathy,C0085632,1,0,1,HP_0000741,[],umls_unique_other
55,aphasia,C0003537,1,0,1,HP_0002381,[],umls_unique_other
56,aplasia pure red cell,C0034902,1,0,1,HP_0012410,[],umls_unique_other
57,aplastic anaemia,C0002874,1,0,1,HP_0001915,[],umls_unique_other
58,apnoea,C0003578,1,0,1,HP_0002104,[],umls_unique_other
59,appendicitis,C0003615,0,0,0,"",[],umls_no_optimuskg_match
60,application site burn,C0877661,0,0,0,"",[],umls_no_optimuskg_match
61,application site dryness,C0877098,0,0,0,"",[],umls_no_optimuskg_match
62,application site erythema,C0853700,0,0,0,"",[],umls_no_optimuskg_match
63,application site irritation,C0521490,0,0,0,"",[],umls_no_optimuskg_match
64,application site pain,C0521491,0,0,0,"",[],umls_no_optimuskg_match
65,application site paresthesia,"",0,0,0,"",[],no_sider_umls
66,application site pruritus,C0853714,0,0,0,"",[],umls_no_optimuskg_match
67,application site rash,C0521495,0,0,0,"",[],umls_no_optimuskg_match
68,application site reaction,C0151505,0,0,0,"",[],umls_no_optimuskg_match
69,application site vesicles,C0877097,0,0,0,"",[],umls_no_optimuskg_match
70,apraxia,C0003635,0,0,0,"",[],umls_no_optimuskg_match
71,arrhythmia,C0003811,1,0,1,HP_0011675,[],umls_unique_other
72,arrhythmia supraventricular,C0428974,0,0,0,"",[],umls_no_optimuskg_match
73,arteriosclerosis,C0003850,0,0,0,"",[],umls_no_optimuskg_match
74,arthralgia,C0003862,1,0,1,HP_0002829,[],umls_unique_other
75,arthritis,C0003864,1,0,1,HP_0001369,[],umls_unique_other
76,other symptoms referable to lower leg joint,"",0,0,0,"",[],no_sider_umls
77,ascites,C0003962,1,0,1,HP_0001541,[],umls_unique_other
78,asocial behaviour,C0233528,0,0,0,"",[],umls_no_optimuskg_match
79,aspartate aminotransferase increased,C0151904,0,0,0,"",[],umls_no_optimuskg_match
80,asthenia,C0004093,0,0,0,"",[],umls_no_optimuskg_match
81,eye strain,"",0,0,0,"",[],no_sider_umls
82,asthma,C0004096,1,0,1,HP_0002099,[],umls_unique_other
83,ataxia,C0004134,0,0,0,"",[],umls_no_optimuskg_match
84,atelectasis,C0004144,0,0,0,"",[],umls_no_optimuskg_match
85,atrial fibrillation,C0004238,0,0,0,"",[],umls_no_optimuskg_match
86,atrial flutter,C0004239,0,0,0,"",[],umls_no_optimuskg_match
87,atrioventricular block,C0004245,0,0,0,"",[],umls_no_optimuskg_match
88,atrioventricular block complete,C0151517,0,0,0,"",[],umls_no_optimuskg_match
89,atrioventricular block first degree,C0085614,1,0,1,HP_0011705,[],umls_unique_other
90,autonomic nervous system imbalance,C0262385,0,0,0,"",[],umls_no_optimuskg_match
91,syndrome uremic,"",0,0,0,"",[],no_sider_umls
92,back pain,C0004604,1,0,1,HP_0003418,[],umls_unique_other
93,bloodstream infections,"",0,0,0,"",[],no_sider_umls
94,bacterial infection,C0004623,0,0,0,"",[],umls_no_optimuskg_match
95,balance disorder,C0575090,0,0,0,"",[],umls_no_optimuskg_match
96,basal cell carcinoma,C0007117,0,0,0,"",[],umls_no_optimuskg_match
97,benign neoplasm of skin,C0004998,0,0,0,"",[],umls_no_optimuskg_match
98,biliary colic,C0151824,0,0,0,"",[],umls_no_optimuskg_match
99,bipolar disorder,C0005586,0,0,0,"",[],umls_no_optimuskg_match
100,bipolar i disorder,C0853193,0,0,0,"",[],umls_no_optimuskg_match
101,bladder cancer,C0005684,0,0,0,"",[],umls_no_optimuskg_match
102,bladder pain,C0232849,0,0,0,"",[],umls_no_optimuskg_match
103,bleeding time prolonged,C0151529,1,0,1,HP_0003010,[],umls_unique_other
104,dermatitis eyelid,"",0,0,0,"",[],no_sider_umls
105,spasm eyelid,"",0,0,0,"",[],no_sider_umls
106,blindness,C0456909,1,0,1,HP_0000618,[],umls_unique_other
107,blister,C0005758,0,0,0,"",[],umls_no_optimuskg_match
108,blood albumin decreased,C0853777,0,0,0,"",[],umls_no_optimuskg_match
109,blood alkaline phosphatase increased,C0852911,0,0,0,"",[],umls_no_optimuskg_match
110,blood bilirubin increased,C0311468,1,0,1,HP_0002904,[],umls_unique_other
111,blood calcium decreased,C3665624,0,0,0,"",[],umls_no_optimuskg_match
112,blood cholesterol increased,C0595930,0,0,0,"",[],umls_no_optimuskg_match
113,creatine kinase high,"",0,0,0,"",[],no_sider_umls
114,blood creatinine increased,C0235431,0,0,0,"",[],umls_no_optimuskg_match
115,blood disorder,C0018939,1,0,1,HP_0001871,[],umls_unique_other
116,blood glucose decreased,C0595883,0,0,0,"",[],umls_no_optimuskg_match
