matrix_index,side_effect_name,sider_umls_cui,optimuskg_id,optimuskg_name,ontology_namespace,optimuskg_umls_cui,optimuskg_code,is_meddra,was_previous_name_candidate
1,abdominal distension,C0000731,HP_0003270,Abdominal distention,HPO,"",http://purl.obolibrary.org/obo/HP_0003270,false,true
2,abdominal pain,C0000737,HP_0002027,Abdominal pain,HPO,"",http://purl.obolibrary.org/obo/HP_0002027,false,true
5,abnormal behaviour,C0233514,HP_0000708,Atypical behavior,HPO,"",http://purl.obolibrary.org/obo/HP_0000708,false,false
10,acidosis,C0001122,HP_0001941,Acidosis,HPO,C0001122,http://purl.obolibrary.org/obo/HP_0001941,false,true
20,aggression,C0001807,HP_0000718,Aggressive behavior,HPO,C0001807,http://purl.obolibrary.org/obo/HP_0000718,false,true
21,agitation,C0085631,HP_0000713,Agitation,HPO,C0085631,http://purl.obolibrary.org/obo/HP_0000713,false,true
22,agranulocytosis,C0001824,HP_0001913,Granulocytopenia,HPO,C0001824,http://purl.obolibrary.org/obo/HP_0001913,false,true
26,proteinuria,C0033687,HP_0000093,Proteinuria,HPO,C0033687,http://purl.obolibrary.org/obo/HP_0000093,false,true
28,alopecia,C0002170,HP_0001596,Alopecia,HPO,C0002170,http://purl.obolibrary.org/obo/HP_0001596,false,true
28,alopecia,C0002170,HP_0002293,Alopecia of scalp,HPO,C0002170,http://purl.obolibrary.org/obo/HP_0002293,false,true
31,amblyopia,C0002418,HP_0000646,Amblyopia,HPO,"",http://purl.obolibrary.org/obo/HP_0000646,false,true
35,anaemia,C0002871,HP_0001903,Anemia,HPO,"",http://purl.obolibrary.org/obo/HP_0001903,false,true
37,anaemia megaloblastic,C0002888,HP_0001889,Megaloblastic anemia,HPO,C0002888,http://purl.obolibrary.org/obo/HP_0001889,false,false
41,aneurysm,C0002940,HP_0002617,Vascular dilatation,HPO,C0002940,http://purl.obolibrary.org/obo/HP_0002617,false,true
53,anxiety,C0003467,HP_0000739,Anxiety,HPO,C0003467,http://purl.obolibrary.org/obo/HP_0000739,false,true
54,apathy,C0085632,HP_0000741,Apathy,HPO,C0085632,http://purl.obolibrary.org/obo/HP_0000741,false,true
55,aphasia,C0003537,HP_0002381,Aphasia,HPO,"",http://purl.obolibrary.org/obo/HP_0002381,false,true
56,aplasia pure red cell,C0034902,HP_0012410,Pure red cell aplasia,HPO,"",http://purl.obolibrary.org/obo/HP_0012410,false,false
57,aplastic anaemia,C0002874,HP_0001915,Aplastic anemia,HPO,C0002874,http://purl.obolibrary.org/obo/HP_0001915,false,true
