matrix_index,side_effect_name,candidate_count,meddra_candidate_count,hpo_candidate_count,preferred_meddra_id,candidate_ids,mapping_status
3,abdominal pain lower,0,0,0,"",[],unmatched
4,abdominal pain upper,0,0,0,"",[],unmatched
5,abnormal behaviour,0,0,0,"",[],unmatched
7,abnormal faeces,0,0,0,"",[],unmatched
9,accommodation disorder,0,0,0,"",[],unmatched
14,acute myocardial infarction,0,0,0,"",[],unmatched
17,affect lability,0,0,0,"",[],unmatched
18,affective disorder,0,0,0,"",[],unmatched
19,loss of taste,0,0,0,"",[],unmatched
24,can not exercise,0,0,0,"",[],unmatched
27,alcohol intolerance,0,0,0,"",[],unmatched
29,altered state of consciousness,0,0,0,"",[],unmatched
30,other allergic pneumonitis,0,0,0,"",[],unmatched
32,amenorrhoea,0,0,0,"",[],unmatched
34,amylase increased,0,0,0,"",[],unmatched
36,anaemia large cell,0,0,0,"",[],unmatched
37,anaemia megaloblastic,0,0,0,"",[],unmatched
38,anal pruritus,0,0,0,"",[],unmatched
40,anaphylaxis reaction,0,0,0,"",[],unmatched
45,angiopathy,0,0,0,"",[],unmatched
47,anorectal discomfort,0,0,0,"",[],unmatched
48,anorectal disorder,0,0,0,"",[],unmatched
49,inability to orgasm,0,0,0,"",[],unmatched
50,antisocial behaviour,0,0,0,"",[],unmatched
51,antisocial personality disorder,0,0,0,"",[],unmatched
52,arrest of urinary output,0,0,0,"",[],unmatched
56,aplasia pure red cell,0,0,0,"",[],unmatched
60,application site burn,0,0,0,"",[],unmatched
61,application site dryness,0,0,0,"",[],unmatched
62,application site erythema,0,0,0,"",[],unmatched
63,application site irritation,0,0,0,"",[],unmatched
64,application site pain,0,0,0,"",[],unmatched
65,application site paresthesia,0,0,0,"",[],unmatched
66,application site pruritus,0,0,0,"",[],unmatched
67,application site rash,0,0,0,"",[],unmatched
68,application site reaction,0,0,0,"",[],unmatched
69,application site vesicles,0,0,0,"",[],unmatched
72,arrhythmia supraventricular,0,0,0,"",[],unmatched
76,other symptoms referable to lower leg joint,0,0,0,"",[],unmatched
78,asocial behaviour,0,0,0,"",[],unmatched
81,eye strain,0,0,0,"",[],unmatched
88,atrioventricular block complete,0,0,0,"",[],unmatched
89,atrioventricular block first degree,0,0,0,"",[],unmatched
90,autonomic nervous system imbalance,0,0,0,"",[],unmatched
91,syndrome uremic,0,0,0,"",[],unmatched
93,bloodstream infections,0,0,0,"",[],unmatched
94,bacterial infection,0,0,0,"",[],unmatched
95,balance disorder,0,0,0,"",[],unmatched
97,benign neoplasm of skin,0,0,0,"",[],unmatched
98,biliary colic,0,0,0,"",[],unmatched
99,bipolar disorder,0,0,0,"",[],unmatched
100,bipolar i disorder,0,0,0,"",[],unmatched
101,bladder cancer,0,0,0,"",[],unmatched
103,bleeding time prolonged,0,0,0,"",[],unmatched
104,dermatitis eyelid,0,0,0,"",[],unmatched
105,spasm eyelid,0,0,0,"",[],unmatched
108,blood albumin decreased,0,0,0,"",[],unmatched
109,blood alkaline phosphatase increased,0,0,0,"",[],unmatched
110,blood bilirubin increased,0,0,0,"",[],unmatched
111,blood calcium decreased,0,0,0,"",[],unmatched
112,blood cholesterol increased,0,0,0,"",[],unmatched
113,creatine kinase high,0,0,0,"",[],unmatched
114,blood creatinine increased,0,0,0,"",[],unmatched
115,blood disorder,0,0,0,"",[],unmatched
116,blood glucose decreased,0,0,0,"",[],unmatched
117,blood glucose increased,0,0,0,"",[],unmatched
118,blood lactate dehydrogenase increased,0,0,0,"",[],unmatched
119,blood phosphorus decreased,0,0,0,"",[],unmatched
120,blood potassium decreased,0,0,0,"",[],unmatched
121,blood potassium increased,0,0,0,"",[],unmatched
122,blood pressure increased,0,0,0,"",[],unmatched
123,blood prolactin increased,0,0,0,"",[],unmatched
124,blood triglycerides increased,0,0,0,"",[],unmatched
125,blood urea increased,0,0,0,"",[],unmatched
126,blood uric acid increased,0,0,0,"",[],unmatched
127,blood urine present,0,0,0,"",[],unmatched
128,body temperature decreased,0,0,0,"",[],unmatched
129,body temperature increased,0,0,0,"",[],unmatched
130,bone disorder,0,0,0,"",[],unmatched
133,loss of motor function,0,0,0,"",[],unmatched
134,brain oedema,0,0,0,"",[],unmatched
135,breast cancer,0,0,0,"",[],unmatched
136,breast discharge,0,0,0,"",[],unmatched
137,breast disorder,0,0,0,"",[],unmatched
138,breast engorgement,0,0,0,"",[],unmatched
140,breast neoplasm,0,0,0,"",[],unmatched
141,breast pain,0,0,0,"",[],unmatched
142,breast tenderness,0,0,0,"",[],unmatched
143,breath odour,0,0,0,"",[],unmatched
144,breath sounds abnormal,0,0,0,"",[],unmatched
145,reactive airways disease,0,0,0,"",[],unmatched
148,bronchospasm paradoxical,0,0,0,"",[],unmatched
151,burning sensation,0,0,0,"",[],unmatched
154,candida infection,0,0,0,"",[],unmatched
158,cardiac failure congestive,0,0,0,"",[],unmatched
159,cardiac flutter,0,0,0,"",[],unmatched
161,cardiac output decreased,0,0,0,"",[],unmatched
163,cardiac dilatation,0,0,0,"",[],unmatched
165,cardiovascular disorder,0,0,0,"",[],unmatched
166,carpal tunnel syndrome,0,0,0,"",[],unmatched
168,catheter site pain,0,0,0,"",[],unmatched
170,cerebellar syndrome,0,0,0,"",[],unmatched
171,cerebral haemorrhage,0,0,0,"",[],unmatched
173,cerebral ischaemia,0,0,0,"",[],unmatched
175,cerebrovascular disorder,0,0,0,"",[],unmatched
176,cervix disorder,0,0,0,"",[],unmatched
177,change of bowel habit,0,0,0,"",[],unmatched
183,biliary sludge,0,0,0,"",[],unmatched
185,chorea and atheletes disease,0,0,0,"",[],unmatched
186,color vision change,0,0,0,"",[],unmatched
187,urine discolouration,0,0,0,"",[],unmatched
188,chronic obstructive pulmonary disease,0,0,0,"",[],unmatched
190,coagulopathy,0,0,0,"",[],unmatched
191,cognitive disorder,0,0,0,"",[],unmatched
192,cold sweat,0,0,0,"",[],unmatched
194,colitis ischaemic,0,0,0,"",[],unmatched
195,colitis ulcerative,0,0,0,"",[],unmatched
197,completed suicide,0,0,0,"",[],unmatched
198,conduction disorder,0,0,0,"",[],unmatched
199,confusion state,0,0,0,"",[],unmatched
