matrix_index,biokorf_drug_id,drug_name,gene_count,pathway_count,has_gene_evidence,has_pathway_evidence
0,BIOKORF_DRUG_000,lepirudin,0,0,False,False
1,BIOKORF_DRUG_001,bivalirudin,0,0,False,False
2,BIOKORF_DRUG_002,leuprorelin,1,2,True,True
3,BIOKORF_DRUG_003,goserelin,2,3,True,True
4,BIOKORF_DRUG_004,erythropoietin,0,0,False,False
5,BIOKORF_DRUG_005,insulin,0,0,False,False
6,BIOKORF_DRUG_006,desmopressin,5,17,True,True
7,BIOKORF_DRUG_007,insulin.lispro,0,0,False,False
8,BIOKORF_DRUG_008,insulin.glargine,0,0,False,False
9,BIOKORF_DRUG_009,rasburicase,0,0,False,False
10,BIOKORF_DRUG_010,albumin,0,0,False,False
11,BIOKORF_DRUG_011,eptifibatide,0,0,False,False
12,BIOKORF_DRUG_012,muromonab-CD3,0,0,False,False
13,BIOKORF_DRUG_013,daptomycin,0,0,False,False
14,BIOKORF_DRUG_014,ciclosporin,18,46,True,True
15,BIOKORF_DRUG_015,urofollitropin,0,0,False,False
16,BIOKORF_DRUG_016,octreotide,5,23,True,True
17,BIOKORF_DRUG_017,interferon.alfa-2b,0,0,False,False
18,BIOKORF_DRUG_018,abarelix,1,2,True,True
19,BIOKORF_DRUG_019,oxytocin,0,0,False,False
20,BIOKORF_DRUG_020,enfuvirtide,0,0,False,False
21,BIOKORF_DRUG_021,glutamine,34,36,True,True
22,BIOKORF_DRUG_022,calcitriol,5,12,True,True
23,BIOKORF_DRUG_023,pravastatin,15,49,True,True
24,BIOKORF_DRUG_024,fluvoxamine,14,24,True,True
25,BIOKORF_DRUG_025,valsartan,5,19,True,True
26,BIOKORF_DRUG_026,ramipril,5,9,True,True
27,BIOKORF_DRUG_027,flunisolide,3,16,True,True
28,BIOKORF_DRUG_028,baclofen,2,5,True,True
29,BIOKORF_DRUG_029,nicotine,31,42,True,True
30,BIOKORF_DRUG_030,cevimeline,0,0,False,False
31,BIOKORF_DRUG_031,lorazepam,18,11,True,True
32,BIOKORF_DRUG_032,esmolol,2,8,True,True
33,BIOKORF_DRUG_033,bortezomib,9,83,True,True
34,BIOKORF_DRUG_034,tramadol,0,0,False,False
35,BIOKORF_DRUG_035,betaxolol,4,17,True,True
36,BIOKORF_DRUG_036,fluconazole,5,12,True,True
37,BIOKORF_DRUG_037,oseltamivir,6,15,True,True
38,BIOKORF_DRUG_038,caffeine,45,148,True,True
39,BIOKORF_DRUG_039,sildenafil,15,28,True,True
40,BIOKORF_DRUG_040,dofetilide,5,19,True,True
41,BIOKORF_DRUG_041,azithromycin,4,13,True,True
42,BIOKORF_DRUG_042,trospium,3,9,True,True
43,BIOKORF_DRUG_043,adapalene,9,57,True,True
44,BIOKORF_DRUG_044,midodrine,5,10,True,True
45,BIOKORF_DRUG_045,pantoprazole,7,23,True,True
46,BIOKORF_DRUG_046,torasemide,6,22,True,True
47,BIOKORF_DRUG_047,citalopram,7,20,True,True
48,BIOKORF_DRUG_048,eletriptan,11,18,True,True
49,BIOKORF_DRUG_049,moxifloxacin,2,9,True,True
50,BIOKORF_DRUG_050,nelfinavir,17,40,True,True
51,BIOKORF_DRUG_051,glimepiride,5,16,True,True
52,BIOKORF_DRUG_052,indinavir,13,32,True,True
53,BIOKORF_DRUG_053,lovastatin,18,63,True,True
54,BIOKORF_DRUG_054,pregabalin,3,7,True,True
55,BIOKORF_DRUG_055,temazepam,19,13,True,True
56,BIOKORF_DRUG_056,reboxetine,0,0,False,False
57,BIOKORF_DRUG_057,nevirapine,10,30,True,True
58,BIOKORF_DRUG_058,cladribine,12,38,True,True
59,BIOKORF_DRUG_059,ranolazine,37,37,True,True
60,BIOKORF_DRUG_060,mesalazine,8,66,True,True
61,BIOKORF_DRUG_061,ziprasidone,35,39,True,True
62,BIOKORF_DRUG_062,cabergoline,22,24,True,True
63,BIOKORF_DRUG_063,dapsone,13,25,True,True
64,BIOKORF_DRUG_064,terconazole,0,0,False,False
65,BIOKORF_DRUG_065,phenytoin,58,58,True,True
