source_drug_index,target_drug_index,edge_value,kg_structure_score,gene_jaccard,pathway_jaccard,task_similarity,normalized_task_similarity,combined_score,task_overlap_count,edge_origin
0,9,1.0,,,,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
0,141,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
0,158,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,4,TASK_ONLY_EXPLICIT
0,173,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
0,178,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
0,194,1.0,,,,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
0,305,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
0,309,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
0,338,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
0,379,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
1,4,1.0,,,,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
1,5,1.0,,,,1.0,1.0,,4,TASK_ONLY_EXPLICIT
1,13,1.0,,,,1.0,1.0,,11,TASK_ONLY_EXPLICIT
1,16,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,4,TASK_ONLY_EXPLICIT
1,26,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
1,35,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,6,TASK_ONLY_EXPLICIT
1,57,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
1,68,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,7,TASK_ONLY_EXPLICIT
1,94,1.0,,,,1.0,1.0,,4,TASK_ONLY_EXPLICIT
1,100,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
2,7,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
2,20,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,6,TASK_ONLY_EXPLICIT
2,38,1.0,0.003355704697986577,0.0,0.006711409395973154,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
2,40,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
2,50,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
2,68,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
2,127,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
2,131,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
2,167,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,4,TASK_ONLY_EXPLICIT
2,222,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
3,38,1.0,0.006711409395973154,0.0,0.013422818791946308,1.0000000000000002,1.0,,6,TASK_ONLY_EXPLICIT
3,40,1.0,0.0,0.0,0.0,1.0,1.0,,6,TASK_ONLY_EXPLICIT
3,46,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,7,TASK_ONLY_EXPLICIT
3,52,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,14,TASK_ONLY_EXPLICIT
3,106,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,4,TASK_ONLY_EXPLICIT
3,113,1.0,0.0625,0.0,0.125,1.0,1.0,,4,TASK_ONLY_EXPLICIT
3,120,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
3,139,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,4,TASK_ONLY_EXPLICIT
3,152,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
3,196,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,6,TASK_ONLY_EXPLICIT
4,1,1.0,,,,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
4,46,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
4,56,1.0,,,,0.9999999999999999,1.0,,4,TASK_ONLY_EXPLICIT
4,86,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
4,239,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,6,TASK_ONLY_EXPLICIT
4,242,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
4,261,1.0,,,,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
4,280,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
4,353,1.0,,,,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
4,389,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
5,1,1.0,,,,1.0,1.0,,4,TASK_ONLY_EXPLICIT
5,23,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,7,TASK_ONLY_EXPLICIT
5,26,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,7,TASK_ONLY_EXPLICIT
5,32,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
5,37,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
5,41,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,6,TASK_ONLY_EXPLICIT
5,46,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,6,TASK_ONLY_EXPLICIT
5,51,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
5,90,1.0,,,,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
5,100,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,7,TASK_ONLY_EXPLICIT
6,135,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
6,204,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
6,259,1.0,0.006493506493506494,0.0,0.012987012987012988,1.0000000000000002,1.0,,6,TASK_ONLY_EXPLICIT
6,377,1.0,0.03333333333333333,0.0,0.06666666666666667,0.9999999999999999,1.0,,4,TASK_ONLY_EXPLICIT
6,651,1.0,0.027777777777777776,0.0,0.05555555555555555,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
6,694,1.0,0.011111111111111112,0.0,0.022222222222222223,0.9999999999999999,1.0,,7,TASK_ONLY_EXPLICIT
6,726,1.0,0.06,0.0,0.12,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
6,225,0.9999999999999999,0.16764705882352943,0.1,0.23529411764705882,0.9999999999999998,0.9999999999999999,,5,TASK_ONLY_EXPLICIT
6,260,0.9999999999999999,0.0,0.0,0.0,0.9999999999999998,0.9999999999999999,,5,TASK_ONLY_EXPLICIT
6,324,0.9999999999999999,0.0,0.0,0.0,0.9999999999999998,0.9999999999999999,,7,TASK_ONLY_EXPLICIT
7,2,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
7,53,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
7,68,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
7,105,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,4,TASK_ONLY_EXPLICIT
7,119,1.0,,,,0.9999999999999999,1.0,,4,TASK_ONLY_EXPLICIT
