rounding_decimals,group_rank_within_precision,group_size,member_matrix_indices,member_drug_names
3,1,119,"[0, 1, 4, 5, 7, 8, 9, 11, 12, 15, 17, 19, 20, 30, 34, 56, 64, 66, 80, 90, 94, 108, 119, 122, 125, 138, 143, 151, 157, 165, 171, 177, 194, 197, 201, 206, 217, 233, 236, 238, 251, 253, 257, 270, 284, 291, 296, 301, 302, 308, 330, 332, 337, 342, 353, 374, 384, 399, 403, 405, 420, 453, 459, 469, 473, 485, 491, 521, 522, 532, 537, 539, 541, 542, 547, 551, 553, 556, 569, 572, 582, 592, 594, 596, 597, 600, 615, 616, 619, 626, 627, 639, 645, 646, 655, 657, 658, 662, 666, 667, 668, 671, 683, 697, 699, 703, 714, 725, 728, 730, 731, 734, 736, 738, 741, 742, 743, 744, 747]","[""lepirudin"", ""bivalirudin"", ""erythropoietin"", ""insulin"", ""insulin.lispro"", ""insulin.glargine"", ""rasburicase"", ""eptifibatide"", ""muromonab-CD3"", ""urofollitropin"", ""interferon.alfa-2b"", ""oxytocin"", ""enfuvirtide"", ""cevimeline"", ""tramadol"", ""reboxetine"", ""terconazole"", ""doxycycline"", ""conjugated.estrogens"", ""penciclovir"", ""ertapenem"", ""ipratropium.bromide"", ""aztreonam"", ""anidulafungin"", ""cidofovir"", ""zoledronic.acid"", ""mupirocin"", ""streptozocin"", ""entecavir"", ""verteporfin"", ""rimantadine"", ""nabilone"", ""caspofungin"", ""oxaliplatin"", ""cyclophosphamide"", ""vincristine"", ""tigecycline"", ""gadoteridol"", ""ivermectin"", ""butorphanol"", ""gonadorelin"", ""calcium.folinate"", ""sevelamer"", ""tobramycin"", ""porfimer.sodium"", ""lisinopril"", ""naftifine"", ""mannitol"", ""gadobenic.acid"", ""meropenem"", ""fosfomycin"", ""cefaclor"", ""temozolomide"", ""tacrolimus"", ""granisetron"", ""colesevelam"", ""carboplatin"", ""glycopyrronium.bromide"", ""methyl.aminolevulinate"", ""auranofin"", ""sulfamethoxazole.and.trimethoprim"", ""fluvastatin"", ""heparin"", ""levofloxacin"", ""cefprozil"", ""rescinnamine"", ""clindamycin"", ""docetaxel"", ""iodixanol"", ""telbivudine"", ""exenatide"", ""corticotropin"", ""insulin.aspart"", ""insulin.detemir"", ""iohexol"", ""colchicine"", ""tiotropium.bromide"", ""colestyramine"", ""fotemustine"", ""cyproterone"", ""nesiritide"", ""glatiramer.acetate"", ""samarium.(153Sm).lexidronam"", ""ecallantide"", ""romiplostim"", ""mipomersen"", ""regadenoson"", ""asenapine"", ""dalbavancin"", ""ziconotide"", ""teriparatide"", ""ceftaroline.fosamil"", ""ofatumumab"", ""liraglutide"", ""gadobutrol"", ""buserelin"", ""betaine"", ""dalteparin"", ""lanthanum.carbonate"", ""lodoxamide"", ""methylnaltrexone.bromide"", ""sodium.phenylbutyrate"", ""tesamorelin"", ""aclidinium.bromide"", ""teduglutide"", ""canagliflozin"", ""iopamidol"", ""umeclidinium.bromide"", ""benzoyl.peroxide"", ""mesna"", ""saccharated.iron.oxide"", ""iopromide"", ""technetium.(99mTc).exametazime"", ""sodium.aurothiomalate"", ""secretin"", ""desirudin"", ""temoporfin"", ""colestilan"", ""clobetasone""]"
4,1,119,"[0, 1, 4, 5, 7, 8, 9, 11, 12, 15, 17, 19, 20, 30, 34, 56, 64, 66, 80, 90, 94, 108, 119, 122, 125, 138, 143, 151, 157, 165, 171, 177, 194, 197, 201, 206, 217, 233, 236, 238, 251, 253, 257, 270, 284, 291, 296, 301, 302, 308, 330, 332, 337, 342, 353, 374, 384, 399, 403, 405, 420, 453, 459, 469, 473, 485, 491, 521, 522, 532, 537, 539, 541, 542, 547, 551, 553, 556, 569, 572, 582, 592, 594, 596, 597, 600, 615, 616, 619, 626, 627, 639, 645, 646, 655, 657, 658, 662, 666, 667, 668, 671, 683, 697, 699, 703, 714, 725, 728, 730, 731, 734, 736, 738, 741, 742, 743, 744, 747]","[""lepirudin"", ""bivalirudin"", ""erythropoietin"", ""insulin"", ""insulin.lispro"", ""insulin.glargine"", ""rasburicase"", ""eptifibatide"", ""muromonab-CD3"", ""urofollitropin"", ""interferon.alfa-2b"", ""oxytocin"", ""enfuvirtide"", ""cevimeline"", ""tramadol"", ""reboxetine"", ""terconazole"", ""doxycycline"", ""conjugated.estrogens"", ""penciclovir"", ""ertapenem"", ""ipratropium.bromide"", ""aztreonam"", ""anidulafungin"", ""cidofovir"", ""zoledronic.acid"", ""mupirocin"", ""streptozocin"", ""entecavir"", ""verteporfin"", ""rimantadine"", ""nabilone"", ""caspofungin"", ""oxaliplatin"", ""cyclophosphamide"", ""vincristine"", ""tigecycline"", ""gadoteridol"", ""ivermectin"", ""butorphanol"", ""gonadorelin"", ""calcium.folinate"", ""sevelamer"", ""tobramycin"", ""porfimer.sodium"", ""lisinopril"", ""naftifine"", ""mannitol"", ""gadobenic.acid"", ""meropenem"", ""fosfomycin"", ""cefaclor"", ""temozolomide"", ""tacrolimus"", ""granisetron"", ""colesevelam"", ""carboplatin"", ""glycopyrronium.bromide"", ""methyl.aminolevulinate"", ""auranofin"", ""sulfamethoxazole.and.trimethoprim"", ""fluvastatin"", ""heparin"", ""levofloxacin"", ""cefprozil"", ""rescinnamine"", ""clindamycin"", ""docetaxel"", ""iodixanol"", ""telbivudine"", ""exenatide"", ""corticotropin"", ""insulin.aspart"", ""insulin.detemir"", ""iohexol"", ""colchicine"", ""tiotropium.bromide"", ""colestyramine"", ""fotemustine"", ""cyproterone"", ""nesiritide"", ""glatiramer.acetate"", ""samarium.(153Sm).lexidronam"", ""ecallantide"", ""romiplostim"", ""mipomersen"", ""regadenoson"", ""asenapine"", ""dalbavancin"", ""ziconotide"", ""teriparatide"", ""ceftaroline.fosamil"", ""ofatumumab"", ""liraglutide"", ""gadobutrol"", ""buserelin"", ""betaine"", ""dalteparin"", ""lanthanum.carbonate"", ""lodoxamide"", ""methylnaltrexone.bromide"", ""sodium.phenylbutyrate"", ""tesamorelin"", ""aclidinium.bromide"", ""teduglutide"", ""canagliflozin"", ""iopamidol"", ""umeclidinium.bromide"", ""benzoyl.peroxide"", ""mesna"", ""saccharated.iron.oxide"", ""iopromide"", ""technetium.(99mTc).exametazime"", ""sodium.aurothiomalate"", ""secretin"", ""desirudin"", ""temoporfin"", ""colestilan"", ""clobetasone""]"
6,1,118,"[0, 1, 4, 5, 7, 8, 9, 11, 12, 15, 17, 19, 20, 34, 56, 64, 66, 80, 90, 94, 108, 119, 122, 125, 138, 143, 151, 157, 165, 171, 177, 194, 197, 201, 206, 217, 233, 236, 238, 251, 253, 257, 270, 284, 291, 296, 301, 302, 308, 330, 332, 337, 342, 353, 374, 384, 399, 403, 405, 420, 453, 459, 469, 473, 485, 491, 521, 522, 532, 537, 539, 541, 542, 547, 551, 553, 556, 569, 572, 582, 592, 594, 596, 597, 600, 615, 616, 619, 626, 627, 639, 645, 646, 655, 657, 658, 662, 666, 667, 668, 671, 683, 697, 699, 703, 714, 725, 728, 730, 731, 734, 736, 738, 741, 742, 743, 744, 747]","[""lepirudin"", ""bivalirudin"", ""erythropoietin"", ""insulin"", ""insulin.lispro"", ""insulin.glargine"", ""rasburicase"", ""eptifibatide"", ""muromonab-CD3"", ""urofollitropin"", ""interferon.alfa-2b"", ""oxytocin"", ""enfuvirtide"", ""tramadol"", ""reboxetine"", ""terconazole"", ""doxycycline"", ""conjugated.estrogens"", ""penciclovir"", ""ertapenem"", ""ipratropium.bromide"", ""aztreonam"", ""anidulafungin"", ""cidofovir"", ""zoledronic.acid"", ""mupirocin"", ""streptozocin"", ""entecavir"", ""verteporfin"", ""rimantadine"", ""nabilone"", ""caspofungin"", ""oxaliplatin"", ""cyclophosphamide"", ""vincristine"", ""tigecycline"", ""gadoteridol"", ""ivermectin"", ""butorphanol"", ""gonadorelin"", ""calcium.folinate"", ""sevelamer"", ""tobramycin"", ""porfimer.sodium"", ""lisinopril"", ""naftifine"", ""mannitol"", ""gadobenic.acid"", ""meropenem"", ""fosfomycin"", ""cefaclor"", ""temozolomide"", ""tacrolimus"", ""granisetron"", ""colesevelam"", ""carboplatin"", ""glycopyrronium.bromide"", ""methyl.aminolevulinate"", ""auranofin"", ""sulfamethoxazole.and.trimethoprim"", ""fluvastatin"", ""heparin"", ""levofloxacin"", ""cefprozil"", ""rescinnamine"", ""clindamycin"", ""docetaxel"", ""iodixanol"", ""telbivudine"", ""exenatide"", ""corticotropin"", ""insulin.aspart"", ""insulin.detemir"", ""iohexol"", ""colchicine"", ""tiotropium.bromide"", ""colestyramine"", ""fotemustine"", ""cyproterone"", ""nesiritide"", ""glatiramer.acetate"", ""samarium.(153Sm).lexidronam"", ""ecallantide"", ""romiplostim"", ""mipomersen"", ""regadenoson"", ""asenapine"", ""dalbavancin"", ""ziconotide"", ""teriparatide"", ""ceftaroline.fosamil"", ""ofatumumab"", ""liraglutide"", ""gadobutrol"", ""buserelin"", ""betaine"", ""dalteparin"", ""lanthanum.carbonate"", ""lodoxamide"", ""methylnaltrexone.bromide"", ""sodium.phenylbutyrate"", ""tesamorelin"", ""aclidinium.bromide"", ""teduglutide"", ""canagliflozin"", ""iopamidol"", ""umeclidinium.bromide"", ""benzoyl.peroxide"", ""mesna"", ""saccharated.iron.oxide"", ""iopromide"", ""technetium.(99mTc).exametazime"", ""sodium.aurothiomalate"", ""secretin"", ""desirudin"", ""temoporfin"", ""colestilan"", ""clobetasone""]"
3,2,38,"[24, 26, 39, 45, 47, 79, 112, 137, 156, 160, 174, 202, 249, 250, 265, 276, 289, 297, 318, 325, 334, 341, 346, 351, 392, 427, 429, 454, 482, 524, 529, 578, 606, 638, 642, 700, 705, 707]","[""fluvoxamine"", ""ramipril"", ""sildenafil"", ""pantoprazole"", ""citalopram"", ""venlafaxine"", ""omeprazole"", ""sorafenib"", ""gemcitabine"", ""lansoprazole"", ""celecoxib"", ""rofecoxib"", ""simvastatin"", ""pemetrexed"", ""galantamine"", ""daunorubicin"", ""paroxetine"", ""esomeprazole"", ""perindopril"", ""ribavirin"", ""donepezil"", ""vardenafil"", ""sirolimus"", ""bumetanide"", ""ezetimibe"", ""topotecan"", ""selegiline"", ""leflunomide"", ""escitalopram"", ""dasatinib"", ""decitabine"", ""nilotinib"", ""romidepsin"", ""pazopanib"", ""bosutinib"", ""ponatinib"", ""pomalidomide"", ""dabrafenib""]"
4,2,38,"[24, 26, 39, 45, 47, 79, 112, 137, 156, 160, 174, 202, 249, 250, 265, 276, 289, 297, 318, 325, 334, 341, 346, 351, 392, 427, 429, 454, 482, 524, 529, 578, 606, 638, 642, 700, 705, 707]","[""fluvoxamine"", ""ramipril"", ""sildenafil"", ""pantoprazole"", ""citalopram"", ""venlafaxine"", ""omeprazole"", ""sorafenib"", ""gemcitabine"", ""lansoprazole"", ""celecoxib"", ""rofecoxib"", ""simvastatin"", ""pemetrexed"", ""galantamine"", ""daunorubicin"", ""paroxetine"", ""esomeprazole"", ""perindopril"", ""ribavirin"", ""donepezil"", ""vardenafil"", ""sirolimus"", ""bumetanide"", ""ezetimibe"", ""topotecan"", ""selegiline"", ""leflunomide"", ""escitalopram"", ""dasatinib"", ""decitabine"", ""nilotinib"", ""romidepsin"", ""pazopanib"", ""bosutinib"", ""ponatinib"", ""pomalidomide"", ""dabrafenib""]"
3,3,32,"[133, 152, 154, 158, 193, 207, 246, 312, 448, 466, 483, 499, 505, 526, 528, 534, 574, 589, 620, 631, 641, 643, 649, 660, 680, 689, 691, 696, 715, 718, 719, 721]","[""digoxin"", ""allopurinol"", ""cerivastatin"", ""teniposide"", ""trandolapril"", ""benazepril"", ""clofarabine"", ""etoposide"", ""vigabatrin"", ""rabeprazole"", ""idarubicin"", ""mitoxantrone"", ""anastrozole"", ""lapatinib"", ""sitagliptin"", ""sunitinib"", ""ixabepilone"", ""belinostat"", ""rivaroxaban"", ""dapagliflozin"", ""apixaban"", ""axitinib"", ""dabigatran.etexilate"", ""cabazitaxel"", ""crizotinib"", ""teriflunomide"", ""linagliptin"", ""regorafenib"", ""aliskiren"", ""empagliflozin"", ""eliglustat"", ""cobicistat""]"
4,3,32,"[133, 152, 154, 158, 193, 207, 246, 312, 448, 466, 483, 499, 505, 526, 528, 534, 574, 589, 620, 631, 641, 643, 649, 660, 680, 689, 691, 696, 715, 718, 719, 721]","[""digoxin"", ""allopurinol"", ""cerivastatin"", ""teniposide"", ""trandolapril"", ""benazepril"", ""clofarabine"", ""etoposide"", ""vigabatrin"", ""rabeprazole"", ""idarubicin"", ""mitoxantrone"", ""anastrozole"", ""lapatinib"", ""sitagliptin"", ""sunitinib"", ""ixabepilone"", ""belinostat"", ""rivaroxaban"", ""dapagliflozin"", ""apixaban"", ""axitinib"", ""dabigatran.etexilate"", ""cabazitaxel"", ""crizotinib"", ""teriflunomide"", ""linagliptin"", ""regorafenib"", ""aliskiren"", ""empagliflozin"", ""eliglustat"", ""cobicistat""]"
3,4,24,"[63, 150, 226, 235, 268, 282, 352, 416, 470, 474, 543, 558, 565, 570, 591, 659, 670, 701, 704, 724, 729, 746, 753, 754]","[""dapsone"", ""famciclovir"", ""voriconazole"", ""linezolid"", ""amphotericin.B"", ""delavirdine"", ""chlormethine"", ""busulfan"", ""micafungin"", ""gemifloxacin"", ""fosamprenavir"", ""dihydrocodeine"", ""deferasirox"", ""thiotepa"", ""trabectedin"", ""bendamustine"", ""raltegravir"", ""bedaquiline"", ""glycerol.phenylbutyrate"", ""sodium.oxybate"", ""elvitegravir"", ""clobetasol"", ""tedizolid"", ""hydroxyprogesterone""]"
4,4,24,"[63, 150, 226, 235, 268, 282, 352, 416, 470, 474, 543, 558, 565, 570, 591, 659, 670, 701, 704, 724, 729, 746, 753, 754]","[""dapsone"", ""famciclovir"", ""voriconazole"", ""linezolid"", ""amphotericin.B"", ""delavirdine"", ""chlormethine"", ""busulfan"", ""micafungin"", ""gemifloxacin"", ""fosamprenavir"", ""dihydrocodeine"", ""deferasirox"", ""thiotepa"", ""trabectedin"", ""bendamustine"", ""raltegravir"", ""bedaquiline"", ""glycerol.phenylbutyrate"", ""sodium.oxybate"", ""elvitegravir"", ""clobetasol"", ""tedizolid"", ""hydroxyprogesterone""]"
3,5,23,"[36, 52, 84, 92, 155, 176, 224, 280, 290, 363, 366, 375, 394, 417, 476, 568, 601, 613, 636, 685, 686, 710, 713]","[""fluconazole"", ""indinavir"", ""chlorambucil"", ""flucloxacillin"", ""trimethoprim"", ""dicloxacillin"", ""valaciclovir"", ""amprenavir"", ""adefovir.dipivoxil"", ""tinidazole"", ""metronidazole"", ""tipranavir"", ""telithromycin"", ""metyrapone"", ""trimetrexate"", ""fusidic.acid"", ""apremilast"", ""doripenem"", ""etravirine"", ""boceprevir"", ""fidaxomicin"", ""dolutegravir"", ""sofosbuvir""]"
