entity_type,view_index,view_name,code_variable,source_file,raw_shape,final_shape,shape,diagonal_exists,diagonal_nonzero_count,symmetric,numerical_min,numerical_max,numerical_mean,numerical_std,nonzero_entries,density,nan_count,inf_count,provenance_class,leakage_status,external_or_label_derived,test_edges_hidden,validation_edges_hidden,recomputed_from_training_only,original_mssf_uses_full_label_information,mssf_clean_corrected_behavior,semantic_evidence,code_evidence,file_evidence,leakage_explanation,top5_mean_degree,top5_min_degree,top5_max_degree,top5_isolated_node_count,top5_connected_component_count,top5_largest_component_size,top5_edge_count,top5_reciprocal_edge_percentage,top5_average_retained_similarity,top10_mean_degree,top10_min_degree,top10_max_degree,top10_isolated_node_count,top10_connected_component_count,top10_largest_component_size,top10_edge_count,top10_reciprocal_edge_percentage,top10_average_retained_similarity,top20_mean_degree,top20_min_degree,top20_max_degree,top20_isolated_node_count,top20_connected_component_count,top20_largest_component_size,top20_edge_count,top20_reciprocal_edge_percentage,top20_average_retained_similarity,task_sufficient_entity_count,task_alignment_pair_count,task_alignment_correlation,top5_task_alignment,top10_task_alignment,random_task_alignment,task_alignment_enrichment,kg_coverage,kg_available_entity_count,kg_pair_count,kg_pearson,kg_spearman,kg_top5_jaccard,kg_top10_jaccard,kg_complementarity,rewiring_priority,recommended_rewiring_mode,modification_meaning,rationale
DRUG,1,SMDsimilarity,drug_Tfeature_one,Datas/Text_similarity_one.pkl,757x757,757x757,757x757,True,660,True,0.0,1.0,0.00225897610850032,0.04403310668617573,1590,0.002774631837766055,0,0,EXTERNAL_STATIC,SAFE_EXTERNAL,EXTERNAL,NOT_APPLICABLE,NOT_APPLICABLE,False,False,NOT_APPLICABLE,mssf.py comment: Load SMDsimilarity; README: STITCH chemical_chemical.links detailed channel.,mssf.py: drug_features.append(drug_Tfeature_one),README.md identifies Text_similarity_one.pkl as a STITCH drug similarity matrix.,No drug-side frequency or association labels enter this view.,8.974900924702775,5,702,0,1,757,3397,20.501981505944517,0.1522552179656539,18.681638044914134,10,752,0,1,757,7071,13.183619550858653,0.08381822985468955,38.29326287978864,20,756,0,1,757,14494,8.533685601056803,0.04190911492734478,756,285390,0.02462179523481982,0.1737984071961623,0.18051502688904192,0.17854264770179967,0.001972379187242246,0.964332892998679,730,266085,0.023988697645373088,0.027811683489794004,0.06858012611437268,0.08858491116114425,COMPLEMENTARY,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,Changing source similarity scores would alter STITCH evidence semantics; preserve values and build a separate task adjacency.,"External and leakage-safe, with task-alignment headroom and complementary KG evidence; preserve source values and alter only a derived adjacency."
DRUG,2,SMDexperimental,drug_Tfeature_two,Datas/Text_similarity_two.pkl,757x757,757x757,757x757,True,660,True,0.0,1.0,0.004050630923359085,0.04540244124127673,6568,0.011461498056885188,0,0,EXTERNAL_STATIC,SAFE_EXTERNAL,EXTERNAL,NOT_APPLICABLE,NOT_APPLICABLE,False,False,NOT_APPLICABLE,mssf.py comment: Load SMDexperimental; README: STITCH chemical_chemical.links detailed channel.,mssf.py: drug_features.append(drug_Tfeature_two),README.md identifies Text_similarity_two.pkl as a STITCH drug similarity matrix.,No drug-side frequency or association labels enter this view.,8.443857331571994,5,390,0,5,719,3196,31.122853368560104,0.19052628797886395,16.290620871862615,10,480,0,1,757,6166,37.093791281373846,0.1548789960369881,33.26023778071334,20,662,0,1,757,12589,33.69881109643329,0.1023605680317041,756,285390,0.051439813748260926,0.2029678860300967,0.20308283755008907,0.17854264770179967,0.0245401898482894,0.964332892998679,730,266085,0.0286217027349765,0.03315721321905464,0.06087192868014786,0.0817857651629228,COMPLEMENTARY,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,Changing source scores would alter experimental-evidence semantics; preserve values and build a separate adjacency.,"External and leakage-safe, with task-alignment headroom and complementary KG evidence; preserve source values and alter only a derived adjacency."
DRUG,3,SMDdatabase,drug_Tfeature_three,Datas/Text_similarity_three.pkl,757x757,757x757,757x757,True,660,True,0.0,1.0,0.0012770286659605024,0.035532931007093496,740,0.001291338088016906,0,0,EXTERNAL_STATIC,SAFE_EXTERNAL,EXTERNAL,NOT_APPLICABLE,NOT_APPLICABLE,False,False,NOT_APPLICABLE,mssf.py comment: Load SMDdatabase; README: STITCH chemical_chemical.links detailed channel.,mssf.py: drug_features.append(drug_Tfeature_three),README.md identifies Text_similarity_three.pkl as a STITCH drug similarity matrix.,No drug-side frequency or association labels enter this view.,9.88110964332893,5,754,0,1,757,3740,2.3778071334214004,0.016380449141347425,19.76221928665786,10,755,0,1,757,7480,2.3778071334214004,0.008903566710700132,39.339498018494055,20,756,0,1,757,14890,3.3025099075297226,0.004742404227212681,756,285390,0.009772082832748505,0.1572106588559742,0.17230915863410298,0.17854264770179967,-0.00623348906769669,0.964332892998679,730,266085,0.002399800403410705,0.002032637667624546,0.07431506849315068,0.0946701139923923,COMPLEMENTARY,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,Changing source scores would alter database-evidence semantics; preserve values and build a separate adjacency.,"External and leakage-safe, with task-alignment headroom and complementary KG evidence; preserve source values and alter only a derived adjacency."
DRUG,4,SMDtext,drug_Tfeature_four,Datas/Text_similarity_four.pkl,757x757,757x757,757x757,True,660,True,0.0,1.0,0.026466162579465283,0.11064461744528398,43130,0.07526406991374211,0,0,EXTERNAL_STATIC,SAFE_EXTERNAL,EXTERNAL,NOT_APPLICABLE,NOT_APPLICABLE,False,False,NOT_APPLICABLE,mssf.py comment: Load SMDtext; README: STITCH chemical_chemical.links detailed channel.,mssf.py: drug_features.append(drug_Tfeature_four),README.md identifies Text_similarity_four.pkl as a STITCH drug similarity matrix.,No drug-side frequency or association labels enter this view.,7.7305151915455745,5,137,0,1,757,2926,45.38969616908851,0.6278961690885073,15.16776750330251,10,156,0,1,757,5741,48.322324966974904,0.54568071334214,30.211360634081903,20,227,0,1,757,11435,48.94319682959049,0.43912219286657855,756,285390,0.10387850476348337,0.23998826691370856,0.23197307675877493,0.17854264770179967,0.05343042905697526,0.964332892998679,730,266085,0.025213269749466406,0.02388679688415217,0.04869536855838225,0.06423711943136007,COMPLEMENTARY,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,Changing source scores would alter text-mining evidence semantics; preserve values and build a separate adjacency.,"External and leakage-safe, with task-alignment headroom and complementary KG evidence; preserve source values and alter only a derived adjacency."
DRUG,5,SMDcombined,drug_Tfeature_five,Datas/Text_similarity_five.pkl,757x757,757x757,757x757,True,660,True,0.0,1.0,0.028044268465698397,0.11518549625534201,44580,0.07779439454566713,0,0,EXTERNAL_STATIC,SAFE_EXTERNAL,EXTERNAL,NOT_APPLICABLE,NOT_APPLICABLE,False,False,NOT_APPLICABLE,mssf.py comment: Load SMDcombined; README: STITCH chemical_chemical.links detailed channel.,mssf.py: drug_features.append(drug_Tfeature_five),README.md identifies Text_similarity_five.pkl as a STITCH drug similarity matrix.,No drug-side frequency or association labels enter this view.,7.71994715984148,5,126,0,1,757,2922,45.60105680317041,0.6547487450462351,15.067371202113605,10,149,0,1,757,5703,49.32628797886394,0.5739121532364596,29.89431968295905,20,210,0,1,757,11315,50.528401585204755,0.4651570673712021,756,285390,0.10387980940031487,0.24274526673576022,0.23368546409337815,0.17854264770179967,0.055142816391578475,0.964332892998679,730,266085,0.026734162816525835,0.025490318675162337,0.043177864753207215,0.058247258935371235,COMPLEMENTARY,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,Changing combined source scores would alter their evidence meaning; preserve values and build a separate adjacency.,"External and leakage-safe, with task-alignment headroom and complementary KG evidence; preserve source values and alter only a derived adjacency."
DRUG,6,Drug_word_sim,Drug_word_sim,Datas/drug_mol.pkl,757x100,757x757,757x757,True,757,True,0.22713433428595053,1.0000000000000009,0.8275536949837815,0.10384518375008218,573049,1.0,0,0,EXTERNAL_STATIC,SAFE_EXTERNAL,EXTERNAL,NOT_APPLICABLE,NOT_APPLICABLE,False,False,NOT_APPLICABLE,README: Mol2vec molecular-substructure embeddings.,mssf.py: Drug_word_sim = cosine_similarity(Drug_word2vec),README.md describes drug_mol.pkl as externally learned Mol2vec vectors.,No drug-side frequency or association labels enter this view.,7.508586525759577,5,21,0,2,751,2842,49.82826948480845,0.9642006974732793,14.92998678996037,10,43,0,1,757,5651,50.7001321003963,0.9566051421514514,29.89696169088507,20,86,0,1,757,11316,50.51519154557464,0.9482004740351875,756,285390,0.06655775221647897,0.2079062789341867,0.19935440982570157,0.17854264770179967,0.0208117621239019,0.964332892998679,730,266085,-0.0716467838313027,-0.06078703104872885,0.01856925418569254,0.027212014156965173,COMPLEMENTARY,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,This is molecular-representation similarity; preserve the similarity feature and derive any task graph separately.,"External and leakage-safe, with task-alignment headroom and complementary KG evidence; preserve source values and alter only a derived adjacency."
DRUG,7,drug_target_sim,drug_target_sim,Datas/drug_target.pkl,757x847,757x757,757x757,True,688,True,0.0,1.0000000000000004,0.010458815803297243,0.07931621305912759,14186,0.02475530015757815,0,0,EXTERNAL_STATIC,SAFE_EXTERNAL,EXTERNAL,NOT_APPLICABLE,NOT_APPLICABLE,False,False,NOT_APPLICABLE,README: target-protein information obtained from DrugBank.,mssf.py: drug_target_sim = cosine_similarity(drug_target),README.md identifies drug_target.pkl as DrugBank target information.,No drug-side frequency or association labels enter this view.,7.6697490092470275,5,298,0,3,735,2903,46.60501981505944,0.4830805034156671,15.389696169088507,10,401,0,2,742,5825,46.10303830911493,0.3765397675651098,31.632760898282694,20,533,0,1,757,11973,41.83619550858653,0.26195648077356565,756,285390,0.07261270492122841,0.22060074362864435,0.2130393124490269,0.17854264770179967,0.034496664747227235,0.964332892998679,730,266085,0.02985009313223293,0.026161775945912697,0.06940639269406393,0.0942912082474829,COMPLEMENTARY,HIGH_PRIORITY_REWIRING_CANDIDATE,ADD_EDGES_WITH_KG_SUPPORT,Edges mean shared target profiles; added KG-supported edges must remain distinguishable from original target similarity.,"External and leakage-safe, with task-alignment headroom and complementary KG evidence; preserve source values and alter only a derived adjacency."
DRUG,8,drug_f_sim,drug_f_sim,Datas/fingerprint_similarity.pkl,757x757,757x757,757x757,True,757,True,0.0,1.0,0.24820401327832178,0.1320539433665202,565343,0.9865526333699213,0,0,EXTERNAL_STATIC,SAFE_EXTERNAL,EXTERNAL,NOT_APPLICABLE,NOT_APPLICABLE,False,False,NOT_APPLICABLE,README: chemical-structure Jaccard similarity.,mssf.py: drug_f_sim = pickle.load(...fingerprint_similarity.pkl),README.md identifies fingerprint_similarity.pkl as structure similarity from Jaccard scores.,No drug-side frequency or association labels enter this view.,7.933949801849406,5,201,0,1,757,3003,41.32100396301189,0.5446498462344285,16.478203434610304,10,295,0,1,757,6237,35.21796565389696,0.4984541554099485,33.915455746367236,20,365,0,1,757,12837,30.422721268163805,0.4601788543580044,756,285390,0.029537499731154885,0.20508875873825433,0.1945247035647767,0.17854264770179967,0.015982055862977018,0.964332892998679,730,266085,0.04315480420329224,0.042015514157315394,0.02608175690367471,0.025518907394729104,EFFECTIVELY_UNRELATED,NEEDS_MORE_EVIDENCE,NEEDS_REVIEW,Do not rewrite chemical similarity values; only build a separate task-aware adjacency or prune an adjacency view.,Available task/KG diagnostics do not provide consistent evidence for safe rewiring.
DRUG,9,SMD_DIPF,drug_side_sim,Datas/drug_side.pkl,757x994,757x757,757x757,True,756,True,0.0,1.0000000000000007,0.17905685748670314,0.11900123379380521,501304,0.8748012822638204,0,0,LABEL_DERIVED,SAFE_TRAIN_ONLY,LABEL_DERIVED,True,True,True,True,True,"mssf.py: cosine similarity over remaining frequency matrix, SMD_DIPF.",mssf.py: drug_side_sim = cosine_similarity(drug_side),drug_side.pkl contains known drug-side frequency labels; Fold-1 version must be reconstructed from train rows only.,"The audit reconstructs this view from train_samples only. Original mssf.py masks only data_test, so a separate model-selection validation subset would remain; MSSF-clean masks validation and test together.",8.3223249669749,5,55,0,1,757,3150,33.55350066050198,0.4677005106692042,16.195508586525758,10,89,0,1,757,6130,38.044914134742406,0.4420091177661628,31.52972258916777,20,130,0,1,757,11934,42.351387054161165,0.4140166262553001,756,285390,0.9999999999999999,0.46831916213834335,0.44259378591135606,0.17854264770179967,0.2640511382095564,0.964332892998679,730,266085,0.034165268087435384,0.0413785307401922,0.007496194824961947,0.01278538812785388,EFFECTIVELY_UNRELATED,DO_NOT_REWIRE,DO_NOT_MODIFY,This already encodes training outcomes; KG/task rewiring risks circular target use and must not modify the feature.,The view directly encodes Fold-1 training labels; further task-guided rewiring would be circular and must never use validation/test labels.
DRUG,10,SMD_DIPA,drug_side_label_sim,Datas/drug_side.pkl,757x994,757x757,757x757,True,756,True,0.0,1.0000000000000013,0.16784435127127853,0.11132531846819348,501304,0.8748012822638204,0,0,LABEL_DERIVED,SAFE_TRAIN_ONLY,LABEL_DERIVED,True,True,True,True,True,"mssf.py: cosine similarity over binary association matrix, SMD_DIPA.",mssf.py: drug_side_label_sim = cosine_similarity(drug_side_label),drug_side.pkl supplies known associations; Fold-1 version must be reconstructed from train rows only.,"The audit reconstructs this view from train_samples only. Original mssf.py masks only data_test, so a separate model-selection validation subset would remain; MSSF-clean masks validation and test together.",8.303830911492735,5,56,0,1,757,3143,33.92338177014531,0.44538869238480105,16.184940554821665,10,95,0,1,757,6126,38.150594451783356,0.420359079082837,31.305151915455745,20,149,0,1,757,11849,43.474240422721266,0.39319021326372,756,285390,0.9776596671890099,0.4580358303757537,0.43336355690642814,0.17854264770179967,0.25482090920462847,0.964332892998679,730,266085,0.033680231968348656,0.040217086252738295,0.00806697108066971,0.012096451173596092,EFFECTIVELY_UNRELATED,DO_NOT_REWIRE,DO_NOT_MODIFY,This already encodes training associations; preserve the safely recomputed feature and do not rewire it.,The view directly encodes Fold-1 training labels; further task-guided rewiring would be circular and must never use validation/test labels.
