source_drug_index,target_drug_index,original_similarity,task_similarity,kg_similarity,combined_score,task_overlap_count,edge_origin
0,11,0.0,0.1889822365046136,1.0,,4,KG_ONLY_ADDED
0,12,0.0,,1.0,,2,KG_ONLY_ADDED
0,15,0.0,0.1889822365046136,1.0,,4,KG_ONLY_ADDED
1,11,0.0,0.8660254037844387,1.0,,4,KG_ONLY_ADDED
1,12,0.0,0.8801724588467041,1.0,,8,KG_ONLY_ADDED
1,15,0.0,0.8999999999999998,1.0,,7,KG_ONLY_ADDED
2,28,0.0,0.5477225575051661,0.9999999999999993,,11,KG_ONLY_ADDED
2,81,0.0,0.7559289460184544,0.9999999999999993,,4,KG_ONLY_ADDED
2,328,0.0,0.7453559924999299,0.9999999999999993,,3,KG_ONLY_ADDED
3,355,0.0,0.8320502943378437,1.0000000000000002,,18,KG_ONLY_ADDED
3,387,0.0,,1.0000000000000002,,2,KG_ONLY_ADDED
3,517,0.0,0.9199353193217104,1.0000000000000002,,16,KG_ONLY_ADDED
4,11,0.0,,1.0,,1,KG_ONLY_ADDED
4,12,0.0,0.9190074972809804,1.0,,10,KG_ONLY_ADDED
4,15,0.0,0.9467292624062573,1.0,,6,KG_ONLY_ADDED
5,11,0.0,,1.0,,1,KG_ONLY_ADDED
5,12,0.0,0.9302605094190635,1.0,,11,KG_ONLY_ADDED
5,15,0.0,0.4045199174779452,1.0,,10,KG_ONLY_ADDED
6,95,0.0,0.758287544405155,1.0,,16,KG_ONLY_ADDED
6,175,0.0,0.4082482904638631,1.0,,7,KG_ONLY_ADDED
6,247,0.0,0.8838834764831843,0.9999999999999974,,5,KG_ONLY_ADDED
7,11,0.0,,1.0,,0,KG_ONLY_ADDED
7,12,0.0,0.9434563530497265,1.0,,4,KG_ONLY_ADDED
7,15,0.0,0.9561828874675149,1.0,,7,KG_ONLY_ADDED
8,11,0.0,,1.0,,0,KG_ONLY_ADDED
8,12,0.0,0.9230769230769232,1.0,,4,KG_ONLY_ADDED
8,15,0.0,0.8775269089525567,1.0,,8,KG_ONLY_ADDED
9,11,0.0,-0.2357022603955158,1.0,,3,KG_ONLY_ADDED
9,12,0.0,1.0000000000000002,1.0,,3,KG_ONLY_ADDED
9,15,0.0,0.48304589153964794,1.0,,6,KG_ONLY_ADDED
11,12,0.0,,1.0,,2,KG_ONLY_ADDED
11,15,0.0,0.0,1.0,,3,KG_ONLY_ADDED
11,17,0.0,-0.8660254037844387,1.0,,3,KG_ONLY_ADDED
12,11,0.0,,1.0,,2,KG_ONLY_ADDED
12,15,0.0,0.9441175904999112,1.0,,12,KG_ONLY_ADDED
12,17,0.0,0.9251491492547037,1.0,,25,KG_ONLY_ADDED
14,205,0.0,0.33333333333333337,0.9999999999999966,,3,KG_ONLY_ADDED
14,349,0.0,0.8249579113843053,0.9999999999999966,,6,KG_ONLY_ADDED
14,406,0.0,0.5474375080153916,0.9999999999999957,,55,KG_ONLY_ADDED
15,11,0.0,0.0,1.0,,3,KG_ONLY_ADDED
15,12,0.0,0.9441175904999112,1.0,,12,KG_ONLY_ADDED
15,17,0.0,0.9428090415820634,1.0,,24,KG_ONLY_ADDED
16,347,0.0,0.8333333333333335,1.0,,3,KG_ONLY_ADDED
16,531,0.0,0.8485281374238569,1.0,,8,KG_ONLY_ADDED
16,502,0.0,0.753778361444409,0.9999999999999983,,5,KG_ONLY_ADDED
17,11,0.0,-0.8660254037844387,1.0,,3,KG_ONLY_ADDED
17,12,0.0,0.9251491492547037,1.0,,25,KG_ONLY_ADDED
17,15,0.0,0.9428090415820634,1.0,,24,KG_ONLY_ADDED
18,274,0.0,0.9486832980505138,0.9999999999999997,,4,KG_ONLY_ADDED
18,629,0.0,,0.9999999999999997,,1,KG_ONLY_ADDED
18,651,0.0,0.9622504486493763,0.9999999999999997,,3,KG_ONLY_ADDED
19,11,0.0,0.47809144373375745,1.0,,5,KG_ONLY_ADDED
19,12,0.0,-0.33333333333333337,1.0,,3,KG_ONLY_ADDED
19,15,0.0,0.0,1.0,,3,KG_ONLY_ADDED
20,11,0.0,,1.0,,0,KG_ONLY_ADDED
20,12,0.0,0.9163419338230352,1.0,,12,KG_ONLY_ADDED
20,15,0.0,0.9486832980505138,1.0,,8,KG_ONLY_ADDED
21,478,0.0,0.4803844614152615,0.9999999999999943,,7,KG_ONLY_ADDED
21,37,0.0,0.968962790249909,0.9999999999999938,,6,KG_ONLY_ADDED
21,500,0.0,0.9434563530497265,0.9999999999999938,,13,KG_ONLY_ADDED
22,436,0.0,,1.0000000000000002,,0,KG_ONLY_ADDED
22,105,0.0,,0.9999999999999986,,1,KG_ONLY_ADDED
22,184,0.0,,0.9999999999999973,,0,KG_ONLY_ADDED
23,393,0.0,0.545544725589981,0.9999999999999961,,13,KG_ONLY_ADDED
23,319,0.0,0.9438798074485389,0.9999999999999959,,5,KG_ONLY_ADDED
23,74,0.0,,0.9999999999999946,,2,KG_ONLY_ADDED
24,112,0.0,0.27524094128159016,0.9999999999999976,,36,KG_ONLY_ADDED
24,174,0.0,0.6666666666666666,0.9999999999999974,,13,KG_ONLY_ADDED
24,26,0.0,0.7092081432669752,0.9999999999999973,,20,KG_ONLY_ADDED
25,127,0.0,0.8660254037844387,0.9999999999999968,,4,KG_ONLY_ADDED
