source_drug_index,target_drug_index,original_similarity,task_similarity,kg_similarity,edge_origin
0,1,0.0,0.8728715609439696,1.0,ORIGINAL
0,2,0.0,0.9428090415820635,0.9633150259944552,ORIGINAL
0,3,0.0,0.8581163303210331,0.9478675140998328,ORIGINAL
0,4,0.0,,1.0,ORIGINAL
0,5,0.0,,1.0,ORIGINAL
0,6,0.0,,0.9646784562203947,ORIGINAL
0,7,0.0,,1.0,ORIGINAL
0,8,0.0,,1.0,ORIGINAL
0,9,0.0,1.0000000000000002,1.0,ORIGINAL
0,10,0.0,,,ORIGINAL
1,0,0.0,0.8728715609439696,1.0,ORIGINAL
1,2,0.0,0.9525793444156805,0.9633150259944552,ORIGINAL
1,3,0.0,0.8970852271450606,0.9478675140998328,ORIGINAL
1,4,0.0,1.0000000000000002,1.0,ORIGINAL
1,5,0.0,1.0,1.0,ORIGINAL
1,6,0.0,0.6092717958449424,0.9646784562203947,ORIGINAL
1,7,0.0,0.9428090415820635,1.0,ORIGINAL
1,8,0.0,,1.0,ORIGINAL
1,9,0.0,0.9799578870122229,1.0,ORIGINAL
1,10,0.0,-0.16903085094570328,,ORIGINAL
2,0,0.0,0.9428090415820635,0.9633150259944552,ORIGINAL
2,1,0.0,0.9525793444156805,0.9633150259944552,ORIGINAL
2,3,0.0,0.9325048082403137,0.9777320874553711,ORIGINAL
2,4,0.0,0.944911182523068,0.9633150259944552,ORIGINAL
2,5,0.0,0.9438798074485389,0.9633150259944552,ORIGINAL
2,6,0.0,0.29814239699997197,0.9658346052796958,ORIGINAL
2,7,0.0,1.0000000000000002,0.9633150259944552,ORIGINAL
2,8,0.0,0.8999999999999998,0.9633150259944552,ORIGINAL
2,9,0.0,0.9525793444156805,0.9633150259944552,ORIGINAL
2,10,0.0,-0.5773502691896257,,ORIGINAL
3,0,0.0,0.8581163303210331,0.9478675140998328,ORIGINAL
3,1,0.0,0.8970852271450606,0.9478675140998328,ORIGINAL
3,2,0.0,0.9325048082403137,0.9777320874553711,ORIGINAL
3,4,0.0,0.9237604307034013,0.9478675140998328,ORIGINAL
3,5,0.0,0.9525793444156805,0.9478675140998328,ORIGINAL
3,6,0.0,0.5263613559678152,0.9413488731479989,ORIGINAL
3,7,0.0,0.944911182523068,0.9478675140998328,ORIGINAL
3,8,0.0,0.8944271909999159,0.9478675140998328,ORIGINAL
3,9,0.0,0.9090909090909091,0.9478675140998328,ORIGINAL
3,10,0.0,-0.4472135954999579,,ORIGINAL
4,0,0.0,,1.0,ORIGINAL
4,1,0.0,1.0000000000000002,1.0,ORIGINAL
4,2,0.0,0.944911182523068,0.9633150259944552,ORIGINAL
4,3,0.0,0.9237604307034013,0.9478675140998328,ORIGINAL
4,5,0.0,0.9574271077563381,1.0,ORIGINAL
4,6,0.0,0.8563488385776753,0.9646784562203947,ORIGINAL
4,7,0.0,,1.0,ORIGINAL
4,8,0.0,0.8571428571428571,1.0,ORIGINAL
4,9,0.0,,1.0,ORIGINAL
4,10,0.0,-0.223606797749979,,ORIGINAL
5,0,0.0,,1.0,ORIGINAL
5,1,0.0,1.0,1.0,ORIGINAL
5,2,0.0,0.9438798074485389,0.9633150259944552,ORIGINAL
5,3,0.0,0.9525793444156805,0.9478675140998328,ORIGINAL
5,4,0.0,0.9574271077563381,1.0,ORIGINAL
5,6,0.0,0.5773502691896258,0.9646784562203947,ORIGINAL
5,7,0.0,0.9561828874675149,1.0,ORIGINAL
5,8,0.0,0.9464574146347642,1.0,ORIGINAL
5,9,0.0,0.8728715609439696,1.0,ORIGINAL
5,10,0.0,-0.12309149097933275,,ORIGINAL
6,0,0.0,,0.9646784562203947,ORIGINAL
6,1,0.0,0.6092717958449424,0.9646784562203947,ORIGINAL
6,2,0.0,0.29814239699997197,0.9658346052796958,ORIGINAL
6,3,0.0,0.5263613559678152,0.9413488731479989,ORIGINAL
6,4,0.0,0.8563488385776753,0.9646784562203947,ORIGINAL
6,5,0.0,0.5773502691896258,0.9646784562203947,ORIGINAL
6,7,0.0,0.8749999999999998,0.9646784562203947,ORIGINAL
6,8,0.0,0.8606629658238704,0.9646784562203947,ORIGINAL
6,9,0.0,0.4743416490252569,0.9646784562203947,ORIGINAL
6,10,0.0,0.1336306209562122,,ORIGINAL
7,0,0.0,,1.0,ORIGINAL
7,1,0.0,0.9428090415820635,1.0,ORIGINAL
7,2,0.0,1.0000000000000002,0.9633150259944552,ORIGINAL
7,3,0.0,0.944911182523068,0.9478675140998328,ORIGINAL
7,4,0.0,,1.0,ORIGINAL
7,5,0.0,0.9561828874675149,1.0,ORIGINAL
7,6,0.0,0.8749999999999998,0.9646784562203947,ORIGINAL
7,8,0.0,0.8125,1.0,ORIGINAL
7,9,0.0,0.7302967433402214,1.0,ORIGINAL
7,10,0.0,-0.769800358919501,,ORIGINAL
8,0,0.0,,1.0,ORIGINAL
8,1,0.0,,1.0,ORIGINAL
8,2,0.0,0.8999999999999998,0.9633150259944552,ORIGINAL
8,3,0.0,0.8944271909999159,0.9478675140998328,ORIGINAL
8,4,0.0,0.8571428571428571,1.0,ORIGINAL
8,5,0.0,0.9464574146347642,1.0,ORIGINAL
8,6,0.0,0.8606629658238704,0.9646784562203947,ORIGINAL
8,7,0.0,0.8125,1.0,ORIGINAL
8,9,0.0,0.7302967433402214,1.0,ORIGINAL
8,10,0.0,-0.33333333333333337,,ORIGINAL
9,0,0.0,1.0000000000000002,1.0,ORIGINAL
9,1,0.0,0.9799578870122229,1.0,ORIGINAL
9,2,0.0,0.9525793444156805,0.9633150259944552,ORIGINAL
9,3,0.0,0.9090909090909091,0.9478675140998328,ORIGINAL
9,4,0.0,,1.0,ORIGINAL
9,5,0.0,0.8728715609439696,1.0,ORIGINAL
9,6,0.0,0.4743416490252569,0.9646784562203947,ORIGINAL
9,7,0.0,0.7302967433402214,1.0,ORIGINAL
9,8,0.0,0.7302967433402214,1.0,ORIGINAL
9,10,0.0,0.4082482904638631,,ORIGINAL
10,0,0.0,,,ORIGINAL
10,1,0.0,-0.16903085094570328,,ORIGINAL
10,2,0.0,-0.5773502691896257,,ORIGINAL
10,3,0.0,-0.4472135954999579,,ORIGINAL
10,4,0.0,-0.223606797749979,,ORIGINAL
10,5,0.0,-0.12309149097933275,,ORIGINAL
10,6,0.0,0.1336306209562122,,ORIGINAL
10,7,0.0,-0.769800358919501,,ORIGINAL
10,8,0.0,-0.33333333333333337,,ORIGINAL
10,9,0.0,0.4082482904638631,,ORIGINAL
11,0,0.0,0.1889822365046136,1.0,ORIGINAL
11,1,0.0,0.8660254037844387,1.0,ORIGINAL
11,2,0.0,-0.5773502691896257,0.9633150259944552,ORIGINAL
11,3,0.0,-0.13483997249264842,0.9478675140998328,ORIGINAL
11,4,0.0,,1.0,ORIGINAL
11,5,0.0,,1.0,ORIGINAL
11,6,0.0,,0.9646784562203947,ORIGINAL
11,7,0.0,,1.0,ORIGINAL
11,8,0.0,,1.0,ORIGINAL
11,9,0.0,-0.2357022603955158,1.0,ORIGINAL
12,0,0.0,,1.0,ORIGINAL
12,1,0.0,0.8801724588467041,1.0,ORIGINAL
12,2,0.0,0.917662935482247,0.9633150259944552,ORIGINAL
12,3,0.0,0.9096744465929526,0.9478675140998328,ORIGINAL
12,4,0.0,0.9190074972809804,1.0,ORIGINAL
12,5,0.0,0.9302605094190635,1.0,ORIGINAL
12,6,0.0,0.7576144084141581,0.9646784562203947,ORIGINAL
12,7,0.0,0.9434563530497265,1.0,ORIGINAL
12,8,0.0,0.9230769230769232,1.0,ORIGINAL
12,9,0.0,1.0000000000000002,1.0,ORIGINAL
13,0,0.0,0.9525793444156805,,ORIGINAL
13,1,0.0,1.0,,ORIGINAL
13,2,0.0,0.9197090092274486,,ORIGINAL
13,3,0.0,0.8553372034476997,,ORIGINAL
13,4,0.0,0.8398387664337815,,ORIGINAL
13,5,0.0,0.894427190999916,,ORIGINAL
13,6,0.0,0.5400617248673217,,ORIGINAL
13,7,0.0,0.9525793444156805,,ORIGINAL
13,8,0.0,0.9430419201928973,,ORIGINAL
13,9,0.0,0.8910421112136306,,ORIGINAL
14,0,0.0,0.944911182523068,0.9688240436981679,ORIGINAL
14,1,0.0,0.8486684247915056,0.9688240436981679,ORIGINAL
14,2,0.0,0.8189230248533257,0.9416600178977113,ORIGINAL
14,3,0.0,0.9276125895432155,0.9640273215868559,ORIGINAL
14,4,0.0,0.8488746876271654,0.9688240436981679,ORIGINAL
14,5,0.0,0.9296696802013682,0.9688240436981679,ORIGINAL
14,6,0.0,0.8902638145194514,0.9506001616253588,ORIGINAL
14,7,0.0,0.8976656233969146,0.9688240436981679,ORIGINAL
14,8,0.0,0.8736977528572243,0.9688240436981679,ORIGINAL
14,9,0.0,0.8892972917998876,0.9688240436981679,ORIGINAL
15,0,0.0,0.1889822365046136,1.0,ORIGINAL
15,1,0.0,0.8999999999999998,1.0,ORIGINAL
15,2,0.0,0.909154827298409,0.9633150259944552,ORIGINAL
15,3,0.0,0.9428713287054149,0.9478675140998328,ORIGINAL
15,4,0.0,0.9467292624062573,1.0,ORIGINAL
15,5,0.0,0.4045199174779452,1.0,ORIGINAL
15,6,0.0,0.6308932681440448,0.9646784562203947,ORIGINAL
15,7,0.0,0.9561828874675149,1.0,ORIGINAL
15,8,0.0,0.8775269089525567,1.0,ORIGINAL
15,9,0.0,0.48304589153964794,1.0,ORIGINAL
16,0,0.0,,0.9639813098116331,ORIGINAL
16,1,0.0,0.9999999999999999,0.9639813098116331,ORIGINAL
16,2,0.0,0.9999999999999998,0.9054516351274056,ORIGINAL
16,3,0.0,0.9534625892455924,0.8676103609921769,ORIGINAL
16,4,0.0,0.8333333333333335,0.9639813098116331,ORIGINAL
16,5,0.0,,0.9639813098116331,ORIGINAL
16,6,0.0,0.8728715609439696,0.9485264300328381,ORIGINAL
16,7,0.0,,0.9639813098116331,ORIGINAL
16,8,0.0,,0.9639813098116331,ORIGINAL
16,9,0.0,,0.9639813098116331,ORIGINAL
17,0,0.0,0.9428090415820635,1.0,ORIGINAL
17,1,0.0,0.9444444444444444,1.0,ORIGINAL
17,2,0.0,0.9103585242672971,0.9633150259944552,ORIGINAL
17,3,0.0,0.8671531082505228,0.9478675140998328,ORIGINAL
17,4,0.0,0.9463399022160672,1.0,ORIGINAL
17,5,0.0,0.9727963492069713,1.0,ORIGINAL
17,6,0.0,0.6736330697086078,0.9646784562203947,ORIGINAL
17,7,0.0,0.8875203139603666,1.0,ORIGINAL
17,8,0.0,0.9325048082403138,1.0,ORIGINAL
17,9,0.0,0.96,1.0,ORIGINAL
18,0,0.0,,0.9471904310983514,ORIGINAL
18,1,0.0,0.9561828874675149,0.9471904310983514,ORIGINAL
18,2,0.0,0.9258200997725516,0.9744499134770355,ORIGINAL
18,3,0.0,0.9636241116594315,0.9590620043917518,ORIGINAL
18,4,0.0,,0.9471904310983514,ORIGINAL
18,5,0.0,0.9486832980505138,0.9471904310983514,ORIGINAL
18,6,0.0,0.7717436331412897,0.9287918814548854,ORIGINAL
18,7,0.0,,0.9471904310983514,ORIGINAL
18,8,0.0,0.9428090415820635,0.9471904310983514,ORIGINAL
18,9,0.0,0.8888888888888888,0.9471904310983514,ORIGINAL
19,0,0.0,,1.0,ORIGINAL
19,1,0.0,,1.0,ORIGINAL
19,2,0.0,-1.0000000000000002,0.9633150259944552,ORIGINAL
19,3,0.0,-1.0000000000000002,0.9478675140998328,ORIGINAL
19,4,0.0,,1.0,ORIGINAL
19,5,0.0,,1.0,ORIGINAL
19,6,0.0,,0.9646784562203947,ORIGINAL
19,7,0.0,,1.0,ORIGINAL
19,8,0.0,,1.0,ORIGINAL
19,9,0.0,0.0,1.0,ORIGINAL
20,0,0.0,,1.0,ORIGINAL
20,1,0.0,,1.0,ORIGINAL
