matrix_index,biokorf_drug_id,graph_node_index,has_kg_connection
0,BIOKORF_DRUG_000,0,True
1,BIOKORF_DRUG_001,1,True
2,BIOKORF_DRUG_002,2,True
3,BIOKORF_DRUG_003,3,True
4,BIOKORF_DRUG_004,4,True
5,BIOKORF_DRUG_005,5,True
6,BIOKORF_DRUG_006,6,True
7,BIOKORF_DRUG_007,7,True
8,BIOKORF_DRUG_008,8,True
9,BIOKORF_DRUG_009,9,True
10,BIOKORF_DRUG_010,10,False
11,BIOKORF_DRUG_011,11,True
12,BIOKORF_DRUG_012,12,True
13,BIOKORF_DRUG_013,13,False
14,BIOKORF_DRUG_014,14,True
15,BIOKORF_DRUG_015,15,True
16,BIOKORF_DRUG_016,16,True
17,BIOKORF_DRUG_017,17,True
18,BIOKORF_DRUG_018,18,True
19,BIOKORF_DRUG_019,19,True
20,BIOKORF_DRUG_020,20,True
21,BIOKORF_DRUG_021,21,True
22,BIOKORF_DRUG_022,22,True
23,BIOKORF_DRUG_023,23,True
24,BIOKORF_DRUG_024,24,True
25,BIOKORF_DRUG_025,25,True
26,BIOKORF_DRUG_026,26,True
27,BIOKORF_DRUG_027,27,True
28,BIOKORF_DRUG_028,28,True
29,BIOKORF_DRUG_029,29,True
30,BIOKORF_DRUG_030,30,True
31,BIOKORF_DRUG_031,31,True
32,BIOKORF_DRUG_032,32,True
33,BIOKORF_DRUG_033,33,True
34,BIOKORF_DRUG_034,34,True
35,BIOKORF_DRUG_035,35,True
36,BIOKORF_DRUG_036,36,True
37,BIOKORF_DRUG_037,37,True
38,BIOKORF_DRUG_038,38,True
39,BIOKORF_DRUG_039,39,True
40,BIOKORF_DRUG_040,40,True
41,BIOKORF_DRUG_041,41,True
42,BIOKORF_DRUG_042,42,True
43,BIOKORF_DRUG_043,43,True
44,BIOKORF_DRUG_044,44,True
45,BIOKORF_DRUG_045,45,True
46,BIOKORF_DRUG_046,46,True
47,BIOKORF_DRUG_047,47,True
48,BIOKORF_DRUG_048,48,True
49,BIOKORF_DRUG_049,49,True
50,BIOKORF_DRUG_050,50,True
51,BIOKORF_DRUG_051,51,True
52,BIOKORF_DRUG_052,52,True
