node_index,node_id,node_type,name,source
0,BIOKORF_DRUG_000,BIOKORF_DRUG,lepirudin,BioKORF
1,BIOKORF_DRUG_001,BIOKORF_DRUG,bivalirudin,BioKORF
2,BIOKORF_DRUG_002,BIOKORF_DRUG,leuprorelin,BioKORF
3,BIOKORF_DRUG_003,BIOKORF_DRUG,goserelin,BioKORF
4,BIOKORF_DRUG_004,BIOKORF_DRUG,erythropoietin,BioKORF
5,BIOKORF_DRUG_005,BIOKORF_DRUG,insulin,BioKORF
6,BIOKORF_DRUG_006,BIOKORF_DRUG,desmopressin,BioKORF
7,BIOKORF_DRUG_007,BIOKORF_DRUG,insulin.lispro,BioKORF
8,BIOKORF_DRUG_008,BIOKORF_DRUG,insulin.glargine,BioKORF
9,BIOKORF_DRUG_009,BIOKORF_DRUG,rasburicase,BioKORF
10,BIOKORF_DRUG_010,BIOKORF_DRUG,albumin,BioKORF
11,BIOKORF_DRUG_011,BIOKORF_DRUG,eptifibatide,BioKORF
12,BIOKORF_DRUG_012,BIOKORF_DRUG,muromonab-CD3,BioKORF
13,BIOKORF_DRUG_013,BIOKORF_DRUG,daptomycin,BioKORF
14,BIOKORF_DRUG_014,BIOKORF_DRUG,ciclosporin,BioKORF
15,BIOKORF_DRUG_015,BIOKORF_DRUG,urofollitropin,BioKORF
16,BIOKORF_DRUG_016,BIOKORF_DRUG,octreotide,BioKORF
17,BIOKORF_DRUG_017,BIOKORF_DRUG,interferon.alfa-2b,BioKORF
18,BIOKORF_DRUG_018,BIOKORF_DRUG,abarelix,BioKORF
19,BIOKORF_DRUG_019,BIOKORF_DRUG,oxytocin,BioKORF
20,BIOKORF_DRUG_020,BIOKORF_DRUG,enfuvirtide,BioKORF
21,BIOKORF_DRUG_021,BIOKORF_DRUG,glutamine,BioKORF
22,BIOKORF_DRUG_022,BIOKORF_DRUG,calcitriol,BioKORF
23,BIOKORF_DRUG_023,BIOKORF_DRUG,pravastatin,BioKORF
24,BIOKORF_DRUG_024,BIOKORF_DRUG,fluvoxamine,BioKORF
25,BIOKORF_DRUG_025,BIOKORF_DRUG,valsartan,BioKORF
26,BIOKORF_DRUG_026,BIOKORF_DRUG,ramipril,BioKORF
27,BIOKORF_DRUG_027,BIOKORF_DRUG,flunisolide,BioKORF
28,BIOKORF_DRUG_028,BIOKORF_DRUG,baclofen,BioKORF
29,BIOKORF_DRUG_029,BIOKORF_DRUG,nicotine,BioKORF
30,BIOKORF_DRUG_030,BIOKORF_DRUG,cevimeline,BioKORF
31,BIOKORF_DRUG_031,BIOKORF_DRUG,lorazepam,BioKORF
32,BIOKORF_DRUG_032,BIOKORF_DRUG,esmolol,BioKORF
33,BIOKORF_DRUG_033,BIOKORF_DRUG,bortezomib,BioKORF
34,BIOKORF_DRUG_034,BIOKORF_DRUG,tramadol,BioKORF
35,BIOKORF_DRUG_035,BIOKORF_DRUG,betaxolol,BioKORF
36,BIOKORF_DRUG_036,BIOKORF_DRUG,fluconazole,BioKORF
37,BIOKORF_DRUG_037,BIOKORF_DRUG,oseltamivir,BioKORF
38,BIOKORF_DRUG_038,BIOKORF_DRUG,caffeine,BioKORF
39,BIOKORF_DRUG_039,BIOKORF_DRUG,sildenafil,BioKORF
40,BIOKORF_DRUG_040,BIOKORF_DRUG,dofetilide,BioKORF
41,BIOKORF_DRUG_041,BIOKORF_DRUG,azithromycin,BioKORF
42,BIOKORF_DRUG_042,BIOKORF_DRUG,trospium,BioKORF
43,BIOKORF_DRUG_043,BIOKORF_DRUG,adapalene,BioKORF
44,BIOKORF_DRUG_044,BIOKORF_DRUG,midodrine,BioKORF
45,BIOKORF_DRUG_045,BIOKORF_DRUG,pantoprazole,BioKORF
46,BIOKORF_DRUG_046,BIOKORF_DRUG,torasemide,BioKORF
47,BIOKORF_DRUG_047,BIOKORF_DRUG,citalopram,BioKORF
48,BIOKORF_DRUG_048,BIOKORF_DRUG,eletriptan,BioKORF
49,BIOKORF_DRUG_049,BIOKORF_DRUG,moxifloxacin,BioKORF
50,BIOKORF_DRUG_050,BIOKORF_DRUG,nelfinavir,BioKORF
51,BIOKORF_DRUG_051,BIOKORF_DRUG,glimepiride,BioKORF
52,BIOKORF_DRUG_052,BIOKORF_DRUG,indinavir,BioKORF
53,BIOKORF_DRUG_053,BIOKORF_DRUG,lovastatin,BioKORF
54,BIOKORF_DRUG_054,BIOKORF_DRUG,pregabalin,BioKORF
55,BIOKORF_DRUG_055,BIOKORF_DRUG,temazepam,BioKORF
56,BIOKORF_DRUG_056,BIOKORF_DRUG,reboxetine,BioKORF
57,BIOKORF_DRUG_057,BIOKORF_DRUG,nevirapine,BioKORF
58,BIOKORF_DRUG_058,BIOKORF_DRUG,cladribine,BioKORF
59,BIOKORF_DRUG_059,BIOKORF_DRUG,ranolazine,BioKORF
60,BIOKORF_DRUG_060,BIOKORF_DRUG,mesalazine,BioKORF
61,BIOKORF_DRUG_061,BIOKORF_DRUG,ziprasidone,BioKORF
62,BIOKORF_DRUG_062,BIOKORF_DRUG,cabergoline,BioKORF
63,BIOKORF_DRUG_063,BIOKORF_DRUG,dapsone,BioKORF
64,BIOKORF_DRUG_064,BIOKORF_DRUG,terconazole,BioKORF
65,BIOKORF_DRUG_065,BIOKORF_DRUG,phenytoin,BioKORF
66,BIOKORF_DRUG_066,BIOKORF_DRUG,doxycycline,BioKORF
67,BIOKORF_DRUG_067,BIOKORF_DRUG,anagrelide,BioKORF
68,BIOKORF_DRUG_068,BIOKORF_DRUG,carmustine,BioKORF
69,BIOKORF_DRUG_069,BIOKORF_DRUG,metoprolol,BioKORF
70,BIOKORF_DRUG_070,BIOKORF_DRUG,ropinirole,BioKORF
71,BIOKORF_DRUG_071,BIOKORF_DRUG,isradipine,BioKORF
72,BIOKORF_DRUG_072,BIOKORF_DRUG,topiramate,BioKORF
73,BIOKORF_DRUG_073,BIOKORF_DRUG,olmesartan.medoxomil,BioKORF
74,BIOKORF_DRUG_074,BIOKORF_DRUG,amsacrine,BioKORF
75,BIOKORF_DRUG_075,BIOKORF_DRUG,theophylline,BioKORF
76,BIOKORF_DRUG_076,BIOKORF_DRUG,argatroban,BioKORF
77,BIOKORF_DRUG_077,BIOKORF_DRUG,lidocaine,BioKORF
78,BIOKORF_DRUG_078,BIOKORF_DRUG,pamidronic.acid,BioKORF
79,BIOKORF_DRUG_079,BIOKORF_DRUG,venlafaxine,BioKORF
