relation_index,relation
0,ACTIVATOR
1,AGONIST
2,ANTAGONIST
3,ASSOCIATED_WITH
4,BLOCKER
5,CARRIER
6,ENZYME
7,INHIBITOR
8,INTERACTS_WITH
9,INVERSE_AGONIST
10,MAPS_TO_DRUG
11,MAPS_TO_PHENOTYPE
12,MODULATOR
13,NEGATIVE_ALLOSTERIC_MODULATOR
14,OPENER
15,PARTIAL_AGONIST
16,POSITIVE_ALLOSTERIC_MODULATOR
17,POSITIVE_MODULATOR
18,TARGET
19,TRANSPORTER
20,ACTIVATOR__INV
21,AGONIST__INV
22,ANTAGONIST__INV
23,ASSOCIATED_WITH__INV
24,BLOCKER__INV
25,CARRIER__INV
26,ENZYME__INV
27,INHIBITOR__INV
28,INTERACTS_WITH__INV
29,INVERSE_AGONIST__INV
30,MAPS_TO_DRUG__INV
31,MAPS_TO_PHENOTYPE__INV
32,MODULATOR__INV
33,NEGATIVE_ALLOSTERIC_MODULATOR__INV
34,OPENER__INV
35,PARTIAL_AGONIST__INV
36,POSITIVE_ALLOSTERIC_MODULATOR__INV
37,POSITIVE_MODULATOR__INV
38,TARGET__INV
39,TRANSPORTER__INV
