matrix_index,biokorf_side_id,graph_node_index,has_kg_connection
0,BIOKORF_SIDE_000,757,False
1,BIOKORF_SIDE_001,758,True
2,BIOKORF_SIDE_002,759,True
3,BIOKORF_SIDE_003,760,False
4,BIOKORF_SIDE_004,761,False
5,BIOKORF_SIDE_005,762,True
6,BIOKORF_SIDE_006,763,True
7,BIOKORF_SIDE_007,764,False
8,BIOKORF_SIDE_008,765,False
9,BIOKORF_SIDE_009,766,False
10,BIOKORF_SIDE_010,767,True
11,BIOKORF_SIDE_011,768,True
12,BIOKORF_SIDE_012,769,False
13,BIOKORF_SIDE_013,770,False
14,BIOKORF_SIDE_014,771,False
15,BIOKORF_SIDE_015,772,True
16,BIOKORF_SIDE_016,773,False
17,BIOKORF_SIDE_017,774,False
18,BIOKORF_SIDE_018,775,False
19,BIOKORF_SIDE_019,776,False
20,BIOKORF_SIDE_020,777,True
21,BIOKORF_SIDE_021,778,True
22,BIOKORF_SIDE_022,779,True
23,BIOKORF_SIDE_023,780,True
24,BIOKORF_SIDE_024,781,False
25,BIOKORF_SIDE_025,782,False
26,BIOKORF_SIDE_026,783,True
27,BIOKORF_SIDE_027,784,False
28,BIOKORF_SIDE_028,785,True
29,BIOKORF_SIDE_029,786,False
30,BIOKORF_SIDE_030,787,False
31,BIOKORF_SIDE_031,788,True
32,BIOKORF_SIDE_032,789,False
33,BIOKORF_SIDE_033,790,True
34,BIOKORF_SIDE_034,791,False
35,BIOKORF_SIDE_035,792,True
36,BIOKORF_SIDE_036,793,False
37,BIOKORF_SIDE_037,794,True
38,BIOKORF_SIDE_038,795,False
39,BIOKORF_SIDE_039,796,False
40,BIOKORF_SIDE_040,797,False
41,BIOKORF_SIDE_041,798,True
42,BIOKORF_SIDE_042,799,False
43,BIOKORF_SIDE_043,800,False
44,BIOKORF_SIDE_044,801,True
45,BIOKORF_SIDE_045,802,False
46,BIOKORF_SIDE_046,803,False
47,BIOKORF_SIDE_047,804,False
48,BIOKORF_SIDE_048,805,False
49,BIOKORF_SIDE_049,806,False
50,BIOKORF_SIDE_050,807,False
51,BIOKORF_SIDE_051,808,False
52,BIOKORF_SIDE_052,809,False
53,BIOKORF_SIDE_053,810,True
54,BIOKORF_SIDE_054,811,True
55,BIOKORF_SIDE_055,812,True
56,BIOKORF_SIDE_056,813,True
57,BIOKORF_SIDE_057,814,True
58,BIOKORF_SIDE_058,815,True
59,BIOKORF_SIDE_059,816,False
60,BIOKORF_SIDE_060,817,False
61,BIOKORF_SIDE_061,818,False
62,BIOKORF_SIDE_062,819,False
63,BIOKORF_SIDE_063,820,False
64,BIOKORF_SIDE_064,821,False
65,BIOKORF_SIDE_065,822,False
66,BIOKORF_SIDE_066,823,False
67,BIOKORF_SIDE_067,824,False
68,BIOKORF_SIDE_068,825,False
69,BIOKORF_SIDE_069,826,False
70,BIOKORF_SIDE_070,827,False
71,BIOKORF_SIDE_071,828,True
72,BIOKORF_SIDE_072,829,False
73,BIOKORF_SIDE_073,830,False
74,BIOKORF_SIDE_074,831,True
75,BIOKORF_SIDE_075,832,True
76,BIOKORF_SIDE_076,833,False
77,BIOKORF_SIDE_077,834,True
78,BIOKORF_SIDE_078,835,False
79,BIOKORF_SIDE_079,836,False
80,BIOKORF_SIDE_080,837,True
81,BIOKORF_SIDE_081,838,False
82,BIOKORF_SIDE_082,839,True
83,BIOKORF_SIDE_083,840,True
84,BIOKORF_SIDE_084,841,False
85,BIOKORF_SIDE_085,842,True
86,BIOKORF_SIDE_086,843,False
87,BIOKORF_SIDE_087,844,False
88,BIOKORF_SIDE_088,845,False
89,BIOKORF_SIDE_089,846,True
90,BIOKORF_SIDE_090,847,False
91,BIOKORF_SIDE_091,848,False
92,BIOKORF_SIDE_092,849,True
93,BIOKORF_SIDE_093,850,False
94,BIOKORF_SIDE_094,851,False
95,BIOKORF_SIDE_095,852,False
96,BIOKORF_SIDE_096,853,False
97,BIOKORF_SIDE_097,854,False
98,BIOKORF_SIDE_098,855,False
99,BIOKORF_SIDE_099,856,False
100,BIOKORF_SIDE_100,857,False
101,BIOKORF_SIDE_101,858,False
102,BIOKORF_SIDE_102,859,False
103,BIOKORF_SIDE_103,860,True
104,BIOKORF_SIDE_104,861,False
105,BIOKORF_SIDE_105,862,False
106,BIOKORF_SIDE_106,863,True
107,BIOKORF_SIDE_107,864,False
108,BIOKORF_SIDE_108,865,False
109,BIOKORF_SIDE_109,866,False
110,BIOKORF_SIDE_110,867,True
111,BIOKORF_SIDE_111,868,False
112,BIOKORF_SIDE_112,869,False
113,BIOKORF_SIDE_113,870,False
114,BIOKORF_SIDE_114,871,False
115,BIOKORF_SIDE_115,872,True
116,BIOKORF_SIDE_116,873,False
117,BIOKORF_SIDE_117,874,False
118,BIOKORF_SIDE_118,875,False
119,BIOKORF_SIDE_119,876,False
120,BIOKORF_SIDE_120,877,False
121,BIOKORF_SIDE_121,878,False
122,BIOKORF_SIDE_122,879,True
123,BIOKORF_SIDE_123,880,False
124,BIOKORF_SIDE_124,881,False
125,BIOKORF_SIDE_125,882,True
126,BIOKORF_SIDE_126,883,False
127,BIOKORF_SIDE_127,884,False
128,BIOKORF_SIDE_128,885,True
129,BIOKORF_SIDE_129,886,True
130,BIOKORF_SIDE_130,887,False
131,BIOKORF_SIDE_131,888,True
132,BIOKORF_SIDE_132,889,True
133,BIOKORF_SIDE_133,890,False
134,BIOKORF_SIDE_134,891,False
135,BIOKORF_SIDE_135,892,False
136,BIOKORF_SIDE_136,893,False
137,BIOKORF_SIDE_137,894,False
138,BIOKORF_SIDE_138,895,False
139,BIOKORF_SIDE_139,896,True
140,BIOKORF_SIDE_140,897,False
141,BIOKORF_SIDE_141,898,False
142,BIOKORF_SIDE_142,899,False
143,BIOKORF_SIDE_143,900,False
144,BIOKORF_SIDE_144,901,False
145,BIOKORF_SIDE_145,902,False
146,BIOKORF_SIDE_146,903,False
147,BIOKORF_SIDE_147,904,True
148,BIOKORF_SIDE_148,905,False
149,BIOKORF_SIDE_149,906,False
150,BIOKORF_SIDE_150,907,False
151,BIOKORF_SIDE_151,908,False
152,BIOKORF_SIDE_152,909,False
153,BIOKORF_SIDE_153,910,True
154,BIOKORF_SIDE_154,911,False
155,BIOKORF_SIDE_155,912,False
156,BIOKORF_SIDE_156,913,True
157,BIOKORF_SIDE_157,914,True
158,BIOKORF_SIDE_158,915,True
159,BIOKORF_SIDE_159,916,False
160,BIOKORF_SIDE_160,917,True
161,BIOKORF_SIDE_161,918,False
162,BIOKORF_SIDE_162,919,False
163,BIOKORF_SIDE_163,920,False
164,BIOKORF_SIDE_164,921,False
165,BIOKORF_SIDE_165,922,True
166,BIOKORF_SIDE_166,923,False
167,BIOKORF_SIDE_167,924,True
168,BIOKORF_SIDE_168,925,False
169,BIOKORF_SIDE_169,926,True
170,BIOKORF_SIDE_170,927,False
171,BIOKORF_SIDE_171,928,False
172,BIOKORF_SIDE_172,929,True
173,BIOKORF_SIDE_173,930,True
174,BIOKORF_SIDE_174,931,True
175,BIOKORF_SIDE_175,932,False
176,BIOKORF_SIDE_176,933,False
177,BIOKORF_SIDE_177,934,False
178,BIOKORF_SIDE_178,935,True
179,BIOKORF_SIDE_179,936,False
180,BIOKORF_SIDE_180,937,True
181,BIOKORF_SIDE_181,938,True
182,BIOKORF_SIDE_182,939,True
183,BIOKORF_SIDE_183,940,False
184,BIOKORF_SIDE_184,941,True
185,BIOKORF_SIDE_185,942,False
186,BIOKORF_SIDE_186,943,False
187,BIOKORF_SIDE_187,944,False
188,BIOKORF_SIDE_188,945,False
189,BIOKORF_SIDE_189,946,False
190,BIOKORF_SIDE_190,947,True
191,BIOKORF_SIDE_191,948,False
192,BIOKORF_SIDE_192,949,False
193,BIOKORF_SIDE_193,950,True
194,BIOKORF_SIDE_194,951,False
195,BIOKORF_SIDE_195,952,False
196,BIOKORF_SIDE_196,953,True
197,BIOKORF_SIDE_197,954,False
198,BIOKORF_SIDE_198,955,True
199,BIOKORF_SIDE_199,956,False
200,BIOKORF_SIDE_200,957,True
201,BIOKORF_SIDE_201,958,False
202,BIOKORF_SIDE_202,959,False
203,BIOKORF_SIDE_203,960,False
204,BIOKORF_SIDE_204,961,True
205,BIOKORF_SIDE_205,962,False
206,BIOKORF_SIDE_206,963,False
207,BIOKORF_SIDE_207,964,True
208,BIOKORF_SIDE_208,965,True
209,BIOKORF_SIDE_209,966,False
210,BIOKORF_SIDE_210,967,False
211,BIOKORF_SIDE_211,968,False
212,BIOKORF_SIDE_212,969,False
213,BIOKORF_SIDE_213,970,True
214,BIOKORF_SIDE_214,971,False
215,BIOKORF_SIDE_215,972,True
216,BIOKORF_SIDE_216,973,False
217,BIOKORF_SIDE_217,974,False
218,BIOKORF_SIDE_218,975,False
219,BIOKORF_SIDE_219,976,False
220,BIOKORF_SIDE_220,977,False
221,BIOKORF_SIDE_221,978,False
222,BIOKORF_SIDE_222,979,False
223,BIOKORF_SIDE_223,980,False
224,BIOKORF_SIDE_224,981,True
225,BIOKORF_SIDE_225,982,True
226,BIOKORF_SIDE_226,983,True
227,BIOKORF_SIDE_227,984,True
228,BIOKORF_SIDE_228,985,True
229,BIOKORF_SIDE_229,986,True
230,BIOKORF_SIDE_230,987,True
231,BIOKORF_SIDE_231,988,False
232,BIOKORF_SIDE_232,989,False
233,BIOKORF_SIDE_233,990,False
234,BIOKORF_SIDE_234,991,True
235,BIOKORF_SIDE_235,992,False
236,BIOKORF_SIDE_236,993,True
237,BIOKORF_SIDE_237,994,False
238,BIOKORF_SIDE_238,995,False
239,BIOKORF_SIDE_239,996,False
240,BIOKORF_SIDE_240,997,False
241,BIOKORF_SIDE_241,998,False
242,BIOKORF_SIDE_242,999,True
243,BIOKORF_SIDE_243,1000,True
244,BIOKORF_SIDE_244,1001,False
245,BIOKORF_SIDE_245,1002,True
246,BIOKORF_SIDE_246,1003,False
247,BIOKORF_SIDE_247,1004,False
248,BIOKORF_SIDE_248,1005,True
249,BIOKORF_SIDE_249,1006,False
250,BIOKORF_SIDE_250,1007,False
251,BIOKORF_SIDE_251,1008,False
252,BIOKORF_SIDE_252,1009,True
253,BIOKORF_SIDE_253,1010,False
254,BIOKORF_SIDE_254,1011,False
255,BIOKORF_SIDE_255,1012,False
256,BIOKORF_SIDE_256,1013,False
257,BIOKORF_SIDE_257,1014,False
258,BIOKORF_SIDE_258,1015,True
259,BIOKORF_SIDE_259,1016,True
260,BIOKORF_SIDE_260,1017,False
261,BIOKORF_SIDE_261,1018,False
262,BIOKORF_SIDE_262,1019,False
263,BIOKORF_SIDE_263,1020,True
264,BIOKORF_SIDE_264,1021,True
265,BIOKORF_SIDE_265,1022,False
266,BIOKORF_SIDE_266,1023,True
267,BIOKORF_SIDE_267,1024,False
268,BIOKORF_SIDE_268,1025,True
269,BIOKORF_SIDE_269,1026,True
270,BIOKORF_SIDE_270,1027,True
271,BIOKORF_SIDE_271,1028,False
272,BIOKORF_SIDE_272,1029,False
273,BIOKORF_SIDE_273,1030,False
274,BIOKORF_SIDE_274,1031,False
275,BIOKORF_SIDE_275,1032,False
276,BIOKORF_SIDE_276,1033,False
277,BIOKORF_SIDE_277,1034,False
278,BIOKORF_SIDE_278,1035,True
279,BIOKORF_SIDE_279,1036,False
280,BIOKORF_SIDE_280,1037,True
281,BIOKORF_SIDE_281,1038,False
282,BIOKORF_SIDE_282,1039,False
283,BIOKORF_SIDE_283,1040,False
284,BIOKORF_SIDE_284,1041,True
285,BIOKORF_SIDE_285,1042,True
286,BIOKORF_SIDE_286,1043,False
287,BIOKORF_SIDE_287,1044,True
288,BIOKORF_SIDE_288,1045,False
289,BIOKORF_SIDE_289,1046,False
290,BIOKORF_SIDE_290,1047,False
291,BIOKORF_SIDE_291,1048,False
292,BIOKORF_SIDE_292,1049,False
293,BIOKORF_SIDE_293,1050,True
294,BIOKORF_SIDE_294,1051,True
295,BIOKORF_SIDE_295,1052,False
296,BIOKORF_SIDE_296,1053,False
297,BIOKORF_SIDE_297,1054,False
298,BIOKORF_SIDE_298,1055,False
299,BIOKORF_SIDE_299,1056,False
300,BIOKORF_SIDE_300,1057,True
301,BIOKORF_SIDE_301,1058,True
302,BIOKORF_SIDE_302,1059,False
303,BIOKORF_SIDE_303,1060,True
304,BIOKORF_SIDE_304,1061,True
305,BIOKORF_SIDE_305,1062,False
306,BIOKORF_SIDE_306,1063,True
307,BIOKORF_SIDE_307,1064,True
308,BIOKORF_SIDE_308,1065,True
