matrix_index,side_effect_name,sider_found,sider_pt_row_count,umls_cui_count,umls_cuis,matched_meddra_names,mapping_status
0,abdominal discomfort,True,265,1,"[""C0232487""]","[""Abdominal discomfort""]",unique_umls
1,abdominal distension,True,267,1,"[""C0000731""]","[""Abdominal distension""]",unique_umls
2,abdominal pain,True,2033,1,"[""C0000737""]","[""Abdominal pain""]",unique_umls
3,abdominal pain lower,True,14,1,"[""C0232495""]","[""Abdominal pain lower""]",unique_umls
4,abdominal pain upper,True,289,1,"[""C0232492""]","[""Abdominal pain upper""]",unique_umls
5,abnormal behaviour,True,34,1,"[""C0233514""]","[""Abnormal behaviour""]",unique_umls
6,abnormal dreams,True,175,1,"[""C0234458""]","[""Abnormal dreams""]",unique_umls
7,abnormal faeces,True,15,1,"[""C0162287""]","[""Abnormal faeces""]",unique_umls
8,abscess,True,50,1,"[""C0000833""]","[""Abscess""]",unique_umls
9,accommodation disorder,True,50,1,"[""C0152198""]","[""Accommodation disorder""]",unique_umls
10,acidosis,True,28,1,"[""C0001122""]","[""Acidosis""]",unique_umls
11,acne,True,234,1,"[""C0702166""]","[""Acne""]",unique_umls
12,actinic keratosis,True,17,1,"[""C0022602""]","[""Actinic keratosis""]",unique_umls
13,acute coronary syndrome,True,185,1,"[""C0948089""]","[""Acute coronary syndrome""]",unique_umls
14,acute myocardial infarction,True,13,1,"[""C0155626""]","[""Acute myocardial infarction""]",unique_umls
15,acute respiratory distress syndrome,True,25,1,"[""C0035222""]","[""Acute respiratory distress syndrome""]",unique_umls
16,adrenal insufficiency,True,15,1,"[""C0001623""]","[""Adrenal insufficiency""]",unique_umls
17,affect lability,True,243,1,"[""C0233472""]","[""Affect lability""]",unique_umls
18,affective disorder,True,9,1,"[""C0525045""]","[""Affective disorder""]",unique_umls
19,loss of taste,False,0,0,[],[],unmatched
20,aggression,True,161,1,"[""C0001807""]","[""Aggression""]",unique_umls
21,agitation,True,610,1,"[""C0085631""]","[""Agitation""]",unique_umls
22,agranulocytosis,True,190,1,"[""C0001824""]","[""Agranulocytosis""]",unique_umls
23,akathisia,True,198,1,"[""C0392156""]","[""Akathisia""]",unique_umls
24,can not exercise,False,0,0,[],[],unmatched
25,alanine aminotransferase increased,True,387,1,"[""C0151905""]","[""Alanine aminotransferase increased""]",unique_umls
26,proteinuria,True,102,1,"[""C0033687""]","[""Proteinuria""]",unique_umls
27,alcohol intolerance,True,27,1,"[""C0151474""]","[""Alcohol intolerance""]",unique_umls
28,alopecia,True,603,1,"[""C0002170""]","[""Alopecia""]",unique_umls
29,altered state of consciousness,True,39,1,"[""C0150450""]","[""Altered state of consciousness""]",unique_umls
