matrix_index,drug_name,stitch_id,stitch_found,stitch_row_count,distinct_inchikey_count,inchikeys
0,lepirudin,CIDm16132441,true,3,3,"[""OTQCKZUSUGYWBD-BRHMIFOHSA-N"",""OTQCKZUSUGYWBD-MLVDHBCPSA-N"",""OTQCKZUSUGYWBD-UHFFFAOYSA-N""]"
1,bivalirudin,CIDm16129704,true,10,9,"[""ODCZNMGPBWFNPG-HKRGSHRKSA-N"",""OIRCOABEOLEUMC-DRWUPLGZSA-N"",""OIRCOABEOLEUMC-GEJPAHFPSA-N"",""OIRCOABEOLEUMC-NUDLHGAQSA-N"",""OIRCOABEOLEUMC-UHFFFAOYSA-N"",""VUOIXNHGPJMENF-HKRGSHRKSA-N"",""ZXZYMGVTLNJMKP-GRDNZSJBSA-N"",""ZXZYMGVTLNJMKP-HUJDAMTASA-N"",""ZXZYMGVTLNJMKP-VWLBKGQPSA-N""]"
2,leuprorelin,CIDm00657180,false,0,0,[]
3,goserelin,CIDm00047725,true,20,20,"[""BLCLNMBMMGCOAS-DJGWEWOFSA-N"",""BLCLNMBMMGCOAS-HZLKSCACSA-N"",""BLCLNMBMMGCOAS-JFBCNRKLSA-N"",""BLCLNMBMMGCOAS-KJLMDEBVSA-N"",""BLCLNMBMMGCOAS-MGJZZOJLSA-N"",""BLCLNMBMMGCOAS-ORFGIKFDSA-N"",""BLCLNMBMMGCOAS-PECHQNLHSA-N"",""BLCLNMBMMGCOAS-SROCWPMZSA-N"",""BLCLNMBMMGCOAS-UHFFFAOYSA-N"",""BLCLNMBMMGCOAS-URPVMXJPSA-N"",""BLCLNMBMMGCOAS-ZTJHFXJKSA-N"",""CSABIHHKODJPHU-LZPGHKBSSA-N"",""IKDXDQDKCZPQSZ-GYAAJWHGSA-N"",""IKDXDQDKCZPQSZ-JHYYTBFNSA-N"",""IKDXDQDKCZPQSZ-UHFFFAOYSA-N"",""NUEXQYWPWOQNJP-XFNSFMPMSA-N"",""OKBWUJUWXHIXKX-NDYXFOJLSA-N"",""OREKUPVDIUOJPH-JHYYTBFNSA-N"",""WTUCIDSZXKBEMH-JHYYTBFNSA-N"",""YSPNWYOKDRFPGE-JHYYTBFNSA-N""]"
4,erythropoietin,CIDm05288169,false,0,0,[]
5,insulin,CIDm16129672,true,3,3,"[""PBGKTOXHQIOBKM-FHFVDXKLSA-N"",""PBGKTOXHQIOBKM-UHFFFAOYSA-N"",""PBGKTOXHQIOBKM-ZEKLRAMDSA-N""]"
6,desmopressin,CIDm05311065,false,0,0,[]
7,insulin.lispro,CIDm16132438,true,2,2,"[""WNRQPCUGRUFHED-DETKDSODSA-N"",""WNRQPCUGRUFHED-UHFFFAOYSA-N""]"
8,insulin.glargine,CIDm44146714,true,1,1,"[""COCFEDIXXNGUNL-RFKWWTKHSA-N""]"
9,rasburicase,CIDm00474409,false,0,0,[]
10,albumin,CIDm00006432,true,9,9,"[""BMQXYFXGIDWWHO-UHFFFAOYSA-N"",""FSUGBCUTECFUIL-UHFFFAOYSA-N"",""IHZTYHJJYLFHCT-UHFFFAOYSA-N"",""LUGGMSBJBZXVAI-UHFFFAOYSA-N"",""QPBNRJVZECKWFN-UHFFFAOYSA-N"",""QYSGYZVSCZSLHT-UHFFFAOYSA-N"",""UCIIAIKRCWSSTI-UHFFFAOYSA-N"",""VMPOVMQCRBRLSW-UHFFFAOYSA-N"",""YGAGCVJOBZLBPX-UHFFFAOYSA-N""]"
11,eptifibatide,CIDm00448812,false,0,0,[]
12,muromonab-CD3,CIDm00083030,true,2,2,"[""XEABSBMNTNXEJM-SVYQBANQSA-N"",""XEABSBMNTNXEJM-UHFFFAOYSA-N""]"
13,daptomycin,CIDm16129688,false,0,0,[]
14,ciclosporin,CIDm05280754,false,0,0,[]
15,urofollitropin,CIDm00062819,true,5,5,"[""ZDRRIRUAESZNIH-BZGUUIOASA-N"",""ZDRRIRUAESZNIH-JLSAMJFVSA-N"",""ZDRRIRUAESZNIH-JMQWJMGLSA-N"",""ZDRRIRUAESZNIH-MABNJPPRSA-N"",""ZDRRIRUAESZNIH-UHFFFAOYSA-N""]"
16,octreotide,CIDm00054373,true,46,46,"[""DEQANNDTNATYII-AKVJGJLCSA-N"",""DEQANNDTNATYII-ARUCMXJWSA-N"",""DEQANNDTNATYII-BEYFZLGRSA-N"",""DEQANNDTNATYII-CSKZMRSYSA-N"",""DEQANNDTNATYII-DOPLMGILSA-N"",""DEQANNDTNATYII-FLDZURHUSA-N"",""DEQANNDTNATYII-FNYLAMALSA-N"",""DEQANNDTNATYII-FTUOLLEPSA-N"",""DEQANNDTNATYII-HZFLURHHSA-N"",""DEQANNDTNATYII-ICERQSRISA-N"",""DEQANNDTNATYII-JKTLOQFUSA-N"",""DEQANNDTNATYII-LIXSYSMXSA-N"",""DEQANNDTNATYII-LOJUUDGMSA-N"",""DEQANNDTNATYII-LXEKNNCLSA-N"",""DEQANNDTNATYII-MEUDYGGUSA-N"",""DEQANNDTNATYII-MZFHSMTFSA-N"",""DEQANNDTNATYII-OHLRFWSJSA-N"",""DEQANNDTNATYII-OLNBODJMSA-N"",""DEQANNDTNATYII-OULOTJBUSA-N"",""DEQANNDTNATYII-QLSCGDLTSA-N"",""DEQANNDTNATYII-RCJRENAASA-N"",""DEQANNDTNATYII-RRCPSWKPSA-N"",""DEQANNDTNATYII-SPDVJMJXSA-N"",""DEQANNDTNATYII-UHFFFAOYSA-N"",""DEQANNDTNATYII-XLCLKWOUSA-N"",""DEQANNDTNATYII-XOEBDJBESA-N"",""FBOARTYSFFNVOP-LBFRXEHMSA-N"",""MKNNOKGPGMXZPN-CHUHVDBGSA-N"",""MKNNOKGPGMXZPN-XJQYZYIXSA-M"",""NCLPZSUUTYSMDO-CHUHVDBGSA-N"",""NKLCAUZKHGFFEM-CHUHVDBGSA-N"",""NKLCAUZKHGFFEM-UHFFFAOYSA-N"",""NKLCAUZKHGFFEM-XJQYZYIXSA-N"",""PPJMKGDKFBCNIY-LODIGNQBSA-N"",""QWFYIFWTVZFPRY-AARKYNAGSA-N"",""QWFYIFWTVZFPRY-UHFFFAOYSA-N"",""RURURIRXHUZTFO-TVGFDVJGSA-N"",""SAIXTCGRRSWFSR-OQSRDHNESA-N"",""VWAORGBJWLHXPP-CHUHVDBGSA-N"",""XQEJFZYLWPSJOV-CHUHVDBGSA-N"",""XQEJFZYLWPSJOV-IYXUFKBMSA-N"",""XQEJFZYLWPSJOV-JCFJRQNGSA-N"",""XQEJFZYLWPSJOV-UHFFFAOYSA-N"",""XQEJFZYLWPSJOV-XJQYZYIXSA-N"",""XURTXWMMHSCREN-CHUHVDBGSA-N"",""YQVBKJDLUNZOBN-NUDPZNSDSA-N""]"
17,interferon.alfa-2b,CIDm71306834,true,1,1,"[""MIXCUJKCXRNYFM-UHFFFAOYSA-M""]"
18,abarelix,CIDm16131215,true,5,5,"[""AIWRTTMUVOZGPW-HSPKUQOVSA-M"",""AIWRTTMUVOZGPW-HSPKUQOVSA-N"",""AIWRTTMUVOZGPW-QMCYWFTESA-N"",""AIWRTTMUVOZGPW-UHFFFAOYSA-N"",""ZRHCGBCCWJPSQF-JOOIWXSYSA-N""]"
19,oxytocin,CIDm00005771,true,21,21,"[""BDIPMBUQNJVHBP-FOSDNZTISA-N"",""BVNZZOQHXXRKBW-BXUJZNQYSA-N"",""DSZOEVVLZMNAEH-BXUJZNQYSA-M"",""DSZOEVVLZMNAEH-BXUJZNQYSA-N"",""DSZOEVVLZMNAEH-UHFFFAOYSA-N"",""HCWNGYCIMQIGKC-BXUJZNQYSA-N"",""QZJYMIIINKIDDD-KTTFTLAJSA-N"",""XNOPRXBHLZRZKH-ALSSAEDCSA-N"",""XNOPRXBHLZRZKH-DSZYJQQASA-N"",""XNOPRXBHLZRZKH-FSBMSDMJSA-N"",""XNOPRXBHLZRZKH-LMXNSBJCSA-N"",""XNOPRXBHLZRZKH-LRXIPZAASA-N"",""XNOPRXBHLZRZKH-MQYCRUOZSA-N"",""XNOPRXBHLZRZKH-NCGUPTDASA-N"",""XNOPRXBHLZRZKH-NKZLJGITSA-N"",""XNOPRXBHLZRZKH-NSVOTPESSA-N"",""XNOPRXBHLZRZKH-NYRULBFNSA-N"",""XNOPRXBHLZRZKH-OMTOYRQASA-N"",""XNOPRXBHLZRZKH-UHFFFAOYSA-N"",""XNOPRXBHLZRZKH-UHFFFAOYSA-O"",""XNOPRXBHLZRZKH-ZDAAMKFLSA-N""]"
20,enfuvirtide,CIDm16130199,true,5,3,"[""PEASPLKKXBYDKL-DPNMZOKDSA-N"",""PEASPLKKXBYDKL-FXEVSJAOSA-N"",""PEASPLKKXBYDKL-UHFFFAOYSA-N""]"
21,glutamine,CIDm00005961,false,0,0,[]
22,calcitriol,CIDm05280453,false,0,0,[]
23,pravastatin,CIDm00054687,false,0,0,[]
24,fluvoxamine,CIDm05324345,false,0,0,[]
25,valsartan,CIDm00060846,false,0,0,[]
26,ramipril,CIDm05362129,false,0,0,[]
27,flunisolide,CIDm00082153,false,0,0,[]
28,baclofen,CIDm00002284,true,24,15,"[""FDAMOGOIGDCOSC-RMTNWKGQSA-N"",""FDAMOGOIGDCOSC-UHFFFAOYSA-N"",""KPYSYYIEGFHWSV-MRVPVSSYSA-N"",""KPYSYYIEGFHWSV-NCTJRARUSA-N"",""KPYSYYIEGFHWSV-PNOFGXGTSA-N"",""KPYSYYIEGFHWSV-QMMMGPOBSA-N"",""KPYSYYIEGFHWSV-RHQRLBAQSA-N"",""KPYSYYIEGFHWSV-UHFFFAOYSA-N"",""KPYSYYIEGFHWSV-UHFFFAOYSA-O"",""WMNUVYYLMCMHLU-DDWIOCJRSA-N"",""WMNUVYYLMCMHLU-QRPNPIFTSA-N"",""WMNUVYYLMCMHLU-UHFFFAOYSA-L"",""WMNUVYYLMCMHLU-UHFFFAOYSA-M"",""WMNUVYYLMCMHLU-UHFFFAOYSA-N"",""WMNUVYYLMCMHLU-YVDVYQGBSA-N""]"
29,nicotine,CIDm00089594,false,0,0,[]
30,cevimeline,CIDm00083898,false,0,0,[]
31,lorazepam,CIDm00003958,true,13,13,"[""DIWRORZWFLOCLC-HNNXBMFYSA-N"",""DIWRORZWFLOCLC-HPOREKOESA-N"",""DIWRORZWFLOCLC-OAHLLOKOSA-N"",""DIWRORZWFLOCLC-PAIDGIBJSA-N"",""DIWRORZWFLOCLC-UHFFFAOYSA-N"",""DIWRORZWFLOCLC-XPGGNPKHSA-N"",""HEUJYEHZRXZIKV-UHFFFAOYSA-N"",""NFFRTOFRCRGYSB-UHFFFAOYSA-N"",""NFFRTOFRCRGYSB-ZWZQDMJTSA-N"",""UGXWLMHGLCXBNX-UHFFFAOYSA-N"",""VUVOCIHYQVKCSS-UHFFFAOYSA-N"",""YNVAMULIAAIHNX-UHFFFAOYSA-M"",""YNVAMULIAAIHNX-UHFFFAOYSA-N""]"
32,esmolol,CIDm00059768,true,17,15,"[""AQNDDEOPVVGCPG-AWEZNQCLSA-N"",""AQNDDEOPVVGCPG-AWEZNQCLSA-O"",""AQNDDEOPVVGCPG-CQSZACIVSA-N"",""AQNDDEOPVVGCPG-CQSZACIVSA-O"",""AQNDDEOPVVGCPG-QLWPOVNFSA-N"",""AQNDDEOPVVGCPG-UHFFFAOYSA-N"",""AQNDDEOPVVGCPG-UHFFFAOYSA-O"",""GEKNCWBANDDJJL-ODLOEXKQSA-N"",""GEKNCWBANDDJJL-PFEQFJNWSA-N"",""GEKNCWBANDDJJL-UHFFFAOYSA-M"",""GEKNCWBANDDJJL-UHFFFAOYSA-N"",""GEKNCWBANDDJJL-UQKRIMTDSA-N"",""MAFZUZHDIARAEF-IKFJUQJOSA-N"",""MAFZUZHDIARAEF-UHFFFAOYSA-N"",""WAIZMRFWSLICRB-UHFFFAOYSA-N""]"
33,bortezomib,CIDm00387447,false,0,0,[]
34,tramadol,CIDm00033741,false,0,0,[]
35,betaxolol,CIDm00002369,true,118,113,"[""BLSNQXDIJQNXCR-LMOVPXPDSA-N"",""BLSNQXDIJQNXCR-QAOGLABXSA-N"",""BLSNQXDIJQNXCR-UHFFFAOYSA-N"",""CHDPSNLJFOQTRK-LMOVPXPDSA-N"",""CHDPSNLJFOQTRK-UHFFFAOYSA-M"",""CHDPSNLJFOQTRK-UHFFFAOYSA-N"",""CHDPSNLJFOQTRK-UNTBIKODSA-N"",""NWIUTZDMDHAVTP-AERBMCQLSA-N"",""NWIUTZDMDHAVTP-AFRQPEDFSA-N"",""NWIUTZDMDHAVTP-AFZKNKOBSA-N"",""NWIUTZDMDHAVTP-AREBVXNXSA-N"",""NWIUTZDMDHAVTP-AUFRRAJCSA-N"",""NWIUTZDMDHAVTP-BBYDJWMLSA-N"",""NWIUTZDMDHAVTP-BDSGZZASSA-N"",""NWIUTZDMDHAVTP-BFJGGGNWSA-N"",""NWIUTZDMDHAVTP-BGGLCZJLSA-N"",""NWIUTZDMDHAVTP-BIUACYJGSA-N"",""NWIUTZDMDHAVTP-BKJPIAKSSA-N"",""NWIUTZDMDHAVTP-BQOJEJJESA-N"",""NWIUTZDMDHAVTP-BZEZVULYSA-N"",""NWIUTZDMDHAVTP-CNMKXMACSA-N"",""NWIUTZDMDHAVTP-CWOOQBFLSA-N"",""NWIUTZDMDHAVTP-DAIBCJOCSA-N"",""NWIUTZDMDHAVTP-DMAZPXFMSA-N"",""NWIUTZDMDHAVTP-DMRDVTRSSA-N"",""NWIUTZDMDHAVTP-DQEWMGNPSA-N"",""NWIUTZDMDHAVTP-DQUNBGSISA-N"",""NWIUTZDMDHAVTP-DYZGOTITSA-N"",""NWIUTZDMDHAVTP-FFNOJTKMSA-N"",""NWIUTZDMDHAVTP-FGRCIKPOSA-N"",""NWIUTZDMDHAVTP-FIBRNZHASA-N"",""NWIUTZDMDHAVTP-FKKOOEBTSA-N"",""NWIUTZDMDHAVTP-FSSQTFJPSA-N"",""NWIUTZDMDHAVTP-GBOGQZBESA-N"",""NWIUTZDMDHAVTP-GNOCWPTGSA-N"",""NWIUTZDMDHAVTP-GPZLJLHVSA-N"",""NWIUTZDMDHAVTP-HFJLYIQRSA-N"",""NWIUTZDMDHAVTP-HHZWPILISA-N"",""NWIUTZDMDHAVTP-HSNISVEUSA-N"",""NWIUTZDMDHAVTP-HTAKTXLESA-N"",""NWIUTZDMDHAVTP-HYDSYDFZSA-N"",""NWIUTZDMDHAVTP-HZKPJZFLSA-N"",""NWIUTZDMDHAVTP-IBXHKFLESA-N"",""NWIUTZDMDHAVTP-IQSXBSIUSA-N"",""NWIUTZDMDHAVTP-IXNCPJLDSA-N"",""NWIUTZDMDHAVTP-JAYQVURESA-N"",""NWIUTZDMDHAVTP-JCENQHNSSA-N"",""NWIUTZDMDHAVTP-JFSZAUAZSA-N"",""NWIUTZDMDHAVTP-KDWZCNHSSA-N"",""NWIUTZDMDHAVTP-KRWDZBQOSA-N"",""NWIUTZDMDHAVTP-KRWDZBQOSA-O"",""NWIUTZDMDHAVTP-LVMGIWRJSA-N"",""NWIUTZDMDHAVTP-MIAXEKSESA-N"",""NWIUTZDMDHAVTP-MKSFCRFPSA-N"",""NWIUTZDMDHAVTP-MPULRIPLSA-N"",""NWIUTZDMDHAVTP-MVNNPISKSA-N"",""NWIUTZDMDHAVTP-MWHUMKIYSA-N"",""NWIUTZDMDHAVTP-MYIKMOGXSA-N"",""NWIUTZDMDHAVTP-NBCJWQKLSA-N"",""NWIUTZDMDHAVTP-NCPKRYFUSA-N"",""NWIUTZDMDHAVTP-NLRZUTFJSA-N"",""NWIUTZDMDHAVTP-NNJNMCFJSA-N"",""NWIUTZDMDHAVTP-NQHZUJETSA-N"",""NWIUTZDMDHAVTP-NRUKVLRFSA-N"",""NWIUTZDMDHAVTP-OCILWFSUSA-N"",""NWIUTZDMDHAVTP-ODLSPQNFSA-N"",""NWIUTZDMDHAVTP-ODZXVIGBSA-N"",""NWIUTZDMDHAVTP-PMCMNDOISA-N"",""NWIUTZDMDHAVTP-PUDNOFMGSA-N"",""NWIUTZDMDHAVTP-PWGQGUQVSA-N"",""NWIUTZDMDHAVTP-QCIOTSFESA-N"",""NWIUTZDMDHAVTP-QGZVFWFLSA-N"",""NWIUTZDMDHAVTP-QGZVFWFLSA-O"",""NWIUTZDMDHAVTP-QKELDAEVSA-N"",""NWIUTZDMDHAVTP-QNQDEXEHSA-N"",""NWIUTZDMDHAVTP-QPCASNOWSA-N"",""NWIUTZDMDHAVTP-QQPJQFRPSA-N"",""NWIUTZDMDHAVTP-QTDQPZMCSA-N"",""NWIUTZDMDHAVTP-RETJHINUSA-N"",""NWIUTZDMDHAVTP-RGMMAAHDSA-N"",""NWIUTZDMDHAVTP-RQUMOWOWSA-N"",""NWIUTZDMDHAVTP-RROLUTATSA-N"",""NWIUTZDMDHAVTP-SEQDYTFHSA-N"",""NWIUTZDMDHAVTP-SFKQGKDGSA-N"",""NWIUTZDMDHAVTP-SIMWLSRESA-N"",""NWIUTZDMDHAVTP-SKKDMRSXSA-N"",""NWIUTZDMDHAVTP-SNPVUXSCSA-N"",""NWIUTZDMDHAVTP-SOHPLWGHSA-N"",""NWIUTZDMDHAVTP-TZZMNVGQSA-N"",""NWIUTZDMDHAVTP-UBGCFEEWSA-N"",""NWIUTZDMDHAVTP-UFESGRAUSA-N"",""NWIUTZDMDHAVTP-UFHBKWCUSA-N"",""NWIUTZDMDHAVTP-UHFFFAOYSA-N"",""NWIUTZDMDHAVTP-UHFFFAOYSA-O"",""NWIUTZDMDHAVTP-ULJLYUCESA-N"",""NWIUTZDMDHAVTP-VFGPMFJOSA-N"",""NWIUTZDMDHAVTP-VHRLQRAQSA-N"",""NWIUTZDMDHAVTP-WJSNZNIMSA-N"",""NWIUTZDMDHAVTP-WUEYFJTASA-N"",""NWIUTZDMDHAVTP-XCIMEMPGSA-N"",""NWIUTZDMDHAVTP-XHITXLNDSA-N"",""NWIUTZDMDHAVTP-XKXUUTOUSA-N"",""NWIUTZDMDHAVTP-XMUBYUBKSA-N"",""NWIUTZDMDHAVTP-XQRUZLSUSA-N"",""NWIUTZDMDHAVTP-XUWBISKJSA-N"",""NWIUTZDMDHAVTP-YQDYMQNQSA-N"",""NWIUTZDMDHAVTP-YQUBHJMPSA-N"",""NWIUTZDMDHAVTP-YZBQJCNKSA-N"",""NWIUTZDMDHAVTP-ZLYVFSMISA-N"",""NWIUTZDMDHAVTP-ZWGOZCLVSA-N"",""OTTFYCCENGIADW-HNUXRKMMSA-N"",""OTTFYCCENGIADW-UHFFFAOYSA-N"",""SNUCUHZTWXARFO-UHFFFAOYSA-N""]"
36,fluconazole,CIDm00003365,true,25,24,"[""AFVYULXYYVZWQW-UHFFFAOYSA-M"",""AWSKOYJUTRYRQI-UHFFFAOYSA-N"",""DWJUZHMCPBPNFH-UHFFFAOYSA-N"",""MRJMTUZDUROSEU-UHFFFAOYSA-N"",""PXIINUGSGQUHFC-UHFFFAOYSA-N"",""QCUSATDPTNAXDD-UHFFFAOYSA-N"",""QSZFKRINVAUJGQ-UHFFFAOYSA-N"",""RFHAOTPXVQNOHP-APZFVMQVSA-N"",""RFHAOTPXVQNOHP-BLJHHTTJSA-N"",""RFHAOTPXVQNOHP-CBYSEHNBSA-N"",""RFHAOTPXVQNOHP-CQOLUAMGSA-N"",""RFHAOTPXVQNOHP-FUXJXQSESA-N"",""RFHAOTPXVQNOHP-JDANMYFYSA-N"",""RFHAOTPXVQNOHP-SURVTVKHSA-N"",""RFHAOTPXVQNOHP-UHFFFAOYSA-N"",""RFHAOTPXVQNOHP-UHFFFAOYSA-O"",""RFHAOTPXVQNOHP-UMSOTBISSA-N"",""RFHAOTPXVQNOHP-XNOGNMAASA-N"",""RFHAOTPXVQNOHP-YKVCKAMESA-N"",""VVTLTBWIFXOSSR-UHFFFAOYSA-N"",""ZQCFWSXSYAJHBU-BTJKTKAUSA-N"",""ZQCFWSXSYAJHBU-UHFFFAOYSA-N"",""ZQCFWSXSYAJHBU-WLHGVMLRSA-N"",""ZUUJPMWIVLZORS-UHFFFAOYSA-N""]"
37,oseltamivir,CIDm00065028,false,0,0,[]
