flat_chemical_id	stereo_chemical_id	source_cid	inchikey
CIDm00000001	CIDs00000001	1	RDHQFKQIGNGIED-UHFFFAOYSA-N
CIDm00000010	CIDs00000010	10	AUFGTPPARQZWDO-UHFFFAOYSA-N
CIDm00000100	CIDs00000100	100	UTIBHEBNILDQKX-UHFFFAOYSA-N
CIDm00001000	CIDs00001000	1000	ULSIYEODSMZIPX-UHFFFAOYSA-N
CIDm00010000	CIDs00010000	10000	ZPIFKCVYZBVZIV-UHFFFAOYSA-N
CIDm00100000	CIDs00100000	100000	SPTBIJLJJBZGDY-UHFFFAOYSA-N
CIDm01000000	CIDs01000000	1000000	XTNVYACQOFUTNH-UHFFFAOYSA-N
CIDm10000000	CIDs10000000	10000000	WUGPGGSZFRVGGA-UHFFFAOYSA-N
CIDm10000001	CIDs10000001	10000001	ANOUMYXLUIDQNL-UHFFFAOYSA-N
CIDm10000002	CIDs10000002	10000002	DUZSCKPDZXTNHU-UHFFFAOYSA-N
CIDm10000003	CIDs10000003	10000003	IICNFYZYAVVBJL-UHFFFAOYSA-N
CIDm09821370	CIDs10000004	10000004	KTDZYOFKSFAAAN-RUTFAPCESA-M
CIDm10000005	CIDs10000005	10000005	BVFIQFLXSWARKY-UHFFFAOYSA-N
CIDm10000006	CIDs10000006	10000006	VAKKVZTZVIGLRB-KIZRIRGWSA-N
CIDm10000007	CIDs10000007	10000007	OQBKDZLBCZODKE-BMRADRMJSA-N
CIDm10000008	CIDs10000008	10000008	VHWYCPMXAANJRU-UHFFFAOYSA-N
CIDm09908032	CIDs10000009	10000009	DRHGSSXSNNHAAL-ILLCOZOWSA-N
CIDm01000001	CIDs01000001	1000001	CLZWULPKOWQEBM-FUHIMQAGSA-N
CIDm10000010	CIDs10000010	10000010	VFXRRBWXDNYJLD-UHFFFAOYSA-N
CIDm10000011	CIDs10000011	10000011	JQLIGMOWNYBVQO-UHFFFAOYSA-N
CIDm10000012	CIDs10000012	10000012	KTMRZYPQKLRPGJ-UHFFFAOYSA-N
CIDm10000013	CIDs10000013	10000013	UYIPYDFMIUXXIR-UHFFFAOYSA-N
CIDm10000014	CIDs10000014	10000014	RNBZZVYTDGGCHB-AZLYJIEISA-N
CIDm00100188	CIDs10000015	10000015	DCYAJVOKJAFSES-HNNXBMFYSA-N
CIDm10000016	CIDs10000016	10000016	HTEQBYAEAQGXPZ-QZTJIDSGSA-N
CIDm00022075	CIDs00022075	10000017	UTVQMKYHKFLPLX-UHFFFAOYSA-M
CIDm10000018	CIDs10000018	10000018	VNEZLZQSWUDRIV-UHFFFAOYSA-N
CIDm10000019	CIDs10000019	10000019	XWMGBLCMRLASDS-UHFFFAOYSA-N
CIDm01000002	CIDs01000002	1000002	QJLLFADHTHKJSY-UHFFFAOYSA-N
CIDm10000020	CIDs10000020	10000020	GNCKEUJKZQDWAH-APSNUPSMSA-N
CIDm10000021	CIDs10000021	10000021	UOQJMHJERKBWEP-UHFFFAOYSA-N
CIDm10000022	CIDs10000022	10000022	CRNWKLJTGHLOJV-KEBDBYFISA-N
CIDm10000023	CIDs10000023	10000023	OMDYBEVVCSGYQW-KRWDZBQOSA-N
CIDm10000024	CIDs10000024	10000024	CRVMXOYIXCFDJP-UHFFFAOYSA-N
CIDm10000025	CIDs10000025	10000025	KUUZHJQGCWPUOI-KNQAVFIVSA-N
